Question	Which most accurately describes a circle	question
Answer	used to demonstrate change that is not continuous	answer
0	a circle is a kind of shape	nongold
1	an increase is a kind of change	nongold
2	moving in a circle means moving in a circular motion	nongold
3	a demonstration is similar to an example	nongold
4	a decrease is a kind of change	nongold
5	variable means able to change	nongold
6	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
7	a circle graph; pie graph is used to describe how part of the data is related to all of the data	gold
8	constant means not changing	nongold
9	to remain means to not change	nongold
10	changed is the opposite of unchanged	nongold
11	movement is a kind of change	nongold
12	increase means more	nongold
13	liquid is a kind of state of matter	nongold
14	an increase is the opposite of a decrease	nongold
15	unchanged means not changed	nongold
16	stay the same means not changing	nongold
17	if the component of something changed , then the whole thing will change	nongold
18	to add means to increase	nongold
19	change is a kind of process	nongold
20	circular means having the shape of a circle	nongold
21	a phase change is a kind of physical change	nongold
22	to maintain means to not change	nongold
23	to lower means to decrease	nongold
24	consistent means constant	nongold
25	boiling is a kind of phase change	nongold
26	particles in objects are a kind of matter	nongold
27	affected means changed	nongold
28	to change means to have an effect	nongold
29	the properties of something are used for describing that something	nongold
30	to limit means to decrease	nongold
31	high is similar to increase	nongold
32	reducing is a kind of change	nongold
33	measuring is used for describing an object	nongold
34	change is a kind of impact	nongold
35	to reduce means to decrease	nongold
36	forming something is a kind of change	nongold
37	to turn means to change	nongold
38	temperature is a measure of heat energy	nongold
39	a change is a kind of event	nongold
40	phase means state	nongold
41	less is similar to decrease	nongold
42	a motion is a kind of event; action	nongold
43	a circle graph; pie graph can be used to display percents; ratios	nongold
44	gas is a kind of state of matter	nongold
45	a source of something increases the amount of that something	nongold
46	melting is a kind of phase change	nongold
47	to change means to cause a change	nongold
48	to vary means to change	nongold
49	can be means able to be	nongold
50	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
51	to retain means to not change	nongold
52	solid is a kind of state of matter	nongold
53	evaporating is a kind of phase change	nongold
54	an event is a kind of action	nongold
55	state of matter means physical state	nongold
56	freezing is a kind of phase change	nongold
57	to cause means to have an effect	nongold
58	as amount; size of something increases , the intensive properties of that something will not change	nongold
59	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
60	if something changes , then that something is not the same	nongold
61	expand is a kind of change	nongold
62	to change means to become different	nongold
63	not is similar to the opposite of	nongold
64	adding something is a kind of change	nongold
65	as state of matter changes , mass will not change	nongold
66	a process is a kind of event	nongold
67	to convert means to change	nongold
68	to modify means to change	nongold
69	action can cause change	nongold
70	alteration means change	nongold
71	to give off means to be the source of	nongold
72	heat energy can change the state of matter	nongold
73	a component of something means a part of that something	nongold
74	becoming is similar to changing	nongold
75	physical state means state of matter	nongold
76	transfer is a kind of change	nongold
77	low is similar to decrease	nongold
78	diameter is a measure of length through the center of a circle	nongold
79	to demonstrate means to exhibit	nongold
80	condensing is a kind of  phase change	nongold
81	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
82	form means kind	nongold
83	revolving is a kind of motion	nongold
84	heat means heat energy	nongold
85	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
86	loss is a kind of change	nongold
87	the function of something is what that something  is used to do	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	a living thing is a kind of object	nongold
90	phase changes do not change mass	nongold
91	chemical reactions cause chemical change	nongold
92	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
93	state means form	nongold
94	formation of a state of matter is a kind of process	nongold
95	state of matter is a kind of physical property	nongold
96	to conserve means to not change	nongold
97	variation means change	nongold
98	to give is similar to to cause	nongold
99	a component means a part of	nongold
