Question	As an airplane climbs in the sky, the pilot notices ice crystals forming on the windshield. This happens because	question
Answer	moisture on the outside of the plane freezes due to colder air at higher altitudes.	answer
0	ice crystals means  ice	gold
1	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
2	cooling;colder means removing;reducing;decreasing heat;temperature	gold
3	sometimes ice crystals are found in the atmosphere	nongold
4	cooling means temperature decreases	nongold
5	moisture means liquid; liquid water	gold
6	colder; cooler means lower in temperature	gold
7	freezing means cold temperatures	nongold
8	cold means low in temperature	nongold
9	liquid water cooling causes that liquid water to freeze	nongold
10	air temperature is a kind of temperature	nongold
11	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
12	icy means made of ice	nongold
13	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
14	an airplane is a kind of vehicle	nongold
15	warmer means greater; higher in temperature; warmth	nongold
16	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
17	An example of moisture is water vapor in the atmosphere	nongold
18	ice is colder than water in temperature	nongold
19	ice is cold in temperature	nongold
20	freezing causes a solid to form	gold
21	cooler means colder	nongold
22	ice is a kind of solid	gold
23	water is a kind of liquid at room temperature	nongold
24	an increase is the opposite of a decrease	nongold
25	temperature is a measure of heat energy	nongold
26	freezing is a kind of phase change	nongold
27	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
28	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
29	to lower means to decrease	gold
30	temperature drop means temperature decrease	nongold
31	something in a cold place becomes cold	nongold
32	frozen means solid	nongold
33	to reduce means to decrease	nongold
34	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
35	temperature drop means cooling	nongold
36	due to means caused by	nongold
37	temperature is a property of weather	nongold
38	crystal is a kind of  solid	nongold
39	cool means cold	nongold
40	humidity is a kind of water vapor	nongold
41	cold  air is usually high in air pressure	nongold
42	temperature  rise means temperature increase	nongold
43	heat means temperature increases	nongold
44	water is a kind of substance	nongold
45	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
46	an increase is a kind of change	nongold
47	to add means to increase	nongold
48	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
49	low is similar to decrease	nongold
50	temperature drop means become colder	nongold
51	cold is a kind of weather	nongold
52	liquid is a kind of state of matter	nongold
53	ice is a kind of object	nongold
54	precipitation is when water falls from the sky	nongold
55	heat means heat energy	gold
56	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
57	a decrease is a kind of change	nongold
58	a solid is a kind of substance	nongold
59	cycles of freezing and thawing water cause ice wedging	nongold
60	high is similar to increase	nongold
61	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
62	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
63	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
64	solid is a kind of state of matter	nongold
65	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
66	temperature rise means become warmer	nongold
67	if something is  cold in temperature , then something will be cold to touch	nongold
68	as the altitude increases ,  the temperature of the air will increase in the stratosphere	nongold
69	when water freezes , that water expands	nongold
70	freezing point is similar to melting point	nongold
71	a airplane is used for moving people; products across bodies of water; to far away places	nongold
72	a liquid is a kind of substance	nongold
73	as altitude increases , the temperature of the air will decrease in the troposphere	gold
74	precipitation is a property of weather	nongold
75	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
76	frost is a kind of solid water	nongold
77	precipitation is a kind of weather	nongold
78	warm means medium heat energy; temperature	nongold
79	a plane travels through the atmosphere	nongold
80	if the atmospheric temperature rises then the glaciers will melt	nongold
81	low means low in elevation; height; altitude	nongold
82	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
83	gas is a kind of state of matter	nongold
84	gas is a kind of substance	nongold
85	to a  human a air; environment temperature of 10 C to 21 C is considered cool	nongold
86	water expanding when it freezes is a physical property of water	nongold
87	adding heat means increasing temperature	nongold
88	less is similar to decrease	nongold
89	lower means less	nongold
90	altitude is the distance from the ground to an object in the sky	nongold
91	to a  human a air; environment temperature of 50 F to 70 F is considered cool	nongold
92	increase means more	gold
93	climbing increases altitude	gold
94	temperature changing can cause phase changes	nongold
95	an airplane is fast in speed	nongold
96	hot means high in heat energy; temperature	nongold
97	to a  human a air; environment temperature of 32 F to 50 F is considered cold	nongold
98	melting is when solids are heated above their melting point	nongold
99	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
