Question	If the number of trees significantly decreases, the atmosphere's level of which gas might significantly increase?	question
Answer	carbon dioxide	answer
0	as the population of plants decreases , carbon in the atmosphere will increase	nongold
1	carbon dioxide is a kind of gas	gold
2	a plant absorbs carbon dioxide from the air for photosynthesis	gold
3	a tree is a kind of living thing	nongold
4	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
5	a tree is a kind of plant	gold
6	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	gold
7	level is similar to amount; quantity	gold
8	plants are a source of oxygen through photosynthesis	nongold
9	an increase is the opposite of a decrease	nongold
10	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
11	vegetation means plants	nongold
12	to reduce means to decrease	nongold
13	amount is similar to number	nongold
14	an increase is a kind of change	nongold
15	a decrease is a kind of change	nongold
16	as the amount of a source of something decreases , the amount of that something will decrease	nongold
17	a forest contains  lots of plants; trees	nongold
18	a plant is a kind of living thing	nongold
19	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
20	absorbing something from the air decreases the  amount of  that something in the air	gold
21	green plants are a kind of producer	nongold
22	to add means to increase	nongold
23	high is similar to increase	nongold
24	low is similar to decrease	nongold
25	if something emits something else then that something increases the amount of that something else	nongold
26	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
27	less is similar to decrease	nongold
28	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
29	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
30	atmosphere means  air	gold
31	carbon dioxide can be found in the air	nongold
32	if something releases something else then that something else decreases in that something	nongold
33	air is a kind of gas	nongold
34	increase means more	nongold
35	fewer means lower; less in number	nongold
36	to lower means to decrease	nongold
37	how many means what number	nongold
38	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
39	many means high in number	nongold
40	a source of something increases the amount of that something	nongold
41	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
42	higher means greater; above in value; amount; number	nongold
43	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
44	a tree is a kind of matter	nongold
45	roots are a part of a plant; tree	nongold
46	if there is a loss of something then that something decreases	nongold
47	the atmosphere contains gases; liquids; solids	nongold
48	plants are a part of the environment	nongold
49	a forest is a kind of environment	nongold
50	a rain forest is a kind of forest	nongold
51	a leaf is a part of a tree	nongold
52	as the cause of something decreases , that something will decrease	nongold
53	air is a part of the environment	nongold
54	the air is a kind of substance	nongold
55	gas is a kind of substance	nongold
56	a tree contains wood	nongold
57	atmospheric means of the atmosphere	nongold
58	oxygen is a kind of gas at room temperature	nongold
59	a plant is a kind of organism	nongold
60	heat means temperature increases	nongold
61	a forest is a kind of ecosystem	nongold
62	some species of tree are deciduous	nongold
63	dead plants means dead plant material	nongold
64	as the density  of the atmosphere decreases , the available oxygen will  decrease	nongold
65	if a tree is cut down then that tree will die	nongold
66	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
67	a plant; living thing requires food for survival	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	a tree is a kind of habitat	nongold
70	a leaf performs photosynthesis; gas exchange	nongold
71	air temperature is a kind of temperature	nongold
72	gaseous means of gas	nongold
73	carbon dioxide is more dense than air	nongold
74	a plant is a member of a plant species	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
77	a branch is a part of a tree	nongold
78	a  plant requires sunlight for photosynthesis	nongold
79	if an amount of objects decreases then those objects are fewer in number	nongold
80	a plant requires photosynthesis to grow; survive	nongold
81	greater means higher; more in value	nongold
82	affected means changed	nongold
83	woodland means forest	nongold
84	a plants; living things require water for survival; to grow	nongold
85	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
86	if heat is transferred to the air , then the temperature of the air will increase	nongold
87	trees are a renewable resource	nongold
88	vapor is synonymous with gas	nongold
89	less is the opposite of more	nongold
90	chemical reactions can cause gas to be released into the atmosphere	nongold
91	plants are a source of biofuel	nongold
92	if something causes an increase in something else then that something produces that something else	nongold
93	a trunk is a part of a tree for supporting the tree	nongold
94	lowest means least in value; amount; number	nongold
95	the emission of something is when something is added into the atmosphere	nongold
96	a redwood tree is a kind of tree	nongold
97	a  gas is a kind of  element	nongold
98	temperature is a measure of heat energy	nongold
99	bark is a part of a tree	nongold
