Question	Which of the following statements applies to all states of matter?	question
Answer	Matter is made up of particles called atoms.	answer
0	matter; materials; substances are made of atoms; particles	gold
1	atoms are made of particles	nongold
2	made up of means contains; made of	nongold
3	composed of means made of	nongold
4	to be made of means to consist of	nongold
5	to be made of something means to be formed of that something	nongold
6	a molecule is made of atoms chemically combined; bonded	nongold
7	particles in objects are a kind of matter	nongold
8	a molecule is a kind of particle	nongold
9	an atom is the smallest particle; unit that has the properties of an element	nongold
10	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
11	an atom is a kind of object	nongold
12	matter is made of molecules	nongold
13	a particle is a kind of object	nongold
14	objects are made of materials; substances; matter	nongold
15	a molecule is a kind of object	nongold
16	the basic unit of matter is atom	nongold
17	an atom is made of protons; neutrons; electrons	nongold
18	the parts of something make up that something	nongold
19	state means form	nongold
20	an element is made of one kind of atoms	nongold
21	substances are made of matter	nongold
22	a pure substance is made of only one kind of atom; molecule	nongold
23	an atom is exceptionally small in size	nongold
24	made of is similar to contains	nongold
25	an  element is a kind of atom	nongold
26	an object is made of its parts	nongold
27	interatomic means existing or acting between atoms	nongold
28	applying is similar to increasing	nongold
29	a molecule is the smallest particle; unit that has the properties of a compound	nongold
30	if something is made of something; a material then that something contains that something; that material	nongold
31	substances are made of molecules	nongold
32	atom cannot be divided into smaller substances	nongold
33	state of matter is a property of matter and includes ordered values of solid; liquid; gas	gold
34	gas is a kind of state of matter	nongold
35	all elements are a kind of pure substance	nongold
36	composition is a property of an object; matter	nongold
37	to split means to break down	nongold
38	a living thing is a kind of object	nongold
39	a molecule is exceptionally small in size	nongold
40	can be means able to be	nongold
41	composition means the (materials, substances) of which something is composed	nongold
42	liquid is a kind of state of matter	nongold
43	materials are made of matter	nongold
44	state of matter is a kind of physical property	nongold
45	classifying is when one sorts something by kind; type	nongold
46	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
47	classifying means grouping objects; materials by their properties	nongold
48	atoms in a gas move independently of one another	nongold
49	solid is a kind of state of matter	nongold
50	an electron is a kind of charged particle	nongold
51	a photon is a kind of  particles	nongold
52	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
53	electrons surround; orbit the nucleus of an atom	nongold
54	formation of a state of matter is a kind of process	nongold
55	the properties of something are used for describing that something	nongold
56	state of matter means physical state	nongold
57	catenation is a property of atoms	nongold
58	a structure of something is synonymous with a part of that something	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	to be formed by is similar to being produced by	nongold
61	if something is a part of something else then that something else contains that something	nongold
62	structure is a property of an object; a material; a substance	nongold
63	all the other means the rest of	nongold
64	chemical reactions do not cause the total number of atoms to change	nongold
65	state of matter at room temperature is a kind of physical property	nongold
66	affected means changed	nongold
67	if an object is made of something then the parts of that object are made of that something	nongold
68	if something is made of something else then that something can be broken down into that something else	nongold
69	to make means to form	nongold
70	the nucleus of an atom is usually made of both protons and neutrons	nongold
71	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
72	an organism is a living thing	nongold
73	the structure  of an atom can be used for identifying the element	nongold
74	atoms in a gas collide frequently	nongold
75	to contain means to have inside	nongold
76	forming something is a kind of change	nongold
77	to split means to divide	nongold
78	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
79	not is similar to the opposite of	nongold
80	if something is made of something else , then that something else will be the component of that something	nongold
81	if something is made of something else then the formation of that something requires that something else	nongold
82	accounting for means making up some amount	nongold
83	phase means state	nongold
84	protons are a kind of subatomic particle	nongold
85	water is a kind of matter	nongold
86	most of the mass of an atom is located in the nucleus	nongold
87	to add means to increase	nongold
88	a proton is a part of an atom; an element	nongold
89	physical state means state of matter	nongold
90	substances are made of elements	nongold
91	to contain something means to have that something	nongold
92	to belong to a class means to be a kind of something	nongold
93	chemical compounds contain chemical bonds between atoms; between elements	nongold
94	definite is the opposite of variable	nongold
95	high is similar to increase	nongold
96	atomic number is a property of elements	nongold
97	make means produce	nongold
98	an event is a kind of action	nongold
99	protons are found in the nucleus of an atom	nongold
