Question	Rubbing sandpaper on a piece of wood produces what two types of energy?	question
Answer	sound and heat	answer
0	rubbing  is a kind of motion	nongold
1	a sheet of sandpaper is a kind of object	gold
2	to rub; to rub together means to move against	gold
3	sandpaper is used to smooth wooden objects	nongold
4	a type is synonymous with a kind	gold
5	when two objects are touched; are contacted; move against each other , sound is produced	gold
6	sandpaper is a kind of tool for smoothing objects	nongold
7	sand  is a kind of material	nongold
8	a rough surface is a part of sandpaper	nongold
9	sound is a kind of energy	gold
10	sand  is a kind of substance	nongold
11	sandpaper is made of sand glued to the surface of paper	nongold
12	rubbing against something is a kind of contact	gold
13	vibration is a kind of motion	nongold
14	a source of something emits; produces; generates; provides that something	nongold
15	sound is a kind of sound energy	nongold
16	sound means sound energy	nongold
17	a piece of something is a kind of object	nongold
18	friction occurs when two object's surfaces move against each other	gold
19	vibrations are a source of sound	nongold
20	wood is a kind of object	gold
21	thermal energy is a kind of energy	nongold
22	a surface is a part of a material	nongold
23	sandpaper is a kind of paper	nongold
24	heat is a kind of energy	nongold
25	friction causes the temperature of an object to increase	gold
26	both means two	nongold
27	friction acts to counter the motion of two objects when their surfaces are touching	nongold
28	heat energy is synonymous with thermal energy	nongold
29	brushing is a kind of action	nongold
30	a surface is a part of an object	gold
31	friction converts mechanical energy into heat energy	nongold
32	sand  is a kind of solid	nongold
33	temperature is a measure of heat energy	gold
34	a surface is a kind of object	nongold
35	variety means different kinds; different types	nongold
36	heat means heat energy	gold
37	friction is a kind of force	nongold
38	sound is produced when mechanical energy is transformed into sound energy	nongold
39	converting is similar to producing	nongold
40	rubbing different materials can cause electrical charge	nongold
41	material means substance	nongold
42	a piece is a part of a whole	nongold
43	wood is a kind of natural material	nongold
44	friction exerts force on moving objects	nongold
45	intense sound energy can move objects	nongold
46	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
47	being  on something; placed in something; placed over something means touching  that something	nongold
48	to produce means to provide	nongold
49	a tool is a kind of object	nongold
50	vibrating matter can produce sound	nongold
51	sound is a kind of air vibration	nongold
52	wood is a kind of energy resource	nongold
53	if one surface; one substance; one object touches something then one is exposed to that something	nongold
54	wood has a smooth surface	nongold
55	wood is a strong material	nongold
56	absorbing energy causes objects; materials; substances to heat	nongold
57	mechanical energy is a kind of energy	nongold
58	metal is a thermal; thermal energy conductor	nongold
59	objects are made of materials; substances; matter	nongold
60	conductivity is a property of a material; substance	nongold
61	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
62	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
63	if an object is made of a material then that object has the properties of that material	nongold
64	touching is when a body part makes contact with the surface of an object	nongold
65	moisture means liquid; liquid water	nongold
66	a piece of an object is smaller in size than the whole object	nongold
67	producing is similar to causing	nongold
68	sand is made of small particles	nongold
69	air is a vehicle for sound	nongold
70	heating means adding heat	nongold
71	carpet absorbs sound	nongold
72	emit means produce	nongold
73	wood is a light material	nongold
74	a body part is a kind of object	nongold
75	matter; molecules vibrating can cause sound	nongold
76	form means kind	nongold
77	friction causes the speed of an object to decrease	nongold
78	to touch means to contact	nongold
79	oil is a kind of substance; matter	nongold
80	soft is a kind of touch sensation	nongold
81	wood is a thermal; thermal energy insulator	nongold
82	a thermal conductor is made of materials that conduct thermal energy	nongold
83	as moisture of an object decreases , the friction of that object against another object will increase	nongold
84	to give off means to be the source of	nongold
85	as the amount that matter vibrates increases , sound produced increases	nongold
86	wood is an thermal; thermal energy insulator	nongold
87	friction causes speed to decrease	nongold
88	to be formed by is similar to being produced by	nongold
89	friction causes an object to lose energy	nongold
90	to add means to increase	nongold
91	a wall is a kind of surface	nongold
92	an part of an object is smaller than the entire object	nongold
93	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
94	combing is a kind of rubbing	nongold
95	if something causes an increase in something else then that something produces that something else	nongold
96	energy transformation means one kind of energy changes into another kind of energy	nongold
97	produce is similar to release	nongold
98	being in something means touching that something	nongold
99	a hot; warm something is a source of heat	nongold
