Question	Which of the following statements best explains how the decomposition of plant and animal matter helps to form rich soils?	question
Answer	Decomposition adds nutrients to soil.	answer
0	plant and animal matter means organic matter	nongold
1	decomposition increases the  amount of nutrients; nitrogen in the soil	gold
2	soil contains nutrients for plants	nongold
3	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	gold
4	helping something has a  positive impact on that something	nongold
5	decomposition  increases amount of organic matter in soil	nongold
6	nutrients are a kind of matter	nongold
7	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	gold
8	decomposition is when a decomposer breaks down dead organisms	nongold
9	form means kind	nongold
10	a plant is a kind of organism	gold
11	an organism is made of organic matter	nongold
12	an organism is a source of organic matter	gold
13	a source of something emits; produces; generates; provides that something	nongold
14	helping means something can be done; completed more easily; better	nongold
15	products are formed; are produced; are created	nongold
16	to change into means to form	nongold
17	an animal is a kind of organism	gold
18	to form means to create	nongold
19	to contribute means to add	nongold
20	a decomposer is a kind of living thing	nongold
21	to add means to increase	gold
22	decomposition is a kind of process	nongold
23	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
24	adding something is a kind of change	nongold
25	requiring is similar to needing help	nongold
26	a plant is a kind of living thing	nongold
27	dead organisms are the source of nutrients for decomposers	nongold
28	a microorganism is a kind of decomposer	nongold
29	a decomposer is usually a bacterium; fungus	nongold
30	to cause the formation of means to form	nongold
31	an animal is a kind of living thing	nongold
32	to be used  for something means to help to do that something	nongold
33	a bacterium is a kind of decomposer	nongold
34	nutrients are a kind of substance	nongold
35	to be used for something means to be required by that something	nongold
36	renewing soil increases nutrients in the soil	nongold
37	to be formed by is similar to being produced by	nongold
38	an animal; living thing requires nutrients for survival	nongold
39	an organism is a living thing	nongold
40	roots are a part of a plant; tree	nongold
41	a worm is a kind of decomposer	nongold
42	to be made of something means to be formed of that something	nongold
43	to make means to form	nongold
44	best means most positive	nongold
45	forming something is a kind of change	nongold
46	a plant requires soil for survival; to grow	nongold
47	nutrients are a kind of material	nongold
48	green plants are a kind of producer	nongold
49	a plant; living thing requires nutrients to grow	nongold
50	some minerals are nutrients	nongold
51	if an event occurs by adding something then that event requires that something	nongold
52	a fungus is a kind of organism	nongold
53	substances are made of matter	nongold
54	rich nutrients can cause algae and phytoplankton to increase	nongold
55	soil is usually part of an environment	nongold
56	if some nutrients are in the soil then those nutrients are in the food chain	nongold
57	low quality soil has a small; a low number of nutrients	nongold
58	to increase is similar to to create	nongold
59	vegetation means plants	nongold
60	to be formed by is to be the result of	nongold
61	if something causes a process then that something is required for that process	nongold
62	soil is a kind of material	nongold
63	crops; farming cause nutrients in the soil to decrease	nongold
64	to create means to make	nongold
65	a tree is a kind of matter	nongold
66	to produce means to create	nongold
67	soil contains water; humus; weathered rocks; organic matter	nongold
68	materials are made of matter	nongold
69	soil is made of solid particles	nongold
70	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
71	forming is similar to converting	nongold
72	a food contains nutrients for living things	nongold
73	organic matter has a positive impact on soil texture	nongold
74	a bacterium is a kind of organism	nongold
75	to decompose means to decay	nongold
76	a tree is a kind of plant	nongold
77	erosion sometimes decreases the amount of nutrients in soil	nongold
78	a process is a kind of event	nongold
79	to help; to benefit means to be of use	nongold
80	an earthworm is a kind of decomposer	nongold
81	if something transfers something else then that something is a source of something else	nongold
82	requiring something means needing that something	nongold
83	transferring is similar to adding	nongold
84	if something emits something else then that something increases the amount of that something else	nongold
85	to contribute is similar to produce	nongold
86	to cause means to make	nongold
87	an increase is a kind of change	nongold
88	composed of means made of	nongold
89	formation of a state of matter is a kind of process	nongold
90	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
91	can be means able to be	nongold
92	make means produce	nongold
93	if something is caused by something else , then that something can be explained by that something else	nongold
94	where something  comes from is a source of that something	nongold
95	high is similar to increase	gold
96	forming is a kind of replenishing	nongold
97	breaking down is a kind of forming	nongold
98	a vegetable is a kind of plant	nongold
99	a plant is made of plant cells	nongold
