Question	Carbon dioxide emissions have increased due to large numbers of automobiles and increased industrialization. Which of the following has been most affected by the increase in carbon dioxide levels?	question
Answer	the ability of Earth to maintain lower temperatures	answer
0	automobiles; industrialization are a source of carbon dioxide	gold
1	temperature is a measure of heat energy	nongold
2	to maintain means to not change	nongold
3	carbon dioxide is a kind of greenhouse gas	nongold
4	heat means temperature increases	nongold
5	to lower means to decrease	nongold
6	impact means effect	nongold
7	to impact means to affect	nongold
8	affected means changed	nongold
9	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
10	inability is the opposite of ability	nongold
11	to reduce means to decrease	nongold
12	an increase is the opposite of a decrease	nongold
13	increase means more	nongold
14	causing is a kind of affecting	gold
15	change is a kind of impact	nongold
16	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
17	able is the opposite of unable	nongold
18	temperature  rise means temperature increase	nongold
19	Earth is a kind of planet	nongold
20	to depend on; to rely on; to need means to require	nongold
21	the ability to do means be able to do	nongold
22	extreme temperatures cause an organism's energy levels to decrease	nongold
23	to limit means to decrease	nongold
24	a decrease is a kind of change	nongold
25	lower means less	nongold
26	a source of something increases the amount of that something	nongold
27	as the amount of a source of something decreases , the amount of that something will decrease	nongold
28	low is similar to decrease	nongold
29	as the cause of something decreases , that something will decrease	nongold
30	keeping cool means not increasing temperature	nongold
31	operating an automobile usually requires fossil fuels	gold
32	an automobile is a kind of vehicle	nongold
33	if a planet cannot hold heat then that planet will have a large range of temperatures	nongold
34	to add means to increase	nongold
35	an increase is a kind of change	nongold
36	heat means heat energy	nongold
37	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
38	colder; cooler means lower in temperature	nongold
39	due to means caused by	nongold
40	higher means greater; above in value; amount; number	nongold
41	to cause means to have an effect	nongold
42	high is similar to increase	nongold
43	fewer means lower; less in number	nongold
44	to change means to have an effect	nongold
45	carbon dioxide is a kind of gas	gold
46	level is similar to amount; quantity	nongold
47	reducing is a kind of change	nongold
48	less is similar to decrease	nongold
49	if something has the ability to do something else , then that something can do that something else	nongold
50	causing means influencing	nongold
51	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
52	to give off means to be the source of	nongold
53	to be affected by something is similar to depending on something	nongold
54	less means a reduced amount	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	temperature is a kind of condition	nongold
57	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
58	if there is a loss of something then that something decreases	nongold
59	a car is a kind of automobile	nongold
60	if something emits something else then that something increases the amount of that something else	nongold
61	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
62	if something affects a part of something else then that something affects that something else	nongold
63	variable means able to change	nongold
64	greater means higher; more in value	nongold
65	to act on means to affect	nongold
66	a car is a kind of vehicle	nongold
67	water vapor is a kind of greenhouse gas	nongold
68	hot means high in heat energy; temperature	nongold
69	can be means able to be	nongold
70	fossil fuels release carbon dioxide into the atmosphere	nongold
71	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
72	ability is a kind of characteristic	nongold
73	decreasing something negative has a positive impact on a thing	nongold
74	temperature drop means temperature decrease	nongold
75	a vehicle for something allows; enables that something to occur	nongold
76	low is the opposite of high	nongold
77	as temperature increases , the ability of that liquid to dissolve solids will increase	nongold
78	cold means low in temperature	nongold
79	if something is required for a process then that something positively impacts that process	nongold
80	low means down	nongold
81	amount is similar to number	nongold
82	worldwide temperature means atmospheric temperature	nongold
83	maintain is similar to control	nongold
84	greatest means largest; highest; most amount of something	nongold
85	to be capable means can	nongold
86	adding heat means increasing temperature	nongold
87	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
88	to slow; to slow down decreases speed	nongold
89	temperature rise means become warmer	nongold
90	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
91	decreasing something positive has a negative impact on a thing	nongold
92	cold temperatures usually have a negative impact on organisms	nongold
93	if something causes a process then that something is required for that process	nongold
94	if something is made by something else then that something is affected by that something else	nongold
95	potential is a kind of ability	nongold
96	to keep a process or event happening is similar to causing that process or event to happen	nongold
97	temperature is a property of weather	nongold
98	the Earth absorbs more energy than it loses	nongold
99	air temperature is a kind of temperature	nongold
