Question	Some foods that humans eat, such as corn and peas, are actually seeds from plants. What best describes the role of humans in a food web containing these plants?	question
Answer	a consumer	answer
0	a food web is made of organisms that consume other organisms; that produce their own food	nongold
1	food web is synonymous with food chain	gold
2	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	gold
3	an animal is a kind of consumer	nongold
4	the function of something is what that something  is used to do	nongold
5	role means function	nongold
6	purpose means role	nongold
7	to be involved in something means to have a role in something	nongold
8	peas are a kind of plant	nongold
9	humans sometimes eat seeds	gold
10	a human is a kind of animal	gold
11	peas is a kind of seed	gold
12	containing something is similar to providing that something	nongold
13	a consumer is a kind of organism	nongold
14	an animal is a kind of living thing	nongold
15	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
16	producer is a kind of role in the food chain process; in an ecosystem	nongold
17	humans eat crops	nongold
18	part means role	nongold
19	an animal needs to eat food for nutrients	nongold
20	role is similar to importance	nongold
21	corn is a kind of plant	nongold
22	function is similar to purpose	nongold
23	corn is a kind of seed	gold
24	a food contains nutrients for living things	nongold
25	an animal is a kind of organism	nongold
26	consumers eat other organisms	gold
27	crops are a kind of edible plant for eating	nongold
28	food is what an animal eats	nongold
29	a role in the ecosystem is a role in the food chain process	nongold
30	to eat means to consume food	nongold
31	In the food chain process a  green plant has the role of  producer	nongold
32	a plant is a kind of living thing	nongold
33	person is synonymous with human	nongold
34	if something is a part of something else then that something else contains that something	nongold
35	green plants are a kind of producer	gold
36	living things eat their food source	nongold
37	An example of seed dispersal is animals eating; excreting seeds	nongold
38	fruit contains seeds	nongold
39	an animal; living thing requires nutrients for survival	nongold
40	diet means what an animal eats	nongold
41	human is a kind of organism	nongold
42	a plant is a kind of organism	gold
43	an organism is a living thing	nongold
44	a person is a kind of animal	nongold
45	a plant; living thing requires food for survival	nongold
46	if something performs a task then that task is that something's function	nongold
47	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
48	vegetation means plants	nongold
49	if something contains something , then something is able to provide something	nongold
50	a producer is a kind of living thing	nongold
51	a living thing is a kind of object	nongold
52	corn is a kind of crop	nongold
53	a consumer can not produce its own food	nongold
54	providing is a kind of function	nongold
55	if something is made of something; a material then that something contains that something; that material	nongold
56	if something is a source of something else then that something usually contains that something else	nongold
57	if a living thing requires something then that something has a positive impact on that living thing	nongold
58	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
59	a seed is a part of a plant	gold
60	to be a vehicle for is a kind of function	nongold
61	eating an animal; a plant means killing that animal; that plant	nongold
62	including means containing	nongold
63	fruit is a kind of food	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	to have a function is similar to to be responsible for	nongold
66	if an animal eats a crop with something on its surface then that animal will eat the something on the surface	nongold
67	to be used for something means to be required by that something	nongold
68	role means niche	nongold
69	a berry contains seeds	nongold
70	if something absorbs something else then that something will contain that something else	nongold
71	life means living things	nongold
72	pollinating is a kind of function	nongold
73	a vegetable is a kind of food	nongold
74	predators eat prey	nongold
75	the properties of something are used for describing that something	nongold
76	plants are a part of the environment	nongold
77	a change in a food web can cause damage to an ecosystem	nongold
78	an organism eating is a kind of action	nongold
79	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
80	a vegetable is a kind of plant	nongold
81	helping something has a  positive impact on that something	nongold
82	best means most positive	nongold
83	insects eat crops	nongold
84	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
85	usually plants store the food they produce for future use	nongold
86	a producer produces its own food	nongold
87	consumption means use	nongold
88	something is used for that something's purpose	nongold
89	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
90	providing something means making;delivering something	nongold
91	made up of means contains; made of	nongold
92	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
93	seed dispersers are a vehicle for spreading the seeds of a plant	nongold
94	being used for is similar to providing	nongold
95	where something  comes from is a source of that something	nongold
96	seeds are a part of  berries	nongold
97	if an organism eats something then that something is a source of frood to that organism	nongold
98	something's function can be used to describe; identify that something	nongold
99	a crop is a kind of food	nongold
