Question	Which example describes a learned behavior in a dog?	question
Answer	sitting on command	answer
0	sitting is a kind of action	gold
1	following an order means performing an action on command	gold
2	a dog is a kind of animal	nongold
3	following orders is a learned characteristic	gold
4	skills are learned characteristics; behaviors	nongold
5	a learned characteristic is a kind of acquired characteristic	nongold
6	conditioned behavior is a kind of learned behavior	nongold
7	a behavior is a kind of characteristic	gold
8	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
9	the properties of something are used for describing that something	nongold
10	intelligence is an acquired characteristic	nongold
11	learned behaviors are learned over the  lifetime of the animal	nongold
12	an animal is a kind of organism	nongold
13	a cat is a kind of animal	nongold
14	a human is a kind of animal	nongold
15	trait is synonymous with characteristic	nongold
16	an animal is a kind of living thing	nongold
17	actions mean behavior	nongold
18	if an animal is trained to do something then that something is a learned behavior	nongold
19	information is used to describe something	nongold
20	a living thing is a kind of object	nongold
21	sitting on something provides warmth to that something	nongold
22	answering questions requires information	nongold
23	using tools is a learned characteristic	nongold
24	communication is a learned behavior	nongold
25	measuring is used for describing an object	nongold
26	an inherited characteristic is a kind of characteristic	nongold
27	an ear is a kind of body part	nongold
28	a cat is a kind of mammal	nongold
29	learning; studying information causes one to know that information	nongold
30	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
31	An example of following orders is coming when called	nongold
32	something's function can be used to describe; identify that something	nongold
33	a kind of something is an example of that something	nongold
34	locomotion is a generally learned behavior	nongold
35	an organism is a living thing	nongold
36	a human is a kind of mammal	nongold
37	doing chores is a learned characteristic	nongold
38	a brain is a part of an animal	nongold
39	playing with toys is a learned characteristic	nongold
40	ability is a kind of characteristic	nongold
41	a puppy is a young; baby dog	nongold
42	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
43	personality is an acquired characteristic	nongold
44	animal instinct means instinctive behavior	nongold
45	sense is a kind of characteristic of an animal	nongold
46	a mammal is a kind of animal	nongold
47	action means activity	nongold
48	senses are an inherited characteristic	nongold
49	food is a kind of object	nongold
50	determining is similar to learning	nongold
51	rolling in mud is a learned behavior	nongold
52	a predator avoiding some types of prey is a learned behavior	nongold
53	animals learn some behaviors from watching their parents	nongold
54	a description sometimes provides information	nongold
55	instruction is a kind of information	nongold
56	a part of something means a characteristic of something	nongold
57	doing something more is a kind of conditioned behavior	nongold
58	what an object is made of is a kind of characteristic	nongold
59	a motion is a kind of event; action	nongold
60	human is a kind of organism	nongold
61	getting information sometimes requires observing; observation	nongold
62	species is an inherited characteristic	nongold
63	affected means changed	nongold
64	learning about something sometimes requires observing that something	nongold
65	experiment is synonymous with test	nongold
66	performance is similar to ability	nongold
67	can means having the ability to	nongold
68	the brain is a part of the body	nongold
69	a surface is a part of an object	nongold
70	an part of an object is smaller than the entire object	nongold
71	a type is synonymous with a kind	nongold
72	an animal's brain controls that animal	nongold
73	person is synonymous with human	nongold
74	preferences are generally learned characteristics	nongold
75	motion; movement means moving; to move	nongold
76	hearing is a kind of sense	nongold
77	form means kind	nongold
78	a trick is a learned behavior	nongold
79	to act on means to affect	nongold
80	trait means property	nongold
81	a function is a kind of characteristic	nongold
82	high is similar to increase	nongold
83	a tool is a kind of object	nongold
84	to modify means to change	nongold
85	an organism eating is a kind of action	nongold
86	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
87	variable means able to change	nongold
88	inability is the opposite of ability	nongold
89	if something performs a task then that task is that something's function	nongold
90	setting is a kind of motion	nongold
91	receive means get	nongold
92	can be means able to be	nongold
93	the location of an object can be used to describe that object	nongold
94	curiosity is a kind of human quality	nongold
95	an adaptation is a kind of characteristic	nongold
96	to produce means to result in	nongold
97	an object exerts an upward force objects that sit on that object	nongold
98	an event is a kind of action	nongold
99	the body is a part of an organism	nongold
