Question	Which of the following forms of energy is released or absorbed in most chemical reactions?	question
Answer	heat energy	answer
0	most chemical reactions release or absorb heat energy	gold
1	form means kind	gold
2	absorbing energy causes objects; materials; substances to heat	nongold
3	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
4	converting is similar to releasing	nongold
5	chemical reactions cause new substances; different substances to form	nongold
6	chemical change is a kind of chemical reaction	nongold
7	to emit means to release	nongold
8	exergonic chemical reactions only release energy	nongold
9	state means form	nongold
10	if something releases something else then that something is the source of that something else	nongold
11	adding heat to an object sometimes causes chemical reactions	nongold
12	chemical energy is a kind of energy	nongold
13	chemical reactions cause chemical change	nongold
14	heat means heat energy	gold
15	if something transfers energy to something else then that something else absorbs that energy	nongold
16	heat is a kind of energy	gold
17	if heat is added to a substance then that substance absorbs that heat	nongold
18	produce is similar to release	nongold
19	chemical reactions can cause gas to be released into the atmosphere	nongold
20	photosynthesis is a kind of chemical reaction	nongold
21	to be made of something means to be formed of that something	nongold
22	combining; mixing two substances chemically causes chemical reactions	nongold
23	temperature is a measure of heat energy	nongold
24	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
25	producing is similar to releasing	nongold
26	to give off means to be the source of	nongold
27	to add means to increase	nongold
28	thermal energy is a kind of energy	nongold
29	absorption is a kind of event	nongold
30	heat energy is synonymous with thermal energy	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	a chemical reaction is a kind of process	nongold
33	forming is similar to converting	nongold
34	chemical reaction means chemical bonds change	nongold
35	if something transfers something else then that something is a source of something else	nongold
36	respiration releases energy	nongold
37	to change into means to form	nongold
38	substances are made of matter	nongold
39	to be formed by is similar to being produced by	nongold
40	if something releases something else then that something else decreases in that something	nongold
41	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
42	food is a kind of chemical energy	nongold
43	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
44	matter; materials; substances are made of atoms; particles	nongold
45	gas is a kind of state of matter	nongold
46	to exhale means to release	nongold
47	forming something is a kind of change	nongold
48	compound is a kind of chemical	nongold
49	a reaction is a kind of process	nongold
50	materials are made of matter	nongold
51	an increase is a kind of change	nongold
52	metal is a thermal; thermal energy conductor	nongold
53	An example of a chemical property is how a material reacts chemically	nongold
54	negatively charged particles are involved in chemical reactions	nongold
55	gas is a kind of substance	nongold
56	absorbing sunlight causes objects to heat	nongold
57	matter is made of molecules	nongold
58	heat energy can change the state of matter	nongold
59	substances are made of molecules	nongold
60	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
61	liquid is a kind of state of matter	nongold
62	absorption is a kind of process	nongold
63	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
64	products are formed; are produced; are created	nongold
65	releasing energy is a kind of function	nongold
66	most means over 50% of something	nongold
67	an endothermic reaction converts heat energy into chemical energy	nongold
68	a chemical compound is a kind of compound	nongold
69	to convert means to change	nongold
70	combustion is a kind of exergonic reaction	nongold
71	absorbing is a kind of function	nongold
72	heat means the transfer of thermal energy	nongold
73	absorbing something from the air decreases the  amount of  that something in the air	nongold
74	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
75	adding heat means increasing temperature	nongold
76	solid is a kind of state of matter	nongold
77	composed of means made of	nongold
78	carbon dioxide is a kind of gas	nongold
79	if gases are released by a chemical reaction then the total mass of the product will be less than the total mass of the reactants	nongold
80	fire is a kind of chemical reaction	nongold
81	chlorine is a kind of element	nongold
82	solar energy is a kind of heat energy	nongold
83	combustion is a kind of exothermic reaction	nongold
84	a compound is made of two or more elements that have been chemically combined	nongold
85	hydrogen is a kind of gas at room temperature	nongold
86	water is an thermal; thermal energy conductor	nongold
87	a compound is a kind of substance	nongold
88	absorbing something harmful has a negative impact on a thing	nongold
89	to make means to form	nongold
90	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
91	a  gas is a kind of  element	nongold
92	oxygen is a kind of gas at room temperature	nongold
93	an event is a kind of action	nongold
94	high is similar to increase	nongold
95	evaporating is a kind of phase change	nongold
96	cooking causes a chemical reaction	nongold
97	a process is a kind of event	nongold
98	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
99	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
