Question	One way animals usually respond to a sudden drop in temperature is by	question
Answer	shivering	answer
0	cold temperatures; cool temperatures cause animals to shiver	gold
1	shivering is a kind of shaking	nongold
2	cold means low in temperature	nongold
3	cooling;colder means removing;reducing;decreasing heat;temperature	gold
4	shivering is when an animal creates heat by shaking to keep the body warm	gold
5	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
6	temperature drop means temperature decrease	nongold
7	temperature drop means cooling	gold
8	colder; cooler means lower in temperature	nongold
9	temperature drop means become colder	nongold
10	drop means decrease	nongold
11	freezing is a kind of phase change	nongold
12	freezing means cold temperatures	nongold
13	an increase is the opposite of a decrease	nongold
14	temperature is a measure of heat energy	nongold
15	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	gold
16	a human is a kind of animal	nongold
17	warmer means greater; higher in temperature; warmth	nongold
18	a decrease is a kind of change	nongold
19	an increase is a kind of change	nongold
20	an animal is a kind of organism	nongold
21	an animal is a kind of living thing	gold
22	to reduce means to decrease	nongold
23	heat means heat energy	nongold
24	cooling means temperature decreases	nongold
25	to lower means to decrease	nongold
26	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
27	warm means medium heat energy; temperature	nongold
28	low is similar to decrease	nongold
29	something in a cold place becomes cold	nongold
30	warm means warm temperature	nongold
31	cool means cold	nongold
32	temperature is a property of weather	nongold
33	solid is a kind of state of matter	nongold
34	temperature rise means become warmer	nongold
35	an organism is a living thing	nongold
36	cold is a kind of weather	nongold
37	temperature changing can cause phase changes	nongold
38	person is synonymous with human	nongold
39	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
40	high is similar to increase	nongold
41	temperature  rise means temperature increase	nongold
42	if a living thing becomes too cold then that living thing will die	gold
43	the body of a warm-blooded animal is usually warm in temperature	nongold
44	liquid is a kind of state of matter	nongold
45	to add means to increase	nongold
46	water is a kind of liquid at room temperature	nongold
47	an animal usually requires a warm body temperature for survival	gold
48	winter has cold temperatures;weather	nongold
49	a living thing is a kind of object	nongold
50	an animal requires warmth for survival	nongold
51	hot means high in heat energy; temperature	nongold
52	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
53	cooler means colder	nongold
54	the body is a part of an organism	nongold
55	extreme means very high in value	nongold
56	keeping warm is the opposite of becoming  cold	nongold
57	if something is  cold in temperature , then something will be cold to touch	nongold
58	a drop is a small amount of liquid	nongold
59	heat means temperature increases	nongold
60	temperature is a kind of condition	nongold
61	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
62	ice is cold in temperature	nongold
63	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
64	staying warm means keeping warm	nongold
65	warm is the opposite of cool	nongold
66	sweat cools; helps to cool a body	nongold
67	a drop is a kind of liquid small amount	nongold
68	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
69	hot is the opposite of  cold	nongold
70	human is a kind of organism	nongold
71	keeping cool means not increasing temperature	nongold
72	to change means to cause a change	nongold
73	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
74	cold temperatures usually have a negative impact on organisms	nongold
75	answering questions requires information	nongold
76	shaking is a kind of motion	nongold
77	water is a kind of matter	nongold
78	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
79	frozen means solid	nongold
80	state of matter means physical state	nongold
81	phase means state	nongold
82	affected means changed	nongold
83	a phase change is a kind of physical change	nongold
84	as temperature in the environment increases , the body temperature  of a reptile in that environment will increase	nongold
85	physical state means state of matter	nongold
86	a change is a kind of event	nongold
87	less is similar to decrease	nongold
88	water is a kind of substance	nongold
89	fur is often part of an animal	nongold
90	ice is colder than water in temperature	nongold
91	a person is a kind of animal	nongold
92	freezing causes a solid to form	nongold
93	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
94	a behavior is a kind of characteristic	nongold
95	as the cause of something decreases , that something will decrease	nongold
96	variable means able to change	nongold
97	heat energy can change the state of matter	nongold
98	to slow; to slow down decreases speed	nongold
99	snow falls during the winter in some environments	nongold
