Question	When Isaac Newton theorized that gravity caused objects to fall to the ground, he had also discovered the force that causes	question
Answer	the planets to orbit the Sun.	answer
0	gravity causes orbits	gold
1	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
2	planets orbit stars	gold
3	revolving  around something means orbiting that something	nongold
4	gravity is a kind of force	nongold
5	moons orbit planets	nongold
6	orbiting is a kind of action	nongold
7	to land on the ground means to hit the ground	nongold
8	orbit means orbital path	nongold
9	planets in the solar system orbit the Sun	nongold
10	dropping something causes that something to fall	nongold
11	the Sun is a kind of star	gold
12	planets have cleared their orbits	nongold
13	gravity accelerates an object while that object falls by pulling on it	nongold
14	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
15	the Earth revolves around the sun	nongold
16	a planet is a kind of celestial object; body	nongold
17	the moon orbits the Earth	nongold
18	a planet completes one orbit around its star over a period of one planetary year	nongold
19	falling means moving downward	nongold
20	to discover means to make a discovery	nongold
21	the ground is at the bottom of an area	nongold
22	Earth is a kind of planet	nongold
23	a star is a kind of celestial object; celestial body	nongold
24	to be a source of something means to cause that something	nongold
25	a moon is a kind of celestial object; body	nongold
26	the ground is part of the Earth	nongold
27	discovering something usually requires seeing that something	nongold
28	to drop means to fall	nongold
29	to discover means to find	nongold
30	rising is a kind of motion	nongold
31	the mass of a planet causes the pull of gravity on that planet	nongold
32	a motion is a kind of event; action	nongold
33	the sun rising is a kind of event	nongold
34	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
35	come down is similar to falling	nongold
36	ground means floor	nongold
37	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
38	N means newton	nongold
39	the ground means Earth's surface	nongold
40	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
41	rolling down is similar to falling	nongold
42	to travel up means to rise	nongold
43	Celestial bodies move in orbits in space around other celestial bodies	nongold
44	an event is a kind of action	nongold
45	a living thing is a kind of object	nongold
46	downward means down	nongold
47	sinking means moving down	nongold
48	gravity pulls objects towards planets	nongold
49	if something is caused by something else , then that something can be explained by that something else	nongold
50	the mass of an object causes the gravitational force exerted by that object	nongold
51	a particle is a kind of object	nongold
52	the sun setting is a kind of event	nongold
53	an animal is a kind of living thing	nongold
54	a rock is a kind of object	nongold
55	the bottom is the lowest part of something	nongold
56	astronomy is the study of celestial (objects, bodies)	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
59	a landform is a kind of object	nongold
60	the sun is a kind of yellow dwarf	nongold
61	can be means able to be	nongold
62	a force is a kind of push or pull on an object	nongold
63	weight means the force of gravity acting on an object	nongold
64	causing means influencing	nongold
65	an orbit is a kind of regular path	nongold
66	lowering is a kind of motion	nongold
67	jumping off is a kind of  moving down	nongold
68	a planet rotating causes cycles of day and night on that planet	nongold
69	gravity causes nebulas to collapse	nongold
70	a vehicle is a kind of object	nongold
71	low means down	nongold
72	to cause something means to contribute to that something happening	nongold
73	Weight is  the  force of gravity acting on an object	nongold
74	the moon orbiting the Earth occurs approximately 13 times per year	nongold
75	the sun rising and setting causes cycles of day and night	nongold
76	to ascend means to rise	nongold
77	something that happens is a kind of event	nongold
78	rising means moving upward	nongold
79	Mars is a kind of planet	nongold
80	objects are made of materials; substances; matter	nongold
81	to change means to cause a change	nongold
82	the Sun is the  star that is closest to Earth	nongold
83	a planet is a kind of place	nongold
84	a process is a kind of event	nongold
85	a revolution occurs when something revolves around something else	nongold
86	a change is a kind of event	nongold
87	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
88	new means different from the former one	nongold
89	planetary orbits are mostly elliptical	nongold
90	motion; movement means moving; to move	nongold
91	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
92	a cause of something is a reason for that something	nongold
93	an object is made of its parts	nongold
94	to happen means to occur	nongold
95	a star is formed by collapsing clouds of gas and dust	nongold
96	all planets orbit the sun in the same direction	nongold
97	the sun is the strongest source of gravity in the solar system	nongold
98	a planet is a kind of location	nongold
99	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
