Question	Which statement is true for all objects?	question
Answer	All objects have mass.	answer
0	mass is a property of objects; matter	nongold
1	mass is a kind of physical property	nongold
2	mass is a measure of the amount of matter in an object	nongold
3	mass; weight is a property of matter; objects; materials	gold
4	an object has properties	nongold
5	a living thing is a kind of object	nongold
6	objects are made of materials; substances; matter	gold
7	density is a measure of mass of an object over volume; divided by volume	nongold
8	as state of matter changes , mass will not change	nongold
9	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
10	weight is a property of objects; matter	nongold
11	a physical property is a kind of property	nongold
12	substances are made of matter	nongold
13	materials are made of matter	nongold
14	an animal is a kind of living thing	nongold
15	can be means able to be	nongold
16	mass; weight is an extensive property	nongold
17	a human is a kind of animal	nongold
18	if an object is made of a material then that object has the properties of that material	nongold
19	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
20	to lack means to not have	nongold
21	if an object has a small volume and large mass , then the object will  have a high density	nongold
22	an object is made of its parts	nongold
23	to be characterized by  a property means to have that property	nongold
24	state of matter is a kind of physical property	nongold
25	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
26	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
27	an part of an object is smaller than the entire object	nongold
28	a weight is a kind of object	nongold
29	not is similar to the opposite of	nongold
30	mass is similar to size	nongold
31	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
32	a surface is a part of an object	nongold
33	weight is a measure of the force of the gravity on the mass of an object	nongold
34	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
35	temperature changing does not cause mass to change	nongold
36	heat means heat energy	nongold
37	classifying is when one sorts something by kind; type	nongold
38	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
39	solid is a kind of state of matter	nongold
40	an increase is a kind of change	nongold
41	to be made of something means to be formed of that something	nongold
42	classifying means grouping objects; materials by their properties	nongold
43	a land mass is a kind of object	nongold
44	an event is a kind of action	nongold
45	a gram  is a kind of unit for measuring mass	nongold
46	to contain something means to have that something	nongold
47	all elements are a kind of pure substance	nongold
48	particles in objects are a kind of matter	nongold
49	an organism is a living thing	nongold
50	a source of something emits; produces; generates; provides that something	nongold
51	a chemical property is the opposite of a physical property	nongold
52	all the other means the rest of	nongold
53	massive means great in mass	nongold
54	mass; weight are the same on Earth	nongold
55	material means substance	nongold
56	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
57	composed of means made of	nongold
58	the universe started as a single mass according to the Big Bang Theory	nongold
59	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
60	made up of means contains; made of	nongold
61	a  chemical property is a kind of  property	nongold
62	a surface is a kind of object	nongold
63	a piece of something is a kind of object	nongold
64	to contain means to have inside	nongold
65	density is a kind of physical property	nongold
66	the mass of an object causes the gravitational force exerted by that object	nongold
67	to add means to increase	nongold
68	the  property of something is the same for the things of same kind	nongold
69	a kind of something is an example of that something	nongold
70	high is similar to increase	nongold
71	the effects of something is a property of that something	nongold
72	mass has no impact on boiling; melting; freezing point	nongold
73	affected means changed	nongold
74	when two or more elements; molecules combine chemically , the mass of the product is equal to the combined masses of the elements or molecules	nongold
75	definite is the opposite of variable	nongold
76	liquid is a kind of state of matter	nongold
77	a type of something is a kind of property of that something	nongold
78	moisture is a property of air mass and includes ordered values of dry; humid	nongold
79	an element is a kind of material	nongold
80	an animal is a kind of organism	nongold
81	a type is synonymous with a kind	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	a landform is a kind of object	nongold
84	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
85	durability is a property of materials; objects and includes ordered values of durable; not durable	nongold
86	weight is a kind of property	nongold
87	form means kind	nongold
88	a surface is a part of a material	nongold
89	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
90	composition is a property of an object; matter	nongold
91	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
92	as the heat  of an object increases , the mass of the object will stay the same	nongold
93	as the force  of gravity changes , the mass of the object will stay the same	nongold
94	category means kind	nongold
95	a kilogram is a kind of unit for measuring mass	nongold
96	as a substance dissolves in water , the mass of the substance will stay the same	nongold
97	a motion is a kind of event; action	nongold
98	to be made of means to consist of	nongold
99	a particle is a kind of object	nongold
