Question	Which of the following best describes a mineral?	question
Answer	a solid natural material with a crystal structure	answer
0	a mineral is a kind of solid; natural material	gold
1	being made of crystals is synonymous with having a crystal structure	nongold
2	a mineral usually has a crystal structure	gold
3	the properties of something are used for describing that something	gold
4	crystal is a kind of  solid	nongold
5	a solid is a kind of substance	nongold
6	structure is a property of an object; a material; a substance	gold
7	a rock is usually a solid	nongold
8	a structure of something is synonymous with a part of that something	nongold
9	a mineral is a kind of object	nongold
10	solid is a kind of state of matter	nongold
11	a part of a living thing is a natural structure	nongold
12	if an object is made of a material then that object has the properties of that material	nongold
13	the properties of something can be used to identify; used to describe that something	nongold
14	objects are made of materials; substances; matter	nongold
15	material means substance	nongold
16	rock is made of minerals	nongold
17	materials are made of matter	nongold
18	rock is a kind of material	nongold
19	system is similar to structure	nongold
20	all minerals are formed by natural geological processes	nongold
21	made by humans; artificial is the opposite of natural	nongold
22	an object has properties	nongold
23	a rock is a kind of object	nongold
24	measuring is used for describing an object	nongold
25	matter; materials; substances are made of atoms; particles	nongold
26	a physical property is a kind of property	nongold
27	liquid is a kind of state of matter	nongold
28	classifying means grouping objects; materials by their properties	nongold
29	substances are made of matter	nongold
30	the location of an object can be used to describe that object	nongold
31	state of matter is a kind of physical property	nongold
32	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
33	state of matter at room temperature is a kind of physical property	nongold
34	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
35	physical state means state of matter	nongold
36	to be made of something means to be formed of that something	nongold
37	a type is synonymous with a kind	nongold
38	phase means state	nongold
39	can be means able to be	nongold
40	if something is made of something; a material then that something contains that something; that material	nongold
41	an element is a kind of material	nongold
42	something's function can be used to describe; identify that something	nongold
43	state of matter means physical state	nongold
44	Matter in the solid phase has definite shape	nongold
45	a description sometimes provides information	nongold
46	affected means changed	nongold
47	a type of something is a kind of property of that something	nongold
48	form means kind	nongold
49	the shape of the crystal of a substance can be used for identifying the substance	nongold
50	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
51	answering questions requires information	nongold
52	temperature is a measure of heat energy	nongold
53	composed of means made of	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	a structure is a kind of feature	nongold
56	a liquid is a kind of substance	nongold
57	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
58	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
59	composition is a property of an object; matter	nongold
60	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
61	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
62	glass is a kind of solid at room temperature	nongold
63	high is similar to increase	nongold
64	an object; material; substance comes from that object or material's source	nongold
65	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
66	state means form	nongold
67	material composition is a kind of chemical property	nongold
68	classifying is when one sorts something by kind; type	nongold
69	a metal is usually a solid at room temperature	nongold
70	strong means high in strength	nongold
71	water is a kind of matter	nongold
72	variable means able to change	nongold
73	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
74	structure is similar to shape	nongold
75	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
76	a property is similar to a factor	nongold
77	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
78	mixture means solids combined together that maintain their physical properties	nongold
79	heat means heat energy	nongold
80	a chemical property is the opposite of a physical property	nongold
81	to add means to increase	nongold
82	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
83	liquid; solid means nongaseous	nongold
84	made of is similar to contains	nongold
85	best means most positive	nongold
86	an element is a kind of  substance	nongold
87	a quartz is made of six-sided transparent crystals	nongold
88	an earthquake is a kind of natural; geological event	nongold
89	a container contains objects; material; substances	nongold
90	frozen means solid	nongold
91	made up of means contains; made of	nongold
92	calcium is a kind of element	nongold
93	melting is when solids are heated above their melting point	nongold
94	mica is a kind of mineral	nongold
95	natural events usually cause changes to Earth's surface	nongold
96	Matter in the solid phase has definite volume	nongold
97	organic is similar to natural	nongold
98	composition means the (materials, substances) of which something is composed	nongold
99	formation of a state of matter is a kind of process	nongold
