Question	Water causes weathering when it	question
Answer	erodes rock in its path.	answer
0	weathering is a kind of erosion	gold
1	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	gold
2	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
3	weathering; erosion usually occurs over a period of many years	nongold
4	weathering is a kind of process	nongold
5	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
6	weathering occurs at the surface of the Earth	nongold
7	erosion is a kind of process	nongold
8	ice wedging is a kind of mechanical weathering	nongold
9	erosion is a kind of change	nongold
10	flowing is a kind of motion	nongold
11	if an object erodes , then the amount of matter in that object will decrease	nongold
12	mechanical weathering is when rocks are broken down by mechanical means	nongold
13	mechanical weathering is a kind of weathering	nongold
14	An example of weathering is when a plant root grows into a crack in rock	nongold
15	rock is a kind of material	nongold
16	soil erosion means soil loss through wind;water; animals	nongold
17	water causes the most soil and rock erosion	nongold
18	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
19	chemical weathering is a kind of weathering	nongold
20	to add means to increase	nongold
21	a river is a kind of flowing body of water	nongold
22	to lower means to decrease	nongold
23	breaking down is a kind of forming	nongold
24	abrasion is a kind of weathering	nongold
25	soil contains water; humus; weathered rocks; organic matter	nongold
26	a rock is a kind of object	nongold
27	path is a kind of pathway	nongold
28	sometimes weathering smooths; rounds rocks	nongold
29	water is a kind of matter	nongold
30	cycles of freezing and thawing water cause ice wedging	nongold
31	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
32	to be a source of something means to cause that something	nongold
33	to wash away is a kind of movement by moving water	nongold
34	a glacier causes mechanical weathering	nongold
35	to give off means to be the source of	nongold
36	water easily passes through pebbles	nongold
37	water is a kind of substance	nongold
38	weather is a source of wind and water for the weathering process	nongold
39	to reduce means to decrease	nongold
40	erosion is a kind of destructive force	nongold
41	sediment is formed by weathering	nongold
42	to change means to cause a change	nongold
43	soil erosion is a kind of slow; natural process	nongold
44	Earth is made of rock	nongold
45	a tectonic plate moves along a fault line	nongold
46	a stream is a kind of body of water	nongold
47	rock means stone	nongold
48	a body of water is a source of water	nongold
49	due to means caused by	nongold
50	increase means more	nongold
51	igneous is a kind of rock	nongold
52	soil is formed by rocks eroding	nongold
53	to give is similar to to cause	nongold
54	water is a kind of liquid at room temperature	nongold
55	erosion causes deposition	nongold
56	groundwater is a kind of water	nongold
57	an increase is a kind of change	nongold
58	a pebble is a kind of small rock	nongold
59	to cause means to make	nongold
60	motion is when moves an object; something to a direction	nongold
61	dissolving is similar to breaking down	nongold
62	a decrease is a kind of change	nongold
63	formation of a state of matter is a kind of process	nongold
64	to undergo is similar to to pass through	nongold
65	change is a kind of process	nongold
66	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
67	flowing is a kind of action	nongold
68	a part of a process means a stage in a process	nongold
69	a component means a part of	nongold
70	an increase is the opposite of a decrease	nongold
71	a body of water is a kind of environment	nongold
72	high is similar to increase	nongold
73	movement is a kind of change	nongold
74	a motion is a kind of event; action	nongold
75	break down means change from a whole into pieces	nongold
76	Earth's surface is made of rock	nongold
77	to cause is similar to bring	nongold
78	a process is a kind of event	nongold
79	to pass through means to move through	nongold
80	a component of something means a part of that something	nongold
81	a body of water contains water	nongold
82	to cross means to pass	nongold
83	pulling is a kind of motion	nongold
84	a river is a kind of channel for water	nongold
85	water is a part of an environment	nongold
86	liquid is a kind of state of matter	nongold
87	rising is a kind of motion	nongold
88	an event is a kind of action	nongold
89	if something causes a process then that something is required for that process	nongold
90	to cause the formation of means to form	nongold
91	erosion; storms can cause a landslide	nongold
92	to cause means to result in	nongold
93	to increase is similar to to create	nongold
94	material means substance	nongold
95	an object is made of its parts	nongold
96	a riverbed is a part of a river	nongold
97	skidding is a kind of motion	nongold
98	to turn means to change	nongold
99	landform means surface feature; physical feature; land feature	nongold
