Question	A beaker containing 50 milliliters of ice is placed on a windowsill. After several hours, the ice melts. What property of the ice did not change when it melted?	question
Answer	the mass	answer
0	beaker is a kind of container	nongold
1	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
2	temperature changing does not cause mass to change	nongold
3	a beaker is used for measuring the volume of substances	nongold
4	as state of matter changes , mass will not change	nongold
5	mass is a property of objects; matter	nongold
6	mass; weight is a property of matter; objects; materials	gold
7	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
8	being  on something; placed in something; placed over something means touching  that something	nongold
9	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
10	mass has no impact on boiling; melting; freezing point	nongold
11	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
12	phase changes do not change mass	gold
13	temperature is a measure of heat energy	nongold
14	mass; weight is an extensive property	nongold
15	to remain means to not change	nongold
16	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
17	milliliters is a kind of unit for measuring volume of liquids	nongold
18	water is a kind of liquid at room temperature	nongold
19	as amount; size of something increases , the intensive properties of that something will not change	nongold
20	water is a kind of substance	gold
21	a liquid is a kind of substance	nongold
22	an increase is a kind of change	nongold
23	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
24	a type of something is a kind of property of that something	nongold
25	as the temperature of something increases , the intensive properties of that something will not change	nongold
26	ice is a kind of object	nongold
27	a container contains objects; material; substances	nongold
28	matter; materials; substances are made of atoms; particles	nongold
29	structure is a property of an object; a material; a substance	nongold
30	a window is a kind of object	nongold
31	a property of something is a feature of that something	nongold
32	melting is when solids are heated above their melting point	nongold
33	mass is a kind of physical property	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	water is a kind of matter	nongold
36	ice is a kind of solid	nongold
37	melting is a kind of phase change	gold
38	a decrease is a kind of change	nongold
39	affected means changed	nongold
40	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
41	heat means temperature increases	nongold
42	mL means milliliters	nongold
43	to change means to cause a change	nongold
44	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
45	adding heat means increasing temperature	nongold
46	liquid is a kind of state of matter	nongold
47	mass is a measure of the amount of matter in an object	nongold
48	heat energy can change the state of matter	nongold
49	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
50	water is a kind of object	nongold
51	an object has properties	nongold
52	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
53	heat means heat energy	nongold
54	an increase is the opposite of a decrease	nongold
55	to add means to increase	nongold
56	temperature is a property of weather	nongold
57	a container is a kind of object	nongold
58	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
59	high is similar to increase	nongold
60	what something needs is a property of that something	nongold
61	heating means adding heat	nongold
62	mass is similar to size	nongold
63	to maintain means to not change	nongold
64	objects are made of materials; substances; matter	nongold
65	temperature is an intensive property	nongold
66	a window is made of glass	nongold
67	solid is a kind of state of matter	nongold
68	material means substance	nongold
69	state of matter is a kind of physical property	nongold
70	to conserve means to not change	nongold
71	density is a measure of mass of an object over volume; divided by volume	nongold
72	variable means able to change	nongold
73	metal is a kind of material	nongold
74	if an object is made of a material then that object has the properties of that material	nongold
75	the effects of something is a property of that something	nongold
76	hours are a kind of unit for measuring time	nongold
77	freezing is a kind of phase change	nongold
78	state of matter at room temperature is a kind of physical property	nongold
79	a physical property is a kind of property	nongold
80	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
81	stay the same means not changing	nongold
82	low is similar to decrease	nongold
83	to lower means to decrease	nongold
84	a glacier is a kind of body of water	nongold
85	weight is a property of objects; matter	nongold
86	a glacier is made of ice	nongold
87	constant means not changing	nongold
88	metal is a kind of substance	nongold
89	to reduce means to decrease	nongold
90	icy means made of ice	nongold
91	cooling means temperature decreases	nongold
92	to slow; to slow down decreases speed	nongold
93	a window is a part of a house	nongold
94	if the component of something changed , then the whole thing will change	nongold
95	ice is colder than water in temperature	nongold
96	variability of shape; variability of volume is a kind of physical property	nongold
97	condition means the state of the property	nongold
98	a room is a kind of container	nongold
99	materials are made of matter	nongold
