Question	A family installs a new heating system in their home. Which is the most desirable result of the new heating system?	question
Answer	decreasing the amount of energy used	answer
0	desirable result means positive impact	gold
1	result means outcome	nongold
2	energy is used for heating a building by a heating system	gold
3	an increase is the opposite of a decrease	nongold
4	less is similar to decrease	gold
5	as the amount of a source of something decreases , the amount of that something will decrease	nongold
6	a house is a kind of home	gold
7	decreasing something negative has a positive impact on a thing	nongold
8	to lower means to decrease	nongold
9	a home is a kind of building	nongold
10	decreasing something positive has a negative impact on a thing	nongold
11	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
12	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
13	to reduce means to decrease	nongold
14	low is similar to decrease	nongold
15	thermal energy is a kind of energy	nongold
16	negative impact is the opposite of positive impact	nongold
17	if something with the same function as something else is being used then the use of that something else decreases	nongold
18	high is similar to increase	nongold
19	a decrease is a kind of change	nongold
20	heat is a kind of energy	nongold
21	heating means adding heat	nongold
22	heat energy is synonymous with thermal energy	nongold
23	as the use of something decreases , the use of the source of that something will decrease	nongold
24	temperature is a measure of heat energy	nongold
25	to cause means to result in	nongold
26	product means result	nongold
27	requiring is similar to needing help	nongold
28	adding heat means increasing temperature	nongold
29	helping something has a  positive impact on that something	nongold
30	solution is similar to a positive impact	nongold
31	less means a reduced amount	nongold
32	a source of something increases the amount of that something	nongold
33	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
34	increase means more	nongold
35	using less energy in the home has a positive impact on a family's finances	gold
36	if something is required for a process then that something positively impacts that process	nongold
37	to improve means to have a positive impact	nongold
38	impact means effect	nongold
39	to be used for something means to be required by that something	nongold
40	as a system; a device grows old , that system; device will use more energy	gold
41	as the cause of something decreases , that something will decrease	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	change is a kind of impact	nongold
44	best means most positive	nongold
45	a positive impact is a helpful effect	nongold
46	to add means to increase	nongold
47	adverse effect means negative impact	nongold
48	an increase is a kind of change	nongold
49	resources sometimes are used for energy	nongold
50	the transfers of energy cause usable energy to decrease	nongold
51	a house is a kind of building	gold
52	a positive impact is  a benefit	nongold
53	to be formed by is to be the result of	nongold
54	to help; to benefit means to be of use	nongold
55	heat means heat energy	nongold
56	to produce means to result in	nongold
57	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
58	a negative impact is a kind of consequence; risk	nongold
59	little is similar to decrease	nongold
60	less is the opposite of more	gold
61	a homeowner is a kind of human	nongold
62	good means positive	nongold
63	if something emits something else then that something increases the amount of that something else	nongold
64	applying is similar to increasing	nongold
65	a human is a kind of animal	nongold
66	to change means to have an effect	nongold
67	requiring something means needing that something	nongold
68	if something causes a process then that something is required for that process	nongold
69	if a living thing requires something then that something has a positive impact on that living thing	nongold
70	person is synonymous with human	nongold
71	getting something increases the amount of that something	nongold
72	electrical energy is a kind of energy	nongold
73	replacing something causes that something to decrease	nongold
74	household appliances are a kind of electrical device	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	heat means temperature increases	nongold
77	consumption means use	nongold
78	a result of something is evidence of that something	nongold
79	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
80	to slow; to slow down decreases speed	nongold
81	to power means to provide energy for	nongold
82	to depend on; to rely on; to need means to require	nongold
83	saving money has a positive impact on a person; a company	nongold
84	greatest means largest; highest; most amount of something	nongold
85	operating electrical appliances requires electricity	nongold
86	using resources decreases those resources	nongold
87	high-quality means positive	nongold
88	a device requires energy to operate	nongold
89	lower means less	nongold
90	losing energy decreases the efficiency of an object; of a system	nongold
91	as distance from a source of something increases , that something will decrease	nongold
92	too much is similar to increase	nongold
93	affected means changed	nongold
94	to limit means to decrease	nongold
95	to serve as means to be used as	nongold
96	largest amount means most	nongold
97	better means good	nongold
98	helping means something can be done; completed more easily; better	nongold
99	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
