Question	Which are examples of inherited traits?	question
Answer	nose shape	answer
0	a nose is a part of a body	gold
1	shape is a kind of characteristic	nongold
2	the shape of body parts is an inherited characteristic	gold
3	eye color is an inherited characteristic	nongold
4	shape is a property of an object	nongold
5	a kind of something is an example of that something	nongold
6	an inherited characteristic is a kind of characteristic	nongold
7	trait is synonymous with characteristic	gold
8	shape is a property of the appearance of an object	nongold
9	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
10	coloration means a thing's color	nongold
11	shape of the parts of something is a property of that something	nongold
12	structure is similar to shape	nongold
13	the color of; coloration of fur is an inherited characteristic	nongold
14	a face is often a part of an animal	nongold
15	color is a property of  an object; a material	nongold
16	an animal is a kind of organism	nongold
17	feature is synonymous with characteristic	nongold
18	what an object is made of is a kind of characteristic	nongold
19	a type is synonymous with a kind	nongold
20	characteristic means property	nongold
21	an animal is a kind of living thing	nongold
22	a structure of something is synonymous with a part of that something	nongold
23	a part of something means a characteristic of something	nongold
24	shape is an extensive property	nongold
25	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
26	to be characterized by  a property means to have that property	nongold
27	a living thing is a kind of object	nongold
28	the colors of parts of an organism are inherited characteristics	nongold
29	an ear is a kind of body part	nongold
30	unique  is the opposite of diverse	nongold
31	a human is a kind of animal	nongold
32	color is an intensive property	nongold
33	personality is an acquired characteristic	nongold
34	heredity is similar to inheritance	nongold
35	intelligence is an acquired characteristic	nongold
36	a learned characteristic is a kind of acquired characteristic	nongold
37	trait means property	nongold
38	freckles are an inherited characteristic	nongold
39	an organism is a living thing	nongold
40	senses are an inherited characteristic	nongold
41	a dog is a kind of animal	nongold
42	coloration means a pattern of colors	nongold
43	a structure is a kind of feature	nongold
44	eyes are a part of a human for seeing	nongold
45	eyes are usually part of an animal for seeing	nongold
46	can be means able to be	nongold
47	species is an inherited characteristic	nongold
48	identical means copy	nongold
49	a property of something is a feature of that something	nongold
50	affected means changed	nongold
51	aspect of something is similar to part of something	nongold
52	not is similar to the opposite of	nongold
53	similarity means the same property	nongold
54	an object has properties	nongold
55	coloration is a kind of adaptation for hiding;camouflage	nongold
56	a cat is a kind of animal	nongold
57	human is a kind of organism	nongold
58	answering questions requires information	nongold
59	to change means to become different	nongold
60	dark means dark in color	nongold
61	appearance is a property of objects; materials	nongold
62	an part of an object is smaller than the entire object	nongold
63	resemble means similar characteristics	nongold
64	dark eyes is a dominant trait in human	nongold
65	curly is a kind of shape	nongold
66	brown is a kind of color	nongold
67	shape is a kind of physical property	nongold
68	to modify means to change	nongold
69	sharpness is a property of shape	nongold
70	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
71	smell is a kind of sense	nongold
72	variable means able to change	nongold
73	a human is a kind of mammal	nongold
74	phenotype of an organism means the visible traits of  an organism	nongold
75	the condition of parts of an organism are acquired characteristics	nongold
76	form means kind	nongold
77	if something is definite in shape then that something will not change shape easily	nongold
78	a part of a living thing is a natural structure	nongold
79	can means having the ability to	nongold
80	resemble means look like	nongold
81	typically means usually	nongold
82	a mammal is a kind of animal	nongold
83	smell is a property of an object; a material; a substance	nongold
84	height is an inherited characteristic	nongold
85	the size of an organism is an inherited characteristic	nongold
86	if two things have the same features then those two things are alike	nongold
87	to belong to a class means to be a kind of something	nongold
88	to give is similar to to cause	nongold
89	children; young is synonymous with offspring	nongold
90	a component of something means a part of that something	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	as amount; size of something increases , the intensive properties of that something will not change	nongold
93	to contain something means to have that something	nongold
94	length is a property of the shape of an object	nongold
95	human is similar to individual	nongold
96	the nose is a part of the respiratory system	nongold
97	a body part is a kind of object	nongold
98	skills are learned characteristics; behaviors	nongold
99	high is similar to increase	nongold
