Question	Which best explains how most soils are alike?	question
Answer	Most soils are found in layers.	answer
0	soil usually has layers	gold
1	often soil is found in an environment	nongold
2	found in means existing in	nongold
3	to be found in means to be contained in	nongold
4	soil is found on the surface of the Earth	nongold
5	most means over 50% of something	nongold
6	if something is a part of something then that something can be found in that something	nongold
7	if two things have the same features then those two things are alike	nongold
8	contains means located in	nongold
9	if something is located  in somewhere , then something can be found in somewhere	nongold
10	soil is usually part of an environment	nongold
11	soil is a kind of material	nongold
12	the top layer of soil contains the most nutrients	nongold
13	made up of means contains; made of	nongold
14	made of is similar to contains	nongold
15	unique  is the opposite of diverse	nongold
16	soil is made of solid particles	nongold
17	same means identical; equal in value; amount; number; quantity	nongold
18	best means most positive	nongold
19	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
20	denser means more dense	nongold
21	a plant is a kind of organism	nongold
22	soil is a part of the ground outside	nongold
23	a plant is a kind of living thing	nongold
24	answering questions requires information	nongold
25	composed of means made of	nongold
26	classifying means grouping objects; materials by their properties	nongold
27	the crust is a layer of the Earth	nongold
28	different types of soil have different textures	nongold
29	dense means high in density	nongold
30	to tell the difference between things means to classify those things	nongold
31	vegetation means plants	nongold
32	material means substance	nongold
33	usually something can be found  near a source in greater concentrations	nongold
34	if two things are made from the same objects; material then those two things are similar	nongold
35	soil is a kind of nonliving thing	nongold
36	a structure of something is synonymous with a part of that something	nongold
37	opposite is a kind of different	nongold
38	the  outer core is a layer of the Earth	nongold
39	identical is the opposite of different	nongold
40	a type is synonymous with a kind	nongold
41	structure is a property of an object; a material; a substance	nongold
42	if something is located in some place , then the presence of that something can be found in that location	nongold
43	the  property of something is the same for the things of same kind	nongold
44	a landform is a kind of object	nongold
45	plant and animal matter means organic matter	nongold
46	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
47	a living thing is a kind of object	nongold
48	different is the opposite of the same	nongold
49	soil contains water; humus; weathered rocks; organic matter	nongold
50	form means kind	nongold
51	the inner core is the most dense layer of Earth	nongold
52	can be means able to be	nongold
53	system is similar to structure	nongold
54	a structure is a kind of feature	nongold
55	if something is not the same as something else then that something is different from that something else	nongold
56	Earth's atmosphere has different layers	nongold
57	an object is made of its parts	nongold
58	a component of something means a part of that something	nongold
59	a layer of the atmosphere is similar to a region of the atmosphere	nongold
60	classifying is when one sorts something by kind; type	nongold
61	texture is a kind of physical property	nongold
62	a component means a part of	nongold
63	an organism is a source of organic matter	nongold
64	composition means the (materials, substances) of which something is composed	nongold
65	an environment means an area	nongold
66	to contain means to have inside	nongold
67	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
68	an organism is a living thing	nongold
69	different types of matter have different chemical properties	nongold
70	an organism is made of organic matter	nongold
71	sedimentary rocks often have different colored layers	nongold
72	usually means most of the time	nongold
73	the inner core is a layer of the Earth	nongold
74	state means form	nongold
75	if something is made of something; a material then that something contains that something; that material	nongold
76	if something is a part of something else then that something else contains that something	nongold
77	if something changes , then that something is not the same	nongold
78	different substances are different in density	nongold
79	materials are made of matter	nongold
80	most chloroplasts are found in the leaves of a plant	nongold
81	if something is copied then that something will be the same; similar; identical	nongold
82	to change means to become different	nongold
83	similarity means the same property	nongold
84	composition is a property of an object; matter	nongold
85	roots are a part of a plant; tree	nongold
86	landform means surface feature; physical feature; land feature	nongold
87	another means different	nongold
88	thickness is a property of an object and includes ordered  values of thin; thick	nongold
89	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
90	to be made of means to consist of	nongold
91	stay the same means not changing	nongold
92	to split means to break down	nongold
93	a part of something means a characteristic of something	nongold
94	mostly means being the most	nongold
95	where something  comes from is a source of that something	nongold
96	thickness is  a measure of how thick an object  is	nongold
97	the composition of the soil causes the texture of the soil to be different	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	material composition is a kind of chemical property	nongold
