Question	Rubbing sandpaper on a piece of wood produces what two types of energy?	question
Answer	sound and heat	answer
0	rubbing  is a kind of motion	nongold
1	to rub; to rub together means to move against	gold
2	a type is synonymous with a kind	gold
3	sandpaper is used to smooth wooden objects	nongold
4	a sheet of sandpaper is a kind of object	gold
5	a source of something emits; produces; generates; provides that something	nongold
6	sandpaper is made of sand glued to the surface of paper	nongold
7	wood is a thermal; thermal energy insulator	nongold
8	a rough surface is a part of sandpaper	nongold
9	sandpaper is a kind of tool for smoothing objects	nongold
10	wood is a kind of object	gold
11	wood is an thermal; thermal energy insulator	nongold
12	temperature is a measure of heat energy	gold
13	rubbing against something is a kind of contact	gold
14	rubbing different materials can cause electrical charge	nongold
15	heat means heat energy	gold
16	variety means different kinds; different types	nongold
17	a piece of something is a kind of object	nongold
18	when two objects are touched; are contacted; move against each other , sound is produced	gold
19	heat is a kind of energy	nongold
20	friction converts mechanical energy into heat energy	nongold
21	heat energy is synonymous with thermal energy	nongold
22	sound is a kind of energy	gold
23	wood has a smooth surface	nongold
24	sandpaper is a kind of paper	nongold
25	a surface is a part of a material	nongold
26	a surface is a part of an object	gold
27	sound means sound energy	nongold
28	sound is a kind of sound energy	nongold
29	brushing is a kind of action	nongold
30	wood is a kind of natural material	nongold
31	friction causes the temperature of an object to increase	gold
32	wood is a strong material	nongold
33	friction occurs when two object's surfaces move against each other	gold
34	heating means adding heat	nongold
35	a surface is a kind of object	nongold
36	a type of something is a kind of property of that something	nongold
37	both means two	nongold
38	sand  is a kind of material	nongold
39	form means kind	nongold
40	hot means high in heat energy; temperature	nongold
41	intense sound energy can move objects	nongold
42	friction acts to counter the motion of two objects when their surfaces are touching	nongold
43	generate means produce	nongold
44	sand  is a kind of substance	nongold
45	touching something means feeling that something	nongold
46	being  on something; placed in something; placed over something means touching  that something	nongold
47	classifying is when one sorts something by kind; type	nongold
48	sand  is a kind of solid	nongold
49	friction causes an object to lose energy	nongold
50	thermal energy is a kind of energy	nongold
51	if one surface; one substance; one object touches something then one is exposed to that something	nongold
52	a living thing is a kind of object	nongold
53	wood is a kind of energy resource	nongold
54	vibration is a kind of motion	nongold
55	a piece is a part of a whole	nongold
56	sand has a rough surface	nongold
57	conductivity is a property of a material; substance	nongold
58	loud means high in sound energy;sound intensity	nongold
59	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
60	carpet absorbs sound	nongold
61	vibrating matter can produce sound	nongold
62	sound requires matter to travel	nongold
63	being in something means touching that something	nongold
64	touching is when a body part makes contact with the surface of an object	nongold
65	friction exerts force on moving objects	nongold
66	thermal conduction is when heat flows from warmer object to cooler object	nongold
67	producing is similar to causing	nongold
68	an animal requires energy to move	nongold
69	metal is a thermal; thermal energy conductor	nongold
70	wood is a light material	nongold
71	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
72	objects are made of materials; substances; matter	nongold
73	a wall is a kind of surface	nongold
74	heat means temperature increases	nongold
75	a sheet of is similar to a piece of	nongold
76	surface type is a kind of characteristic	nongold
77	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
78	when a cooler object touches a warmer object , thermal conduction occurs	nongold
79	material means substance	nongold
80	sand  is a kind of mixture	nongold
81	friction is a kind of force	nongold
82	noise means sound	nongold
83	a hot substance is a source of heat	nongold
84	as roughness of a surface increases , friction will increase	nongold
85	sand is made of small particles	nongold
86	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
87	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
88	if something generates energy for something else then that something powers that something else	nongold
89	emit means produce	nongold
90	heat energy  can be used to heat up  an object	nongold
91	vibrations are a source of sound	nongold
92	water is an thermal; thermal energy conductor	nongold
93	feeling is when an living thing senses through touch	nongold
94	to touch means to contact	nongold
95	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
96	if something causes an increase in something else then that something produces that something else	nongold
97	a human is a kind of animal	nongold
98	matter; molecules vibrating can cause sound	nongold
99	an animal is a kind of living thing	nongold
