Question	A doorbell contains a simple electromagnet. Which change would most likely increase the strength of an electromagnet?	question
Answer	a larger power source	answer
0	an electromagnet is a kind of device	nongold
1	a larger power source provides more current to a wire; a conductor; an electromagnet	gold
2	an electromagnet is a kind of electric magnet	nongold
3	an electromagnet contains a wire; cylindrical ferrous metal	nongold
4	as the current supplied to an electromagnet increases , the strength of the electromagnet will increase	gold
5	electromagnets can be powered by electricity	nongold
6	a doorbell is a kind of electric device	nongold
7	a doorbell is a kind of bell	nongold
8	a doorbell converts electrical energy; electricity into sound energy	nongold
9	size of the object attracted by the electromagnet has no impact on the strength of the electromagnet	nongold
10	larger means greater; higher; more; increase in size	nongold
11	an electromagnet requires a ferrous metal to be the core	nongold
12	electromagnets generate magnetic fields	nongold
13	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic	nongold
14	a simple machine is a kind of tool	nongold
15	the core of an electromagnet is the metal	nongold
16	a door is a kind of object	nongold
17	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
18	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
19	an increase is a kind of change	gold
20	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
21	a complex machine is made of more than one simple machine	nongold
22	smaller means less; lower in size	nongold
23	greater means higher; more in value	nongold
24	strength is a property of an object; a material	nongold
25	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
26	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
27	larger; bigger is the opposite of smaller	nongold
28	high is similar to increase	nongold
29	a simple machine requires mechanical energy to function	nongold
30	a decrease is a kind of change	nongold
31	if something contains a large amount of magnetic material then that something will attract magnets	nongold
32	increase means more	gold
33	a source of something increases the amount of that something	nongold
34	electricity means electrical energy	nongold
35	a device is a kind of object	nongold
36	a magnet is a kind of object	nongold
37	electric devices require electrical energy to function	nongold
38	a machine is a kind of  device	nongold
39	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
40	if something is powered by something else then that something requires a source of that something else	nongold
41	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
42	as the amount; size of something increases , the extensive properties of that something will increase	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	less is similar to decrease	nongold
45	as amount; size of something increases , the intensive properties of that something will not change	nongold
46	strong means high in strength	nongold
47	higher means greater; above in value; amount; number	nongold
48	to lower means to decrease	nongold
49	a machine is a kind of object	nongold
50	to add means to increase	nongold
51	metal is an  electrical; electrical energy conductor	nongold
52	low is similar to decrease	nongold
53	an increase is the opposite of a decrease	nongold
54	electricity is used as an energy source by electrical devices	nongold
55	ringing is a kind of function of a doorbell	nongold
56	a conducting metal loop is a kind of electromagnet	nongold
57	if something emits something else then that something increases the amount of that something else	nongold
58	electrical devices are used for industrial purposes; household purposes by humans	nongold
59	a doorknob is a kind of object	nongold
60	electrical energy is a kind of energy	nongold
61	if an object is made of a material then that object has the properties of that material	nongold
62	if something is made of something; a material then that something contains that something; that material	nongold
63	electrical current means electrical energy	nongold
64	small is the opposite of large	nongold
65	to be used for something means to be required by that something	nongold
66	an part of an object is smaller than the entire object	nongold
67	metal is sometimes magnetic	nongold
68	to power means to provide energy for	nongold
69	magnetic energy is a kind of energy	nongold
70	metal is a kind of material	nongold
71	electric currents produce magnetic fields	nongold
72	an electrical device requires electricity to turn on	nongold
73	size; amount of space means volume	nongold
74	affected means changed	nongold
75	to reduce means to decrease	nongold
76	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
77	a generator is a kind of  device	nongold
78	faster means an increase; higher in speed	nongold
79	variable means able to change	nongold
80	if something generates energy for something else then that something powers that something else	nongold
81	decreasing is similar to becoming smaller	nongold
82	made of is similar to contains	nongold
83	a tool is a kind of object	nongold
84	weak means low in strength	nongold
85	strength is a kind of property	nongold
86	can be means able to be	nongold
87	to change means to cause a change	nongold
88	device means tool	nongold
89	to provide something means to be the source of that something	nongold
90	to turn means to change	nongold
91	if something weakens , then that something is weaker	nongold
92	if something is a source of something else then that something usually contains that something else	nongold
93	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
94	a battery-operated device is a kind of electrical device	nongold
95	often is similar to likely	nongold
96	little is similar to decrease	nongold
97	extreme means very high in value	nongold
98	form means kind	nongold
99	to convert means to change	nongold
