Question	Different systems of the human body perform different functions. Which system takes oxygen from the air to be moved by the circulatory system?	question
Answer	the respiratory system	answer
0	the circulatory system is a kind of human; organ; body system	nongold
1	the respiratory system takes in oxygen from the air	gold
2	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
3	the respiratory system transfers oxygen to the circulatory system	gold
4	the respiratory system is a kind of human; organ; body system	nongold
5	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	gold
6	breathing is a kind of  function	nongold
7	circulation the circulatory system transports blood throughout the body	nongold
8	blood is a part of the circulatory system	gold
9	capillaries  are a part of the circulatory system	nongold
10	the respiratory system performs respiration	nongold
11	atmosphere means  air	nongold
12	an animal; bacterium requires oxygen for survival; to breathe	nongold
13	the lungs are a part of the respiratory system	nongold
14	the heart is a part of the circulatory system	nongold
15	exhaling  is when an animal expels air from the lungs	nongold
16	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
17	air is a kind of gas	nongold
18	bringing oxygen to the body is a kind of function	nongold
19	the lungs are a part of the body of an animal used for breathing air	nongold
20	moving something is a kind of function	nongold
21	breathing in is when animals inhale air into their lungs	nongold
22	a human is a kind of animal	nongold
23	the function of something is what that something  is used to do	nongold
24	the circulatory system absorbs; carries food; substances from the digestive system to the rest of the body	nongold
25	an object; material; substance comes from that object or material's source	nongold
26	oxygen is a kind of gas at room temperature	nongold
27	the air is a kind of substance	nongold
28	a mechanism is a kind of system that performs a function	nongold
29	the atmosphere contains gases; liquids; solids	nongold
30	organ system means body system	nongold
31	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
32	to exhale means to release	nongold
33	human is a kind of organism	nongold
34	a lung is a kind of organ for breathing air	nongold
35	take in oxygen means get oxygen into the blood	gold
36	the excretory system is a kind of body system	nongold
37	veins; arteries are a part of the circulatory system	nongold
38	gaseous means of gas	nongold
39	where something  comes from is a source of that something	nongold
40	if something comes from something else then that something else is a source of that something	nongold
41	if two things perform the same function then those two things are similar	nongold
42	causing is a kind of function	nongold
43	gas is a kind of substance	nongold
44	a body system is a part of the body; an animal	nongold
45	an animal is a kind of organism	nongold
46	blood absorbs oxygen in the lungs	nongold
47	to breathe in means to absorb air	nongold
48	take in means absorb	nongold
49	role means function	nongold
50	carbon dioxide is a kind of gas	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	breathing is a kind of process	nongold
53	atmospheric means of the atmosphere	nongold
54	to be used for something means to be required by that something	nongold
55	motion; movement means moving; to move	nongold
56	function is similar to purpose	nongold
57	to give off means to be the source of	nongold
58	lungs are used for breathing air by land animals; birds	nongold
59	a body system is a kind of object	nongold
60	an animal is a kind of living thing	nongold
61	air is a kind of matter	nongold
62	to be a vehicle for is a kind of function	nongold
63	an animal requires air for survival	nongold
64	life means living things	nongold
65	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
66	an organism is a living thing	nongold
67	breathing is when animals convert oxygen into carbon dioxide	nongold
68	vapor is synonymous with gas	nongold
69	answering questions requires information	nongold
70	nitrogen is a kind of gas	nongold
71	if something releases something else then that something is the source of that something else	nongold
72	a function is an activity	nongold
73	breath contains water vapor	nongold
74	all animals breathe	nongold
75	transpiration is when water vapor moves from plants;leaves into the atmosphere	nongold
76	the diaphragm is a part of the respiratory system	nongold
77	if something requires something else then that something requires a source of that something else	nongold
78	to work means to function	nongold
79	the body is a part of an organism	nongold
80	carbon dioxide can be found in the air	nongold
81	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
82	a part of a process means a stage in a process	nongold
83	a motion is a kind of event; action	nongold
84	to carry means to move something	nongold
85	the absorption of oxygen through the blood occurs in the lungs	nongold
86	to have a function is similar to to be responsible for	nongold
87	bringing substances to the body is a kind of function	nongold
88	a component of something means a part of that something	nongold
89	transferring is moving from one place to another place	nongold
90	material means substance	nongold
91	a component means a part of	nongold
92	an event is a kind of action	nongold
93	if something transfers something else then that something is a source of something else	nongold
94	an organ system is made of different parts of the body working together	nongold
95	to emit means to release	nongold
96	oxygen is more common than hydrogen on Earth	nongold
97	the atmosphere is a kind of area	nongold
98	Earth has air	nongold
99	if something causes a process then that something is required for that process	nongold
