Question	A son can inherit traits	question
Answer	from both his father and his mother	answer
0	a son is a kind of male offspring	gold
1	a father is a kind of male parent	gold
2	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
3	children; young is synonymous with offspring	nongold
4	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
5	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
6	an inherited characteristic is a kind of characteristic	nongold
7	trait is synonymous with characteristic	gold
8	a baby is the offspring of a parent	nongold
9	a baby is the offspring of a parent	nongold
10	a mother is a kind of female parent	gold
11	a child is a kind of young human	nongold
12	an animal is a kind of organism	nongold
13	to reproduce means to have; to produce offspring	nongold
14	parents produce offspring	nongold
15	answering questions requires information	nongold
16	a human is a kind of animal	nongold
17	a learned characteristic is a kind of acquired characteristic	nongold
18	characteristic means property	nongold
19	an animal is a kind of living thing	nongold
20	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
21	intelligence is an acquired characteristic	nongold
22	a boy is a kind of young male human	nongold
23	can means having the ability to	nongold
24	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
25	offspring receives half of the genes from each parent	nongold
26	blood type is an inherited characteristic	nongold
27	a mother births offspring	nongold
28	personality is an acquired characteristic	nongold
29	a part of something means a characteristic of something	nongold
30	genetic; hereditary means of genes; heredity	nongold
31	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
32	a baby is a kind of young animal	nongold
33	a puppy is a young; baby dog	nongold
34	unique  is the opposite of diverse	nongold
35	trait means property	nongold
36	reproduction produces; produce offspring	nongold
37	living things can all reproduce	nongold
38	what an object is made of is a kind of characteristic	nongold
39	if something comes from something else then that something else is a source of that something	nongold
40	skills are learned characteristics; behaviors	nongold
41	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
42	a type is synonymous with a kind	nongold
43	the color of; coloration of fur is an inherited characteristic	nongold
44	inherited characteristics are a kind of hereditary information	nongold
45	eye color is an inherited characteristic	nongold
46	human is a kind of organism	nongold
47	offspring are a part of a generation	nongold
48	senses are an inherited characteristic	nongold
49	receiving the recessive gene for a trait from each parent causes the offspring to have; to express that recessive trait	nongold
50	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
51	heredity is similar to inheritance	nongold
52	species is an inherited characteristic	nongold
53	an organism is a living thing	nongold
54	inherited characteristics can change over several generations	nongold
55	the condition of parts of an organism are acquired characteristics	nongold
56	identical twins have all of the same inherited characteristics	nongold
57	reproduction is when an organism passes genetic information from itself to its offspring	nongold
58	where something  comes from is a source of that something	nongold
59	genes are able to determine the inherited characteristics of a living thing	nongold
60	a living thing is a kind of object	nongold
61	a dog is a kind of animal	nongold
62	incomplete dominance is when offspring exhibit a combination of a property caused by the genes of its parents	nongold
63	a kind of something is an example of that something	nongold
64	an asexually produced offspring is genetically identical to its parent	nongold
65	an object; material; substance comes from that object or material's source	nongold
66	preferences are generally learned characteristics	nongold
67	high is similar to increase	nongold
68	ability is a kind of characteristic	nongold
69	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
70	the ability to grow is a kind of trait	nongold
71	if something is passed down to something else then that something else receives that something	nongold
72	identical means copy	nongold
73	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
74	parents are a part of a generation	nongold
75	trait is a kind of genetic information	nongold
76	a component of something means a part of that something	nongold
77	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
78	to contain something means to have that something	nongold
79	the shape of body parts is an inherited characteristic	nongold
80	genetics is a part of biology	nongold
81	human is similar to individual	nongold
82	a behavior is a kind of characteristic	nongold
83	learned behaviors are learned over the  lifetime of the animal	nongold
84	sister means one of the offspring	nongold
85	a scar is an acquired characteristic	nongold
86	in sexual reproduction sperm is a vehicle for the genes from the father to the offspring	nongold
87	if something gains something from something else then that something else is a source of that something	nongold
88	reproductive behavior is an inherited characteristic	nongold
89	sound of voice is an inherited characteristic	nongold
90	taking in something means acquiring that something	nongold
91	phenotype of an organism means the visible traits of  an organism	nongold
92	the size of an organism is an inherited characteristic	nongold
93	coloration means a thing's color	nongold
94	person is synonymous with human	nongold
95	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
96	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
97	a gene is a kind of unit of hereditary information	nongold
98	an organism's environment affects that organism's acquired characteristics	nongold
99	life means living things	nongold
