Question	What is the basic unit of life?	question
Answer	cell	answer
0	the cell is the most basic structural unit of life	gold
1	basic life functions occur in the cells of organisms	nongold
2	life means living things	nongold
3	living things carry out basic life functions	nongold
4	organisms mean life	nongold
5	unit is similar to part	nongold
6	an organism is a living thing	nongold
7	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
8	a living thing is made of cells	nongold
9	a base is basic	nongold
10	a plant cell is a kind of cell	nongold
11	a cell is very small	nongold
12	all living things are made of cells according to the cell theory	nongold
13	an animal is a kind of living thing	nongold
14	a plant is a kind of organism	nongold
15	a heart is a kind of organ	nongold
16	a plant is made of plant cells	nongold
17	cells are a part of the body	nongold
18	a cell is a kind of object	nongold
19	organs are a smaller level of organization than organ systems in living things	nongold
20	a cell nucleus is a part of a cell	nongold
21	an animal cell is a kind of cell	nongold
22	a body cell means a somatic cell	nongold
23	the parent cell is the original cell	nongold
24	cells are a smaller level of organization than tissues in living things	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	a plant is a kind of living thing	nongold
27	a heart is a part of the body	nongold
28	death means to die	nongold
29	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
30	the basic unit of matter is atom	nongold
31	the body is a part of an organism	nongold
32	living things perform biological processes	nongold
33	a human cell is a kind of cell	nongold
34	all cells perform cellular respiration	nongold
35	a food contains nutrients for living things	nongold
36	a component means a part of	nongold
37	to create means to make	nongold
38	to produce means to create	nongold
39	an animal is a kind of organism	nongold
40	a plant cell is box-like in shape	nongold
41	organs are made of different types of  cellular tissues	nongold
42	dying is the opposite of living; surviving	nongold
43	the photosynthetic life performs photosynthesis	nongold
44	phytoplankton is a kind of plant	nongold
45	a component of something means a part of that something	nongold
46	cell activity means cell process	nongold
47	answering questions requires information	nongold
48	live means to be alive	nongold
49	an animal is a kind of eukaryote	nongold
50	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
51	organisms are made of carbon	nongold
52	a protozoan is a kind of animal	nongold
53	a fungus is a kind of organism	nongold
54	subunit is similar to unit	nongold
55	a part of a living thing is a natural structure	nongold
56	if a cell can not specialize then that cell must perform all life functions	nongold
57	an earthworm is a kind of decomposer	nongold
58	the endocrine system is a kind of body; organ system	nongold
59	internal organs are a part of the body	nongold
60	food contains carbohydrates	nongold
61	chloroplast is a part of a plant cell	nongold
62	biotic means living	nongold
63	a worm is a kind of decomposer	nongold
64	the cell membrane is a part of a cell	nongold
65	organ system means body system	nongold
66	a decomposer is a kind of living thing	nongold
67	to form means to create	nongold
68	living things are made of organic molecules	nongold
69	an animal; living thing requires nutrients for survival	nongold
70	to generate means to create	nongold
71	a decomposer is usually a bacterium; fungus	nongold
72	an organ system is made of different parts of the body working together	nongold
73	can be means able to be	nongold
74	algae is a kind of plant	nongold
75	composed of means made of	nongold
76	cellular respiration is cellular digestion	nongold
77	human is a kind of organism	nongold
78	cell division means cell reproduction	nongold
79	generate means produce	nongold
80	a plant cell contains chloroplasts	nongold
81	decomposition is when a decomposer breaks down dead organisms	nongold
82	a human is a kind of animal	nongold
83	to carry means to move something	nongold
84	the cell nucleus controls many of the functions of the cell	nongold
85	nonliving; non-living; die is the opposite of living; alive; live	nongold
86	a cell absorbs nutrients	nongold
87	nutrients are a kind of matter	nongold
88	creating means making	nongold
89	to carry means to transport	nongold
90	organisms move through the stages of the life cycle	nongold
91	bacteria is a kind of living thing	nongold
92	to generate means to form	nongold
93	the respiratory system is a kind of human; organ; body system	nongold
94	cellular respiration is a kind of process	nongold
95	a worm is a kind of animal	nongold
96	the stomach is a kind of organ	nongold
97	if a living thing dies then that living thing is dead	nongold
98	an algae is a kind of organism	nongold
99	a fungus is a kind of eukaryote	nongold
