Question	Which of these soil changes is due only to natural causes?	question
Answer	Minerals washing out due to heavy rain.	answer
0	washing out means being moved from  by water	gold
1	due to means caused by	nongold
2	a mineral is a kind of solid; natural material	nongold
3	to wash away is a kind of movement by moving water	nongold
4	soil is made of very small rocks; minerals	gold
5	precipitation is a kind of natural occurrence; cause	gold
6	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
7	rain is a kind of water	gold
8	An example of movement is washing away	nongold
9	all minerals are formed by natural geological processes	nongold
10	precipitation is a kind of  natural process	nongold
11	rain is a kind of precipitation	gold
12	soil contains water; humus; weathered rocks; organic matter	nongold
13	rainwater is a kind of water	nongold
14	washing is a kind of activity	nongold
15	to be a source of something means to cause that something	nongold
16	rock is made of minerals	nongold
17	precipitation is when water falls from the sky	nongold
18	erosion is a kind of change	gold
19	rainfall means precipitation	nongold
20	a cause of something is a reason for that something	nongold
21	rain is a source of water	nongold
22	rain causes erosion	nongold
23	pouring water onto soil causes that soil to wash away	nongold
24	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
25	air pollution; rain can cause the pH of soil to decrease	nongold
26	soil is usually part of an environment	nongold
27	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
28	precipitation is a property of weather	nongold
29	when water falls from the sky , that water usually returns to the soil	nongold
30	soil is a kind of material	nongold
31	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
32	out is synonymous with outside	nongold
33	precipitation is a kind of weather	nongold
34	a mineral is a kind of object	nongold
35	rainfall is the amount of rain an area receives	nongold
36	erosion is a kind of process	nongold
37	a change is a kind of event	nongold
38	natural events usually cause changes to Earth's surface	nongold
39	soil erosion is a kind of slow; natural process	nongold
40	to change means to cause a change	nongold
41	an area receiving rain means rain falling in that area	nongold
42	rainfall means the amount of precipitation	nongold
43	acidic rainwater contains acid	nongold
44	erosion of soil has a  negative impact on the environment; soil quality	nongold
45	soil is found on the surface of the Earth	nongold
46	to cause means to have an effect	nongold
47	soil is formed by rocks eroding	nongold
48	soil erosion means soil loss through wind;water; animals	nongold
49	a process is a kind of event	nongold
50	some minerals are nutrients	nongold
51	to reduce means to decrease	nongold
52	soil erosion is a kind of event	nongold
53	soil is made of solid particles	nongold
54	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
55	arteries; veins transport nutrients; water; minerals throughout the body	nongold
56	acid rain is acidic	nongold
57	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
58	soil is formed by weathering	nongold
59	affected means changed	nongold
60	storms;rain cause bodies of water to increase amount of water they contain	nongold
61	to change means to have an effect	nongold
62	dry means low in amount of water; wetness; moisture	nongold
63	if something causes a process then that something is required for that process	nongold
64	an increase is a kind of change	nongold
65	to add means to increase	nongold
66	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
67	often soil is found in an environment	nongold
68	Washington; Washington State is a state located in the United States of America	nongold
69	something that happens is a kind of event	nongold
70	change is a kind of impact	nongold
71	renewing soil increases nutrients in the soil	nongold
72	action can cause change	nongold
73	to impact means to affect	nongold
74	soil loss causes grooves in soil	nongold
75	acid rain has a  negative impact on  water quality	nongold
76	soil loss causes an area decrease in size	nongold
77	an increase is the opposite of a decrease	nongold
78	a drought is a kind of natural event	nongold
79	to cause an event is similar to being involved in that event	nongold
80	rain; snow falls	nongold
81	high is similar to increase	nongold
82	soil contains nutrients for plants	nongold
83	to lower means to decrease	nongold
84	a decrease is a kind of change	nongold
85	to give is similar to to cause	nongold
86	an event is a kind of action	nongold
87	negative impact is the opposite of positive impact	nongold
88	to cause means to result in	nongold
89	soil is a part of the ground outside	nongold
90	moisture means liquid; liquid water	nongold
91	change is a kind of process	nongold
92	impact means effect	nongold
93	a source of something emits; produces; generates; provides that something	nongold
94	to keep something occurring means to cause that something to occur	nongold
95	sediment is similar to soil	nongold
96	loss is a kind of change	nongold
97	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
98	low is similar to decrease	nongold
99	determine is similar to cause	nongold
