Question	An ocean, a forest, and a grassy meadow are each examples of a complete ecosystem. Complete ecosystems contain only	question
Answer	living and nonliving things.	answer
0	nonliving; non-living; die is the opposite of living; alive; live	nongold
1	a meadow is a kind of environment	nongold
2	nonliving means not living	nongold
3	an ecosystem contains nonliving things	gold
4	An example of an environment is a forest; a river; a grassland; an ocean	nongold
5	a grassland is a kind of environment	nongold
6	incomplete is the opposite of complete	nongold
7	an ocean is a kind of habitat	nongold
8	a forest is a kind of environment	nongold
9	water is a kind of nonliving thing	nongold
10	a natural ecosystem contains native living things only	nongold
11	an ocean is a kind of body of water	nongold
12	a rainforest is a kind of ecosystem	nongold
13	a forest is a kind of ecosystem	nongold
14	an ecosystem is a kind of habitat	nongold
15	an ecosystem contains a large community of; large numbers of living organisms	gold
16	made up of means contains; made of	nongold
17	a forest contains  lots of plants; trees	nongold
18	a plant is a kind of living thing	nongold
19	nonliving things are not made of cells	nongold
20	a tree is a kind of living thing	nongold
21	an animal is a kind of living thing	nongold
22	an environment is similar to an ecosystem	nongold
23	to be found in means to be contained in	nongold
24	to contain something means to have that something	nongold
25	an organism is a living thing	gold
26	a kind of something is an example of that something	nongold
27	to be filled with means to contain	nongold
28	an aquatic animal is a kind of animal	nongold
29	a plant is a kind of organism	nongold
30	woodland means forest	nongold
31	if something is a part of something else then that something else contains that something	nongold
32	organisms mean life	nongold
33	soil is a kind of nonliving thing	nongold
34	an animal is a kind of organism	nongold
35	life means living things	nongold
36	organisms; living things live in their habitat; their home	nongold
37	organisms are a part of an environment	nongold
38	a tree is a kind of plant	nongold
39	habitat is similar to environment	nongold
40	a bird is a kind of living thing	nongold
41	to contain means to have inside	nongold
42	a fungus is a kind of organism	nongold
43	an animal is a member of an animal species	nongold
44	an environment means an area	nongold
45	a living thing is a kind of object	nongold
46	a fungus is a kind of living thing	nongold
47	ocean animal is similar to water animal	nongold
48	a plant is a member of a plant species	nongold
49	plants are a part of the environment	nongold
50	made of is similar to contains	nongold
51	the Earth contains many ecosystems	nongold
52	some animals live in forests	nongold
53	an animal; living thing requires nutrients for survival	nongold
54	including means containing	nongold
55	a plant; living thing requires food for survival	nongold
56	a tree is a kind of habitat	nongold
57	if something is made of something; a material then that something contains that something; that material	nongold
58	aquatic animals; plants live in bodies of water	nongold
59	if a living thing dies then that living thing is dead	nongold
60	vegetation means plants	nongold
61	grass is a kind of green plant	nongold
62	light is a kind of nonliving thing	nongold
63	air is a kind of nonliving thing	nongold
64	rock is a kind of nonliving thing	nongold
65	a bird is a kind of animal	nongold
66	if something does not contain something else then that something lacks that something else	nongold
67	a decomposer is a kind of living thing	nongold
68	a fungus is a kind of eukaryote	nongold
69	eating an animal; a plant means killing that animal; that plant	nongold
70	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
71	all living and nonliving materials are made of elements	nongold
72	if there is none of a thing then that thing does not exist	nongold
73	live means to be alive	nongold
74	living things can all reproduce	nongold
75	an animal requires a habitat for survival	nongold
76	a plant; living thing requires nutrients to grow	nongold
77	all living things have life cycles	nongold
78	An example of a change in the Earth is an ocean becoming a wooded area	nongold
79	aquatic animal means water animal	nongold
80	contains means located in	nongold
81	dying is the opposite of living; surviving	nongold
82	a plant requires a habitat for survival	nongold
83	grass is green in color	nongold
84	dead plants means dead plant material	nongold
85	green plants are a kind of producer	nongold
86	if something absorbs something else then that something will contain that something else	nongold
87	death means to die	nongold
88	killing means harming something causing death	nongold
89	biotic means living	nongold
90	contain is similar to store	nongold
91	a tree is a kind of matter	nongold
92	sea means ocean	nongold
93	harming an organism can cause that organism to die	nongold
94	a microorganism is a kind of decomposer	nongold
95	animals; living things live and feed in their habitats; near their habitats	nongold
96	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
97	a plants; living things require water for survival; to grow	nongold
98	to be made of means to consist of	nongold
99	both means two	nongold
