Question	In which example could a thermometer be used to show that heat energy is being transferred?	question
Answer	A stove is used to boil water in a pan.	answer
0	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	gold
1	a thermometer is a kind of instrument for measuring temperature	nongold
2	a thermometer is used to measure temperature	gold
3	a pan;frying pan is a kind of container for cooking; food	nongold
4	pot;pan;frying pan is made of metal for cooking	gold
5	a pan is a kind of object	nongold
6	a stove generates heat for cooking usually	gold
7	a stove is used for cooking by generating heat	nongold
8	a stove is a kind of machine	nongold
9	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
10	a pot is used for cooking food	nongold
11	water is an thermal; thermal energy conductor	nongold
12	water is a kind of liquid at room temperature	gold
13	an electric stove changes electrical energy into heat energy	nongold
14	being  on something; placed in something; placed over something means touching  that something	gold
15	a container is a kind of object	nongold
16	an oven is a source of heat	nongold
17	a container contains objects; material; substances	nongold
18	an oven is a kind of electrical device	nongold
19	metal is a thermal; thermal energy conductor	gold
20	heat means the transfer of thermal energy	nongold
21	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
22	a thermal conductor is made of materials that conduct thermal energy	nongold
23	temperature is a measure of heat energy	gold
24	if one surface; one substance; one object touches something then one is exposed to that something	gold
25	being in something means touching that something	nongold
26	to conduct is similar to to transfer	nongold
27	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
28	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
29	a hot plate is a kind of instrument	nongold
30	heat energy is synonymous with thermal energy	nongold
31	water is a kind of substance	nongold
32	heating elements are usually a part of an oven	nongold
33	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
34	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
35	heating means adding heat	nongold
36	an instrument is a piece of equipment	nongold
37	instrument means tool	nongold
38	a pot is a kind of container	nongold
39	a hot plate is a source of heat	nongold
40	a pot is a kind of object	nongold
41	pots are used for cooking liquid food usually	nongold
42	metal is a kind of material	nongold
43	convert is similar to transfer	nongold
44	if something transfers something else then that something is a source of something else	nongold
45	to add means to increase	nongold
46	a source of heat can be used to heat something	nongold
47	a source of heat can be used to heat something	nongold
48	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
49	if a container contains something then that container touches that something	nongold
50	if liquid is boiling then that liquid is hot	nongold
51	a burner is a part of a  stove	nongold
52	transferring is similar to adding	nongold
53	heat means heat energy	gold
54	a liquid is a kind of substance	nongold
55	an insulator is the opposite of a conductor	nongold
56	a hot; warm something is a source of heat	nongold
57	thermal energy is a kind of energy	nongold
58	boiling is a kind of phase change	nongold
59	a tool is a kind of object	nongold
60	adding heat means increasing temperature	nongold
61	instrument means device	nongold
62	if an object is made of a material then that object has the properties of that material	nongold
63	water is a kind of object	nongold
64	an insulator is a kind of material	nongold
65	a bowl is a kind of container	nongold
66	hot means high in heat energy; temperature	gold
67	metal is an  electrical; electrical energy conductor	nongold
68	objects are made of materials; substances; matter	nongold
69	conductivity is a property of a material; substance	nongold
70	tool is similar to appliance	nongold
71	a liquid is a kind of fluid	nongold
72	boiling is when liquids are heated above their boiling point	nongold
73	if something is places over a heat source then that something is exposed to that heat source	nongold
74	if something hot is exposed to the air , then the heat will transfer to the air	nongold
75	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
76	a surface is a part of a material	nongold
77	if something is on the counter , then that something is exposed to the air	nongold
78	An example of a container is room	nongold
79	heat is a kind of energy	nongold
80	the heat energy in the cooler object increases in thermal conduction	nongold
81	a hot substance is a source of heat	nongold
82	if an object is put inside; poured into another object , then two objects are touching	nongold
83	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
84	a vehicle can be used for transferring	nongold
85	transfer is a kind of change	nongold
86	water is a kind of matter	nongold
87	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
88	a kind of something is an example of that something	nongold
89	air is usually a thermal; thermal energy insulator	nongold
90	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
91	thermal conduction is when heat flows from warmer object to cooler object	nongold
92	steam;water vapor is a kind of water above 100 degrees celsius	nongold
93	boiling is a kind of event	nongold
94	a device is a kind of object	nongold
95	if something is in something , then something is exposed to something	nongold
96	a burner is a kind of object; surface	nongold
97	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
98	the function of something is what that something  is used to do	nongold
99	to lower means to decrease	nongold
