Question	What kingdom contains organisms that are multicellular, have no chlorophyll, and absorb nutrients from decaying tissue?	question
Answer	Fungi	answer
0	fungi absorb nutrients from decaying tissue	gold
1	fungi can be multicellular	gold
2	a chloroplast contains chlorophyll	nongold
3	a multicellular organism is a kind of living thing	nongold
4	fungi are part of the biological kingdom Fungi	gold
5	dead organisms are the source of nutrients for decomposers	nongold
6	dead organisms decay	nongold
7	Fungi is a kind of biological kingdom	gold
8	a fungus is a kind of living thing	nongold
9	a fungus is a kind of organism	nongold
10	if something absorbs something else then that something will contain that something else	nongold
11	a decomposer is usually a bacterium; fungus	nongold
12	to contain something means to have that something	nongold
13	to decompose means to decay	nongold
14	biological kingdoms are made of organisms	gold
15	a kingdom is a kind of taxonomic rank	nongold
16	to be found in means to be contained in	nongold
17	Plantae is a kind of biological kingdom	nongold
18	a cell absorbs nutrients	nongold
19	a fungus is a kind of eukaryote	nongold
20	In the food chain process fungi have the role of decomposer	nongold
21	if something is a part of something else then that something else contains that something	gold
22	a multicellular organism contains more than one cell	nongold
23	a multicellular organism is made of many cells	nongold
24	a plant cell contains chloroplasts	nongold
25	an organism is a living thing	nongold
26	plants are part of the bilogical kingdom Plantae	nongold
27	chlorophyll is green in color	nongold
28	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
29	made up of means contains; made of	nongold
30	a plant is a kind of organism	nongold
31	to be filled with means to contain	nongold
32	fungi are sometimes single-celled organisms	nongold
33	absorption is a kind of process	nongold
34	a decomposer is a kind of living thing	nongold
35	decomposition is when a decomposer breaks down dead organisms	nongold
36	a microorganism is a kind of decomposer	nongold
37	a multicellular organism has more than one cell	nongold
38	to contain means to have inside	nongold
39	contains means located in	nongold
40	if something is a source of something else then that something usually contains that something else	nongold
41	made of is similar to contains	nongold
42	a mushroom is a kind of fungus	nongold
43	most chloroplasts are found in the leaves of a plant	nongold
44	a chloroplast is a kind of plant cell structure	nongold
45	a plant is a kind of living thing	nongold
46	organisms mean life	nongold
47	chlorophyll is used for absorbing light energy by plants	gold
48	if something does not contain something else then that something lacks that something else	nongold
49	contain is similar to store	nongold
50	including means containing	nongold
51	animals are a part of the biological kingdom Animalia	nongold
52	chloroplast is a part of a plant cell	nongold
53	a bacterium is a kind of decomposer	nongold
54	a food contains nutrients for living things	nongold
55	decay has a negative impact on a thing	nongold
56	nutrients are a kind of substance	nongold
57	if something comes from something else then that something else is a source of that something	nongold
58	if something contains something , then something is able to provide something	nongold
59	a worm is a kind of decomposer	nongold
60	multicellular organisms produce more cells through cell division	nongold
61	remains mean parts of a dead organism	nongold
62	to be made of means to consist of	nongold
63	chlorophyll is a kind of pigment	nongold
64	mold is a kind of fungus	nongold
65	life means living things	nongold
66	bacteria is a kind of living thing	nongold
67	absorption is a kind of event	nongold
68	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
69	if something gains something from something else then that something else is a source of that something	nongold
70	remains is similar to dead organisms	nongold
71	In the food chain process bacteria have the role of decomposer	nongold
72	if something is a part of something then that something can be found in that something	nongold
73	an organism is made of organic matter	nongold
74	dead organisms are a kind of waste	nongold
75	if something is made of something; a material then that something contains that something; that material	gold
76	an animal is a kind of living thing	nongold
77	a living thing is made of cells	nongold
78	a plant is a member of a plant species	nongold
79	an animal is a kind of organism	nongold
80	nutrients are a kind of material	nongold
81	an organism is a source of organic matter	nongold
82	nonliving; non-living; die is the opposite of living; alive; live	nongold
83	Protista is a kind of biological kingdom	nongold
84	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
85	a bacterium is a kind of organism	nongold
86	if there is none of a thing then that thing does not exist	nongold
87	a plant; living thing requires nutrients to grow	nongold
88	a diatom is a kind of organism	nongold
89	nutrients are a kind of matter	nongold
90	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
91	United Kingdom is located in the northern hemisphere	nongold
92	cellular respiration is cellular digestion	nongold
93	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
94	take in means absorb	nongold
95	if something transfers something else then that something is a source of something else	nongold
96	dead organisms rot	nongold
97	dead plants means dead plant material	nongold
98	an animal; living thing requires nutrients for survival	nongold
99	where something  comes from is a source of that something	nongold
