Question	When water evaporates from Earth's surface into the atmosphere, its molecules enter the gas state. What change in this gas causes molecules to condense into the small water droplets that form clouds?	question
Answer	The temperature is reduced.	answer
0	a droplet is a kind of little drop	nongold
1	clouds are made of water vapor; rain droplets	nongold
2	a droplet is a small amount of liquid	gold
3	drop means decrease	nongold
4	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
5	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
6	a drop is a small amount of liquid	nongold
7	temperature drop means temperature decrease	nongold
8	condensation causes clouds to form	nongold
9	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
10	a drop is a kind of liquid small amount	nongold
11	reducing is a kind of change	nongold
12	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	gold
13	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
14	matter is made of molecules	nongold
15	a cloud is a kind of object	nongold
16	to reduce means to decrease	gold
17	substances are made of molecules	gold
18	condensing is when gasses are  cooled below their boiling point	nongold
19	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
20	water is a kind of matter	nongold
21	liquid is a kind of state of matter	nongold
22	gas is a kind of state of matter	nongold
23	condensing causes a liquid to form	nongold
24	condensing is a kind of  phase change	nongold
25	water is a kind of substance	gold
26	a decrease is a kind of change	nongold
27	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
28	temperature is a measure of heat energy	nongold
29	water is a kind of liquid at room temperature	nongold
30	an increase is a kind of change	nongold
31	clouds are located in the atmosphere	nongold
32	a molecule is exceptionally small in size	nongold
33	vapor is synonymous with gas	nongold
34	heat energy can change the state of matter	nongold
35	evaporating is a kind of phase change	nongold
36	adding heat means increasing temperature	nongold
37	an increase is the opposite of a decrease	nongold
38	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
39	heat means temperature increases	nongold
40	heating means adding heat	nongold
41	the atmosphere contains gases; liquids; solids	nongold
42	to add means to increase	nongold
43	state means form	nongold
44	gas is a kind of substance	nongold
45	temperature drop means cooling	nongold
46	temperature changing can cause phase changes	nongold
47	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
48	clouds are usually found in the sky	nongold
49	to lower means to decrease	nongold
50	a liquid is a kind of substance	nongold
51	heat means heat energy	nongold
52	condensing means liquid water coming together in the air	nongold
53	high is similar to increase	nongold
54	atmosphere means  air	gold
55	low is similar to decrease	nongold
56	less is similar to decrease	nongold
57	water vapor is found in the atmosphere	nongold
58	carbon dioxide is a kind of gas	nongold
59	substances are made of matter	nongold
60	moisture means liquid; liquid water	nongold
61	evaporation causes amount of water to decrease	nongold
62	to change means to cause a change	nongold
63	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
64	absorbing energy causes objects; materials; substances to heat	nongold
65	evaporation is when water is drawn back up into the air in the water cycle	nongold
66	water vapor condensing in clouds causes rain	nongold
67	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
68	water contains dissolved oxygen	nongold
69	matter; materials; substances are made of atoms; particles	nongold
70	air temperature is a kind of temperature	nongold
71	phase means state	nongold
72	In the water cycle , condensation always follows evaporation	nongold
73	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
74	An example of moisture is water vapor in the atmosphere	nongold
75	boiling is a kind of phase change	nongold
76	a molecule is a kind of object	nongold
77	cloudy means the presence  of clouds in the sky	nongold
78	gaseous means of gas	nongold
79	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
80	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
81	a cloud is a kind of weather	nongold
82	water vapor;steam cooling causes that water vapor;steam to condense	nongold
83	if something enters something else then that something is in that something else	nongold
84	form means kind	nongold
85	if heat is transferred to the air , then the temperature of the air will increase	nongold
86	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
87	materials are made of matter	nongold
88	heat energy is synonymous with thermal energy	nongold
89	air is a kind of matter	nongold
90	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
91	air is a kind of gas	nongold
92	solid is a kind of state of matter	nongold
93	when clouds become cold , those clouds will condense	nongold
94	forming something is a kind of change	nongold
95	forming is similar to converting	nongold
96	clouds produce precipitation	nongold
97	melting is a kind of phase change	nongold
98	chemical reactions can cause gas to be released into the atmosphere	nongold
99	condensing is a kind of process	nongold
