Question	In the Adirondack forests of New York, some trees have died. The change in the forest is thought to be related to air pollution and rain. Which abiotic factor most likely has been changed as a result of the pollution and rain which resulted in the death of the trees?	question
Answer	a decrease in the pH of the soil	answer
0	abiotic means nonliving	gold
1	air pollution; rain can cause the pH of soil to decrease	gold
2	changes in the pH of soil can cause plants to die	gold
3	a tree is a kind of living thing	nongold
4	a forest is a kind of environment	nongold
5	death means to die	nongold
6	a decrease is a kind of change	nongold
7	a tree is a kind of plant	gold
8	an increase is the opposite of a decrease	nongold
9	New York; New York State is a state located in the United States of America	nongold
10	if a living thing dies then that living thing is dead	nongold
11	pollution has a negative impact on the environment; air quality; water quality; society	nongold
12	an increase is a kind of change	nongold
13	soil is a kind of nonliving thing	gold
14	a plant requires soil for survival; to grow	nongold
15	soil is usually part of an environment	nongold
16	a factor impacts something	nongold
17	as the amount of sulfur gas in the atmosphere increases , the pH of rain will decrease	nongold
18	nonliving; non-living; die is the opposite of living; alive; live	nongold
19	harming something has a  negative impact on; effect on that something	nongold
20	a forest contains  lots of plants; trees	nongold
21	a rain forest is a kind of forest	nongold
22	the temperature; pH of water has an impact on the health of that water	nongold
23	a forest is a kind of ecosystem	nongold
24	if there is a loss of something then that something decreases	nongold
25	as the cause of something decreases , that something will decrease	nongold
26	soil contains nutrients for plants	nongold
27	to reduce means to decrease	nongold
28	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
29	as the amount of a source of something decreases , the amount of that something will decrease	nongold
30	a plant is a kind of organism	nongold
31	to cause means to result in	gold
32	dying is the opposite of living; surviving	nongold
33	to lower means to decrease	nongold
34	a plant is a kind of living thing	nongold
35	rain is a kind of water	nongold
36	less is similar to decrease	nongold
37	harming an organism can cause that organism to die	nongold
38	if an organism dies then the population of that organism will decrease	nongold
39	plants are a part of the environment	nongold
40	air is a part of the environment	nongold
41	acidic means low; 0 to 6 in pH	nongold
42	harming an environment causes harm to the living things; to the organisms in that environment	nongold
43	to change means to cause a change	nongold
44	killing means harming something causing death	nongold
45	affected means changed	nongold
46	often soil is found in an environment	nongold
47	low is similar to decrease	nongold
48	air is a kind of nonliving thing	nongold
49	a natural resource is a kind of environmental factor	nongold
50	impact means effect	nongold
51	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
52	if a tree is cut down then that tree will die	nongold
53	to change means to have an effect	nongold
54	if something used to be in the past then that something  has changed	nongold
55	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
56	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
57	moisture is a kind of environmental factor	nongold
58	high is similar to increase	nongold
59	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
60	rain is a kind of precipitation	nongold
61	green plants are a kind of producer	nongold
62	pH is a measure of acidity of a substance ranging from 0 to 14	nongold
63	New York is closer to the North Pole than Florida	nongold
64	rain is a source of water	nongold
65	a property is similar to a factor	nongold
66	adverse effect means negative impact	nongold
67	decreasing something negative has a positive impact on a thing	nongold
68	rainfall means precipitation	nongold
69	if the component of something changed , then the whole thing will change	nongold
70	soil is a renewable resource for growing plants	nongold
71	to cause means to have an effect	nongold
72	low quality soil has a small; a low number of nutrients	nongold
73	change is a kind of impact	nongold
74	negative impact is the opposite of positive impact	nongold
75	organisms are a part of an environment	nongold
76	roots are a part of a plant; tree	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	some species of tree are deciduous	nongold
79	a tree is a kind of matter	nongold
80	precipitation is a kind of natural occurrence; cause	nongold
81	precipitation is when water falls from the sky	nongold
82	decreasing something positive has a negative impact on a thing	nongold
83	to add means to increase	nongold
84	a source of something increases the amount of that something	nongold
85	a plants; living things require water for survival; to grow	nongold
86	an environment means an area	nongold
87	the atmosphere is a part of nature; the environment	nongold
88	if a living thing requires something then that something has a positive impact on that living thing	nongold
89	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
90	killing means changing a living thing from alive to dead by harming	nongold
91	to be a source of something means to cause that something	nongold
92	if something emits something else then that something increases the amount of that something else	nongold
93	commensalism is a kind of symbiotic relationship	nongold
94	crops; farming cause nutrients in the soil to decrease	nongold
95	a symbiotic organism is made of two or more organisms in a symbiotic relationship	nongold
96	helping something has a  positive impact on that something	nongold
97	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
98	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
99	an organism is a living thing	nongold
