Question	Why is water considered to be a renewable resource?	question
Answer	Water can be used over again.	answer
0	renewable resources can be used over again	gold
1	water is a renewable resource	gold
2	a renewable resource is a kind of natural resource	nongold
3	renewable is the opposite of nonrenewable	nongold
4	a renewable resource is a kind of naturally replaced resource	nongold
5	a renewable resource can be renewed	nongold
6	a renewable resource can be replaced	nongold
7	water is a kind of natural resource	nongold
8	water is a kind of natural resource	nongold
9	renewable resources are replenished more quickly than they are used	nongold
10	renewable resources are often available for many years	nongold
11	recycling means using over again	nongold
12	no longer means used to be	nongold
13	an inexhaustible resource is a kind of renewable resource	nongold
14	natural gas is a nonrenewable resource	nongold
15	water is a part of an environment	nongold
16	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
17	to be used for something means to be required by that something	nongold
18	a body of water is a source of water	nongold
19	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
20	something reusable can be used more than once	nongold
21	solar energy is a renewable; inexhaustible resource	nongold
22	throughout means over	nongold
23	fossil fuels are a nonrenewable resource	nongold
24	wind is a renewable; inexhaustible resource	nongold
25	a fossil fuel is a kind of natural resource	nongold
26	high is similar to increase	nongold
27	oil is a nonrenewable resource	nongold
28	a plants; living things require water for survival; to grow	nongold
29	a nonrenewable resource is limited in supply	nongold
30	water is a kind of substance	nongold
31	a body of water contains water	nongold
32	to add means to increase	nongold
33	consumption means use	nongold
34	nature is the source of natural resources	nongold
35	answering questions requires information	nongold
36	reusing is similar to using many times	nongold
37	tidal energy is a renewable resource	nongold
38	natural resources are found in nature	nongold
39	trees are a renewable resource	nongold
40	ground water is a kind of water	nongold
41	to serve as means to be used as	nongold
42	conservation is often conserving natural resources	nongold
43	plants are a kind of resource	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	once means one time	nongold
46	to use means to utilize	nongold
47	a body of water is a kind of environment	nongold
48	wood is a renewable resource	nongold
49	producing renewable electric energy requires renewable resources	nongold
50	water is a kind of object	nongold
51	to provide something means to be the source of that something	nongold
52	solution is similar to a positive impact	nongold
53	wastewater treatment is used for recycling water for human use	nongold
54	affected means changed	nongold
55	using resources decreases those resources	nongold
56	animals; living things require water for survival	nongold
57	natural gas is a kind of fossil fuel	nongold
58	using renewable resources to generate power reduces greenhouse gases	nongold
59	groundwater is a kind of water	nongold
60	rainwater is a kind of water	nongold
61	best means most positive	nongold
62	animals are a renewable resource	nongold
63	an environment means an area	nongold
64	geothermal energy is a renewable resource	nongold
65	to help; to benefit means to be of use	nongold
66	to depend on; to rely on; to need means to require	nongold
67	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
68	to conserve means to not change	nongold
69	history means the past	nongold
70	conserving resources has a positive impact on the environment	nongold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	something being destroyed means that something no longer exists	nongold
73	land is a kind of resource	nongold
74	soil is a renewable resource for growing plants	nongold
75	oil is a kind of fossil fuel	nongold
76	drinking is a kind of water use	nongold
77	low is similar to decrease	nongold
78	if something used to be in the past then that something  has changed	nongold
79	person is synonymous with human	nongold
80	if something causes a process then that something is required for that process	nongold
81	annual means once per year	nongold
82	An example of conservation is not using fossil fuel	nongold
83	something that contains water is similar to a body of water	nongold
84	good means positive	nongold
85	doing something more means doing something again	nongold
86	a water reservoir contains; stores water	nongold
87	a part of a process means a stage in a process	nongold
88	green plants are a kind of producer	nongold
89	hydroelectric power is a renewable resource	nongold
90	conserving water can be used for survival in a dry environment	nongold
91	high-quality means positive	nongold
92	to create means to make	nongold
93	to lower means to decrease	nongold
94	a type is synonymous with a kind	nongold
95	conserving water is a kind of characteristic	nongold
96	a producer is a kind of living thing	nongold
97	preserved means from the past; from long ago	nongold
98	freshwater is a kind of water	nongold
99	form means kind	nongold
