Question	A student in an empty classroom shouts, "Hello!" Which best explains what the student hears after the shout?	question
Answer	a reflection of sound	answer
0	a shout is a kind of sound	gold
1	reflecting light; sound is the opposite of absorbing light; sound	nongold
2	a classroom is a kind of a room	gold
3	a classroom is a kind of  area	nongold
4	reflection is when light is reflected from one object; one place to  another object; another place	nongold
5	a student is a kind of human	gold
6	a mirror reflects light	nongold
7	reflection is a property of light	nongold
8	when a sound is produced inside of a room , there is sometimes an echo after the sound	gold
9	hearing is a kind of sense	nongold
10	reflection is when particles bounce off a surface	nongold
11	loud means high in sound energy;sound intensity	nongold
12	hearing is used for sensing sound by animals	gold
13	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
14	echo is when sound reflects off of a surface	gold
15	noise means sound	nongold
16	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
17	an image in a mirror is formed by reflecting light	nongold
18	human voice is a kind of sound	nongold
19	sound is a kind of air vibration	nongold
20	a human is a kind of animal	gold
21	reflection is a kind of process	nongold
22	to bounce back means to reflect	nongold
23	a mirror is used for reflecting light	nongold
24	if something is caused by something else , then that something can be explained by that something else	nongold
25	air is a vehicle for sound	nongold
26	a room is a kind of object	nongold
27	a mirror is a kind of reflective object	nongold
28	a person speaking is a source of sound	nongold
29	matter; molecules vibrating can cause sound	nongold
30	the ability to reflect is a property of sound wave	nongold
31	shiny things; objects reflect light	nongold
32	a surface is a part of an object	nongold
33	when sound reaches the ear , that sound can be heard	nongold
34	an echo is a kind of sound	nongold
35	when two objects are touched; are contacted; move against each other , sound is produced	nongold
36	sound means sound energy	nongold
37	if sound is absorbed then that sound can not be heard	nongold
38	to reflect light means to scatter light	nongold
39	sound is a kind of sound energy	nongold
40	a surface is a part of a material	nongold
41	objects are made of materials; substances; matter	nongold
42	sight means to see	nongold
43	vibration is a kind of motion	nongold
44	eyes are a part of a human for seeing	nongold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
47	talking is when a human produces sound to communicate	nongold
48	person is synonymous with human	nongold
49	an ear is a kind of body part	nongold
50	seeing is used for sensing visual things	nongold
51	a classroom usually contains a low concentration odor	nongold
52	sight means vision	nongold
53	sound wave is similar to sound	nongold
54	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
55	motion is when moves an object; something to a direction	nongold
56	sound is produced when mechanical energy is transformed into sound energy	nongold
57	phase means state	nongold
58	best means most positive	nongold
59	louder means higher; greater in volume	nongold
60	if an object reflects light toward the eye then that object can be seen	nongold
61	form means kind	nongold
62	bouncing something back means reflecting that something	nongold
63	an animal is a kind of organism	nongold
64	how something  appears is how that something  looks	nongold
65	matter; materials; substances are made of atoms; particles	nongold
66	frequency is a property of a wave; a particel of light; an event	nongold
67	appearance is a property of objects; materials	nongold
68	speaking is a kind of communication	nongold
69	wave motion is transferred from the source to matter to produce sound	nongold
70	material means substance	nongold
71	sight is a kind of sense	nongold
72	sound can be used for communication by animals	nongold
73	sound travels fastest through solid	nongold
74	solid is a kind of state of matter	nongold
75	motion; movement means moving; to move	nongold
76	sound is a kind of energy	nongold
77	eyes can sense;detect light energy for seeing	nongold
78	a living thing is a kind of object	nongold
79	vibrations are a source of sound	nongold
80	surroundings means environment	nongold
81	to see means to look	nongold
82	eyes are usually part of an animal for seeing	nongold
83	particles in objects are a kind of matter	nongold
84	volume means the loudness of a sound	nongold
85	affected means changed	nongold
86	liquid is a kind of state of matter	nongold
87	a type is synonymous with a kind	nongold
88	an part of an object is smaller than the entire object	nongold
89	can be means able to be	nongold
90	a surface is a kind of object	nongold
91	the eyes are part of the head used for seeing	nongold
92	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
93	a motion is a kind of event; action	nongold
94	events occur at a specific place; at a specific time; with a specific frequency	nongold
95	state of matter means physical state	nongold
96	variable means able to change	nongold
97	human is a kind of organism	nongold
98	a person is a kind of animal	nongold
99	a face is often a part of an animal	nongold
