Question	During a rainstorm, leaves wash down a gully on a hillside. The water slows down at the foot of the hill and fans out, depositing the leaves. What geologic structure is formed in a similar way?	question
Answer	a delta	answer
0	a delta is a kind of geologic structure; landform	gold
1	a delta is formed by sediment depositing at the mouth of a river by water fanning out	gold
2	the Mississippi Delta is a kind of delta	nongold
3	rainstorm means rain storm	nongold
4	soil erosion is a kind of slow; natural process	nongold
5	washing out means being moved from  by water	nongold
6	a leaf is a kind of plant	nongold
7	weathering; erosion usually occurs over a period of many years	nongold
8	a hill is a kind of incline	nongold
9	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
10	flowing is a kind of motion	nongold
11	a leaf is a kind of object	nongold
12	a leaf performs photosynthesis; gas exchange	nongold
13	weathering is a kind of erosion	nongold
14	a hill is a kind of place	nongold
15	a river is a kind of flowing body of water	nongold
16	water  flows down a slope	nongold
17	to slow; to slow down decreases speed	nongold
18	to wash away is a kind of movement by moving water	nongold
19	hills are a kind of small mountain	nongold
20	a structure of something is synonymous with a part of that something	nongold
21	to be made of something means to be formed of that something	nongold
22	system is similar to structure	nongold
23	to cause the formation of means to form	nongold
24	igneous intrusion is a kind of geologic process	nongold
25	rain is a kind of precipitation	nongold
26	rising is a kind of motion	nongold
27	rain is a kind of water	nongold
28	a landform is a kind of natural formation	nongold
29	a leaf is a part of a  green plant	nongold
30	a leaf is a part of a tree	nongold
31	a structure is a kind of feature	nongold
32	breaking down is a kind of forming	nongold
33	a plant is a kind of living thing	nongold
34	a stream is a kind of body of water	nongold
35	runoff is a kind of water	nongold
36	to lower means to decrease	nongold
37	to add means to increase	nongold
38	erosion is a kind of process	nongold
39	erosion is a kind of change	nongold
40	increase means more	nongold
41	a whole is formed by its parts	nongold
42	a valley is formed by a river flowing	nongold
43	to increase is similar to to create	nongold
44	deposition means to move an object from one location to a  different location	nongold
45	a canyon forming occurs over a period of millions of years	nongold
46	to form means to create	nongold
47	to make means to form	nongold
48	roots are a part of a plant; tree	nongold
49	accumulation means increase	nongold
50	gradual means slow; over time	nongold
51	landform means surface feature; physical feature; land feature	nongold
52	erosion causes deposition	nongold
53	a canyon is a kind of landform	nongold
54	the formation of something is a kind of process	nongold
55	made up of means contains; made of	nongold
56	an increase is a kind of change	nongold
57	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
58	if something is made of something else then the formation of that something requires that something else	nongold
59	high is similar to increase	nongold
60	deposition is a kind of natural process	nongold
61	An example of movement is washing away	nongold
62	vegetation means plants	nongold
63	rain is a source of water	nongold
64	form means kind	nongold
65	flowing is a kind of action	nongold
66	weathering is a kind of process	nongold
67	a part of a process means a stage in a process	nongold
68	a component means a part of	nongold
69	an increase is the opposite of a decrease	nongold
70	water is a kind of substance	nongold
71	reducing is similar to slowing	nongold
72	valley is located between mountains; hills	nongold
73	precipitation is when water falls from the sky	nongold
74	a motion is a kind of event; action	nongold
75	to reduce means to decrease	nongold
76	a plant is a kind of organism	nongold
77	rainfall means precipitation	nongold
78	an event is a kind of action	nongold
79	the formation of rock is a kind of process	nongold
80	to be formed by is similar to being produced by	nongold
81	to change into means to form	nongold
82	state means form	nongold
83	a decrease is a kind of change	nongold
84	soil erosion is a kind of event	nongold
85	downward means down	nongold
86	low means down	nongold
87	structure is a property of an object; a material; a substance	nongold
88	an object is made of its parts	nongold
89	to be formed means to be originated	nongold
90	a process is a kind of event	nongold
91	land is a kind of landform	nongold
92	a leaf is a kind of plant organ	nongold
93	groundwater is a kind of water	nongold
94	a river is a kind of channel for water	nongold
95	a type is synonymous with a kind	nongold
96	formation of a state of matter is a kind of process	nongold
97	composed of means made of	nongold
98	a component of something means a part of that something	nongold
99	water is a part of an environment	nongold
