Question	A student is looking at insects using a magnifying lens. What about the insects can best be seen with the magnifying lens?	question
Answer	type of eyes insects have	answer
0	a magnifying glass is a kind of tool for observing small things	gold
1	a student is a kind of human	nongold
2	a hand lens; a magnifying lens is synonymous with a magnifying glass	gold
3	a type is synonymous with a kind	nongold
4	an insect is a kind of animal	gold
5	magnifying glass is used to see  small things by making objects appear bigger	gold
6	eyes are usually part of an animal for seeing	gold
7	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
8	eyes are a part of a human for seeing	nongold
9	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
10	seeing is used for sensing visual things	nongold
11	an insect usually has a small size	gold
12	the eyes are part of the head used for seeing	nongold
13	look at means observe	nongold
14	looking is similar to observing	nongold
15	a living thing is a kind of object	gold
16	sight means to see	nongold
17	sight is a kind of sense	nongold
18	to see means to look	nongold
19	an animal is a kind of living thing	gold
20	sight means vision	nongold
21	an organism is a living thing	nongold
22	to view means to see	nongold
23	to look like means to have the visual properties of	nongold
24	lenses are a kind of object	nongold
25	eyes are used for seeing by animals by sensing light	nongold
26	eyes can sense;detect light energy for seeing	nongold
27	if an object reflects light toward the eye then that object can be seen	nongold
28	An example of observing things is taking a picture	nongold
29	a human is a kind of animal	nongold
30	if something is visible , then that something can be observed	nongold
31	an animal is a kind of organism	nongold
32	viewing means observing light	nongold
33	an insect has three body parts	nongold
34	can be means able to be	nongold
35	observe means see	nongold
36	an eyeglass lens is often made of glass	nongold
37	an animal is a member of an animal species	nongold
38	some lenses are made of glass	nongold
39	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
40	studying is similar to observing	nongold
41	an eyeglass lens is a kind of object	nongold
42	visible means able to be seen	nongold
43	category means kind	nongold
44	lenses are a part of eyeglasses	nongold
45	an part of an object is smaller than the entire object	gold
46	image means visual depiction of an object	nongold
47	objects are made of materials; substances; matter	nongold
48	the color of an object can be discovered by looking at that object	nongold
49	light enters the eye through the pupil	nongold
50	the senses are used for making observations	nongold
51	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
52	studying  something usually requires seeing that something	nongold
53	a convex lens is used in camera	nongold
54	form means kind	nongold
55	best means most positive	nongold
56	classifying is when one sorts something by kind; type	nongold
57	an insect is a kind of prey	nongold
58	the head is a part of an animal	nongold
59	as the size of the eyes of an animal increases , the ability of that animal to see will usually increase	nongold
60	feeling is when an living thing senses through touch	nongold
61	a convex lens is a kind of lenses	nongold
62	a reptile is a kind of animal	nongold
63	looking at bright objects has a negative impact on the eyes	nongold
64	a classroom is a kind of a room	nongold
65	a kind of something is an example of that something	nongold
66	characteristic means property	nongold
67	the properties of something can be used to identify; used to describe that something	nongold
68	observable means visible	nongold
69	high is similar to increase	nongold
70	not looking means not seeing	nongold
71	an insect has six legs	nongold
72	organisms mean life	nongold
73	seeing requires light	nongold
74	can means having the ability to	nongold
75	how something  appears is how that something  looks	nongold
76	affected means changed	nongold
77	answering questions requires information	nongold
78	a face is often a part of an animal	nongold
79	human eyes can only see light in the range of visible light	nongold
80	reflection is when light is reflected from one object; one place to  another object; another place	nongold
81	if an object is made of something then the parts of that object are made of that something	nongold
82	to get a better look at means to see better	nongold
83	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
84	a plant is a kind of living thing	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	variable means able to change	nongold
87	to show means to display	nongold
88	person is synonymous with human	nongold
89	an object is made of its parts	nongold
90	to watch means to look at	nongold
91	light reflecting off of an object causes that object to be visible to the observer	nongold
92	measuring is a kind of observing	nongold
93	a surface is a part of an object	nongold
94	not visible means cannot be seen	nongold
95	matter; materials; substances are made of atoms; particles	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	small is the opposite of large	nongold
98	something's function can be used to describe; identify that something	nongold
99	larger means greater; higher; more; increase in size	nongold
