Question	Which is an example of a single-celled organism?	question
Answer	amoeba	answer
0	an amoeba is a kind of single-celled organism	gold
1	a single-celled organism is a kind of living thing	nongold
2	a single-celled organism is a kind of organism	nongold
3	single-celled organism is made of only one cell	nongold
4	an amoeba is a kind of organism	nongold
5	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
6	a kind of something is an example of that something	gold
7	fungi are sometimes single-celled organisms	nongold
8	a single-cell organism cannot specialize	nongold
9	single-cell organism means unicellular organism	nongold
10	a living thing is made of cells	nongold
11	single means one	nongold
12	an amoeba can change its shape	nongold
13	an organism is a living thing	nongold
14	an amoeba cannot conjugate	nongold
15	a single-cell organism can survive without the help of other cells	nongold
16	an animal is a kind of living thing	nongold
17	an animal is a kind of organism	nongold
18	a fungus is a kind of living thing	nongold
19	a worm is a kind of animal	nongold
20	a fungus is a kind of organism	nongold
21	a worm is a kind of living thing	nongold
22	a living thing is a kind of object	nongold
23	a bacterium is a kind of organism	nongold
24	a multicellular organism contains more than one cell	nongold
25	all living things are made of cells according to the cell theory	nongold
26	bacteria is a kind of living thing	nongold
27	a multicellular organism has more than one cell	nongold
28	an animal is a kind of eukaryote	nongold
29	a plant is a kind of living thing	nongold
30	a fungus is a kind of eukaryote	nongold
31	a multicellular organism is made of many cells	nongold
32	a plant is made of plant cells	nongold
33	a plant is a kind of organism	nongold
34	an amphibian is a kind of animal	nongold
35	a cell is very small	nongold
36	a yeast cell is a kind of single cell organism	nongold
37	a worm has a tube-like body	nongold
38	dysentery amoeba can cause  dysentery	nongold
39	an amphibian is a kind of vertebrate	nongold
40	algae is a kind of living thing	nongold
41	a multicellular organism is a kind of living thing	nongold
42	a cell is a kind of object	nongold
43	life means living things	nongold
44	a plant cell is box-like in shape	nongold
45	an animal; living thing requires nutrients for survival	nongold
46	if a living thing requires something then that something has a positive impact on that living thing	nongold
47	a diatom is a kind of organism	nongold
48	a part of a living thing is a natural structure	nongold
49	organisms mean life	nongold
50	classifying is when one sorts something by kind; type	nongold
51	carnivores; omnivores; herbivores are a kind of animal	nongold
52	algae is a kind of plant	nongold
53	a plant cell is a kind of cell	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	a mushroom is a kind of fungus	nongold
56	nonliving things are not made of cells	nongold
57	an ecosystem contains a large community of; large numbers of living organisms	nongold
58	a reptile is a kind of animal	nongold
59	multicellular organisms produce more cells through cell division	nongold
60	a structure of something is synonymous with a part of that something	nongold
61	an insect is a kind of animal	nongold
62	a mushroom is a kind of living thing	nongold
63	an animal; bacterium requires oxygen for survival; to breathe	nongold
64	an algae is a kind of organism	nongold
65	a frog is a kind of aquatic animal	nongold
66	an aquatic animal is a kind of animal	nongold
67	can be means able to be	nongold
68	the cells of multicellular organisms can specialize	nongold
69	vegetation means plants	nongold
70	cells are a part of the body	nongold
71	a plankton is a kind of animal	nongold
72	an ecosystem contains nonliving things	nongold
73	dysentery amoeba can be found in water that is not safe for drinking	nongold
74	biotic means living	nongold
75	cells are a smaller level of organization than tissues in living things	nongold
76	a reptile is a kind of vertebrate	nongold
77	a plant is a member of a plant species	nongold
78	if something is made of something else then that something can be broken down into that something else	nongold
79	a lizard is a kind of animal	nongold
80	an environment is similar to an ecosystem	nongold
81	organisms are a part of an environment	nongold
82	classifying means grouping objects; materials by their properties	nongold
83	composed of means made of	nongold
84	a plant; living thing requires food for survival	nongold
85	a worm is a kind of decomposer	nongold
86	living things are made of organic molecules	nongold
87	a food contains nutrients for living things	nongold
88	an animal cell is a kind of cell	nongold
89	an paramecium is a kind of organism	nongold
90	living things eat their food source	nongold
91	carnivores; omnivores are predators	nongold
92	an animal is a member of an animal species	nongold
93	predators; carnivores; omnivores eat other animals	nongold
94	to create means to make	nongold
95	a type is synonymous with a kind	nongold
96	basic life functions occur in the cells of organisms	nongold
97	all cells perform cellular respiration	nongold
98	a bacterium is a kind of decomposer	nongold
99	bacteria is small; microscopic in size	nongold
