Question	Scientists are discovering ways to make some crops use less water. A person working in which job would most benefit from this research?	question
Answer	a farmer	answer
0	a farmer farms crops; plants for  food	gold
1	to help; to benefit means to be of use	nongold
2	crops; farming cause nutrients in the soil to decrease	nongold
3	a farmer is a kind of human	gold
4	farming is when a human plants crops for food	nongold
5	a positive impact is  a benefit	gold
6	farming is a kind of process	nongold
7	farming happens on a farm	nongold
8	farming is a source of food	nongold
9	crops growing well has a positive impact on a farmer's livelihood	nongold
10	producing crops requires using farm land	nongold
11	a scientist is a kind of human	nongold
12	having a job has a positive impact on a human	nongold
13	to discover means to make a discovery	nongold
14	crops are a kind of edible plant for eating	gold
15	farming decreases animal habitats	nongold
16	if more farm land is used then less farm land will be available	nongold
17	a crop is a kind of food	nongold
18	farming changes the environment	nongold
19	planting crops is synonymous with growing crops	nongold
20	make means produce	nongold
21	a plants; living things require water for survival; to grow	gold
22	if a plant; crop requires less water then that plant; crop will survive in a drought	nongold
23	less means a reduced amount	nongold
24	helping something has a  positive impact on that something	nongold
25	planting crops requires growing crops	nongold
26	less is similar to decrease	nongold
27	making discoveries requires observing	nongold
28	as the use of something decreases , the use of the source of that something will decrease	nongold
29	using less of a resource means conserving that resource	nongold
30	scientific discoveries sometimes require specific technologies	nongold
31	an increase is the opposite of a decrease	nongold
32	as the use of a crop increases , the amount of  crops planted will increase	nongold
33	animals; living things require water for survival	nongold
34	using less of a resource increases the availability of that resource	nongold
35	cropland is used for farming by humans	nongold
36	negative impact is the opposite of positive impact	nongold
37	a person is a kind of animal	nongold
38	researcher is a kind of scientist	nongold
39	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
40	harming something has a  negative impact on; effect on that something	nongold
41	if a living thing requires something then that something has a positive impact on that living thing	nongold
42	less is the opposite of more	nongold
43	person is synonymous with human	gold
44	crops grow in soil	nongold
45	using resources decreases those resources	nongold
46	as available water in an environment decreases , the amount of available food in that environment will decrease	nongold
47	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
48	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
49	making something requires resources	nongold
50	increase means more	nongold
51	a biologist is a kind of scientist	nongold
52	decreasing something negative has a positive impact on a thing	nongold
53	a human is a kind of animal	nongold
54	decreasing something positive has a negative impact on a thing	nongold
55	to cause means to make	nongold
56	humans eat crops	nongold
57	too much water has a  negative impact on the growth of a plant	nongold
58	a plant requires water to grow	nongold
59	planting crops is a kind of activity	nongold
60	fewer means lower; less in number	nongold
61	if something is required for a process then that something positively impacts that process	nongold
62	crop rotation has a  positive impact on soil quality	nongold
63	corn is a kind of crop	nongold
64	an animal is a kind of organism	nongold
65	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
66	to reduce means to decrease	nongold
67	to be used for something means to be required by that something	gold
68	research is used for learning	nongold
69	low is similar to decrease	nongold
70	deplete is similar to decrease	nongold
71	an animal; living thing requires nutrients for survival	nongold
72	discovering something usually requires seeing that something	nongold
73	little is similar to decrease	nongold
74	An example of managing the use of something is using less of that something	nongold
75	to do a job means to perform a job	nongold
76	to depend on; to rely on; to need means to require	nongold
77	to impact means to affect	nongold
78	to lower means to decrease	nongold
79	as the amount of a source of something decreases , the amount of that something will decrease	nongold
80	a plant; living thing requires food for survival	nongold
81	an animal is a kind of living thing	nongold
82	if something is a raw material in a process then that something is required for that process	nongold
83	requiring is similar to needing help	nongold
84	to work means to function	nongold
85	a positive impact is a helpful effect	nongold
86	solution is similar to a positive impact	nongold
87	lower means less	nongold
88	production is similar to making	nongold
89	provide is similar to give; make	nongold
90	a plant is a kind of organism	nongold
91	saving money has a positive impact on a person; a company	gold
92	requiring something means needing that something	nongold
93	water is a part of an environment	nongold
94	to be used  for something means to help to do that something	nongold
95	money usually has a positive impact on a person's life	nongold
96	insects can have a negative impact on crops	nongold
97	too much is similar to increase	nongold
98	irrigation requires water use	nongold
99	function means job	nongold
