Question	Which of these dissolve in water?	question
Answer	Sugar cubes	answer
0	a sugar cube is made of sugar	gold
1	sugar water is a kind of solution	nongold
2	a solution is formed by one substance being dissolved in another substance	nongold
3	a solution is made of one substance dissolved in another substance	nongold
4	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
5	In the solution sugar water , the solute is sugar	nongold
6	sugar is a kind of pure substance	nongold
7	sugar is a kind of solid	nongold
8	sugar dissolves in water when they are combined	gold
9	glucose is a kind of substance	nongold
10	sugar is a kind of food	nongold
11	a cube is a kind of object	nongold
12	water is a kind of substance	nongold
13	In the solution sugar water , the solvent is water	nongold
14	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
15	sugar is made of sugar crystals	nongold
16	if something is used to dissolve substances , then that something is the solvent	nongold
17	solution is a kind of liquid	nongold
18	a liquid is a kind of substance	nongold
19	carbohydrates are made of sugars	nongold
20	temperature is a measure of heat energy	nongold
21	water is a kind of liquid at room temperature	nongold
22	table sugar is a kind of sugar	nongold
23	chocolate is a kind of solid usually	nongold
24	food is a kind of substance	nongold
25	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
26	a  solution  is a kind of object	nongold
27	water is a kind of compound	nongold
28	a solute can be dissolved in a solvent when they are combined	nongold
29	a solution is a kind of mixture	nongold
30	heat means heat energy	nongold
31	juice is a kind of solution	nongold
32	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
33	a solid is a kind of substance	nongold
34	if something is dissolved , then that something is the solute	nongold
35	substances are made of matter	nongold
36	a mixture is a kind of substance	nongold
37	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
38	syrup is a kind of liquid	nongold
39	dissolving a substance in water causes the water to taste like that substance	nongold
40	a solvent is a part of a solution	nongold
41	chocolate  is a kind of food	nongold
42	an organism breaking down sugar is a source of carbon dioxide; water	nongold
43	substances are made of molecules	nongold
44	a container contains objects; material; substances	nongold
45	made up of means contains; made of	nongold
46	materials are made of matter	nongold
47	if heat is added to a substance then that substance absorbs that heat	nongold
48	gas is a kind of substance	nongold
49	water is a kind of matter	nongold
50	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
51	an mixture is formed by two or more substances combined together physically	nongold
52	material means substance	nongold
53	matter; materials; substances are made of atoms; particles	nongold
54	made of is similar to contains	nongold
55	all elements are a kind of pure substance	nongold
56	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
57	chemical reactions cause new substances; different substances to form	nongold
58	substances have chemical properties	nongold
59	when sugar dissolves in water , less sugar is visible	nongold
60	liquid is a kind of state of matter	nongold
61	juice is a kind of liquid	nongold
62	baking soda is a kind of solid	nongold
63	sodium chloride dissolves in water when they are combined	nongold
64	answering questions requires information	nongold
65	a pure substance is made of only one kind of atom; molecule	nongold
66	sugar is made of carbon, hydrogen, oxygen	nongold
67	a  solute is a part of a solution	nongold
68	juice is a kind of matter	nongold
69	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
70	sugary means high in sugar	nongold
71	vapor is synonymous with gas	nongold
72	if a container contains something then that container touches that something	nongold
73	if something absorbs something else then that something will contain that something else	nongold
74	water is a kind of object	nongold
75	soda water is a kind of carbonated beverage	nongold
76	as temperature increases , the ability of that liquid to dissolve solids will increase	nongold
77	objects are made of materials; substances; matter	nongold
78	sugar is a kind of  simple carbohydrate	nongold
79	moisture means liquid; liquid water	nongold
80	if an object is made of a material then that object has the properties of that material	nongold
81	substances are made of elements	nongold
82	composed of means made of	nongold
83	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
84	matter is made of molecules	nongold
85	a compound is a kind of substance	nongold
86	ATP is formed by the breakdown of molecules of glucose	nongold
87	a carbohydrate is a kind of compound	nongold
88	a compound is a kind of material	nongold
89	a molecule is a kind of object	nongold
90	combining; mixing two substances chemically causes chemical reactions	nongold
91	to be formed by is similar to being produced by	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	liquid; solid means nongaseous	nongold
94	a molecule is the smallest particle; unit that has the properties of a compound	nongold
95	a producer is a source of sugar; food energy in an ecosystem	nongold
96	dough is a kind of mixture of sugar, butter, flour and salt	nongold
97	formation of a state of matter is a kind of process	nongold
98	solid is a kind of state of matter	nongold
99	contents means the substance in a container	nongold
