Question	The outer layers of astronauts' space suits are reflective in order to protect them from	question
Answer	intense sunlight.	answer
0	astronauts wear spacesuits in space	gold
1	an astronaut is a kind of human	gold
2	sunlight is intense in space	gold
3	astronauts live on a space station while in outer space	nongold
4	sunlight means solar energy	nongold
5	sunlight is a kind of solar energy	nongold
6	reflection is a property of light	nongold
7	intense means extreme	nongold
8	something hard; something strong can be used for protection	nongold
9	sunlight is a kind of light	gold
10	covering something is a kind of protection	nongold
11	the sun is a source of radiation; heat called sunlight	nongold
12	protecting something means preventing harm to that something	gold
13	the sun is a source of light; light energy called sunlight	nongold
14	reflection is when light is reflected from one object; one place to  another object; another place	nongold
15	a mirror is a kind of reflective object	nongold
16	intense means high in intensity	nongold
17	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
18	the sun is the source of solar energy called sunlight	nongold
19	to protect means to defend	nongold
20	sunshine means sunlight	nongold
21	if an object is made of a material then that object has the properties of that material	nongold
22	objects are made of materials; substances; matter	nongold
23	a planet is a kind of celestial object; body	nongold
24	being in the sun is synonymous with being in the sunlight	nongold
25	a human is a kind of animal	gold
26	solar radiation means solar energy	nongold
27	an animal is a kind of living thing	nongold
28	metal is reflective	nongold
29	color is a property of  an object; a material	nongold
30	Earth is a kind of planet	nongold
31	reflection is when particles bounce off a surface	nongold
32	a living thing is a kind of object	nongold
33	solar energy is a kind of light	nongold
34	a surface is a part of a material	nongold
35	materials are made of matter	nongold
36	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
37	solar energy is a kind of heat energy	nongold
38	appearance is a property of objects; materials	nongold
39	a structure of something is synonymous with a part of that something	nongold
40	an object has properties	nongold
41	an animal is a kind of organism	gold
42	intensity of sunlight is similar to amount of sunlight	nongold
43	to be in the sun means to be in the sunlight	nongold
44	color is a kind of physical; visual property	nongold
45	person is synonymous with human	nongold
46	appearance  is a kind of physical property	nongold
47	structure is a property of an object; a material; a substance	nongold
48	a surface is a part of an object	nongold
49	the  outer core is a layer of the Earth	nongold
50	can be means able to be	nongold
51	the sunlight occurs during the day	nongold
52	shiny things; objects reflect light	nongold
53	appearance is sometimes a physical property	nongold
54	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
55	to protect means to make safe	nongold
56	eyes are a part of a human for seeing	nongold
57	space shuttles require materials that can withstand heat	nongold
58	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
59	the inner core is a layer of the Earth	nongold
60	state of matter is a kind of physical property	nongold
61	the ability to reflect off of a surface is a kind of characteristic	nongold
62	astronauts require preserved food for extended flights	nongold
63	sunlight produces heat	gold
64	light means light energy	nongold
65	an organism is a living thing	nongold
66	a star is a kind of celestial object; celestial body	nongold
67	harming something has a  negative impact on; effect on that something	gold
68	a moon is a kind of celestial object; body	nongold
69	protecting is a kind of function	nongold
70	to look like means to have the visual properties of	nongold
71	solar energy is a kind of energy	nongold
72	Earth radiates heat into outer space	nongold
73	if an object is made of something then the parts of that object are made of that something	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	distance is a property of space and includes ordered values of close; far	nongold
76	extreme means very high in value	nongold
77	thickness is a property of an object and includes ordered  values of thin; thick	nongold
78	celestial bodies; celestial objects are found in space	nongold
79	high is similar to increase	nongold
80	material means substance	nongold
81	reflection is a kind of process	nongold
82	when sunlight strikes something , that something receives sunlight	nongold
83	a body part is a kind of object	nongold
84	sunlight is made of ultraviolet, infrared, and visible light	nongold
85	answering questions requires information	nongold
86	a property of something is a feature of that something	nongold
87	receiving sunlight  is synonymous with absorbing sunlight	nongold
88	an part of an object is smaller than the entire object	nongold
89	eyes are usually part of an animal for seeing	nongold
90	physical state means state of matter	nongold
91	opacity is a property of an object and includes ordered values of opaque; translucent; transparent	nongold
92	absorbing sunlight causes objects to heat	nongold
93	sunlight contains ultraviolet light	nongold
94	a surface is a kind of object	nongold
95	hot means high in heat energy; temperature	nongold
96	a physical property is a kind of property	nongold
97	a covering is a kind of object	nongold
98	matter; materials; substances are made of atoms; particles	nongold
99	if something is made of something; a material then that something contains that something; that material	nongold
