Question	Based on the Doppler effect, the electromagnetic waves reaching Earth from a galaxy that is moving away from Earth would be expected to	question
Answer	experience a decrease in frequency.	answer
0	Doppler Effect is when the  frequency of the waves changes when the distance from the wave source changes	gold
1	as the distance from the wave source increases ,  the frequency of the waves will decrease	gold
2	to reduce means to decrease	nongold
3	a galaxy is a kind of celestial body; celestial object	nongold
4	moving away from the source increases the distance	gold
5	an increase is the opposite of a decrease	nongold
6	electromagnetic energy travels as electromagnetic waves	nongold
7	to move away means to increase distance	nongold
8	less is similar to decrease	nongold
9	to lower means to decrease	nongold
10	as the wavelength of a wave increases ,  the frequency of the wave will decrease	nongold
11	as distance from a source of something increases , that something will decrease	nongold
12	Earth is a kind of planet	nongold
13	frequency is a property of a wave; a particel of light; an event	nongold
14	electromagnetic wave is a kind of  wave	gold
15	as the cause of something decreases , that something will decrease	nongold
16	a decrease is a kind of change	gold
17	low is similar to decrease	nongold
18	to slow; to slow down decreases speed	nongold
19	electromagnetic radiation means electromagnetic energy	nongold
20	a galaxy is a kind of celestial body	nongold
21	electromagnetic radiation distorts the frequency of the radio waves	nongold
22	closer means lower; less; a decrease in distance	nongold
23	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
24	an increase is a kind of change	nongold
25	high is similar to increase	nongold
26	as the frequency of a wave increases ,  the energy of the wave will increase	nongold
27	as distance from an object decreases , the the pull of gravity on that object increases	nongold
28	motion is when moves an object; something to a direction	nongold
29	radio wave is a kind of electromagnetic wave	nongold
30	light is a kind of electromagnetic radiation	nongold
31	near; close is the opposite of far; away	nongold
32	extreme means very high in value	nongold
33	to add means to increase	nongold
34	galaxies are located  millions of light years from Earth	nongold
35	a wave is a kind of object	nongold
36	radiation is when electromagnetic waves transfers heat and light energy	nongold
37	electromagnetic energy is a kind of energy	nongold
38	travel means to move	nongold
39	light is a kind of wave	nongold
40	as the distance from an object increases , the force of gravity on that object will decrease	nongold
41	to cause means to have an effect	nongold
42	a galaxy is made of a group of objects in space	nongold
43	radio signal is a kind of radio wave	nongold
44	the radio receives radio waves	nongold
45	as the amount of a source of something decreases , the amount of that something will decrease	nongold
46	to change means to have an effect	nongold
47	toward is the opposite of away	nongold
48	little is similar to decrease	nongold
49	when something reaches something else , that something has usually completed its movement	nongold
50	a planet is a kind of celestial object; body	nongold
51	moving is similar to travelling	nongold
52	waves travel outward from the source	nongold
53	all electromagnetic waves have the same speed of 300000 km/s	nongold
54	distance moved; distance travelled is a measure of how far an object moves	nongold
55	events occur at a specific place; at a specific time; with a specific frequency	nongold
56	a wave is formed by the vibration of the source spreading around from the source	nongold
57	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
58	intense means extreme	nongold
59	motion; movement means moving; to move	nongold
60	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
61	far means great in distance	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	a galaxy contains dust; stars; planets	nongold
64	impact means effect	nongold
65	a galaxy is held together by gravity	nongold
66	if something emits something else then that something increases the amount of that something else	nongold
67	as the distance decreases ,  the period  of time a reflected wave uses to return will decrease	nongold
68	intense means high in intensity	nongold
69	a source of something increases the amount of that something	nongold
70	causing means influencing	nongold
71	all waves transfer; transmit energy from one place to another	nongold
72	high-frequency sound waves have low; short wavelengths	nongold
73	distant means far away	nongold
74	far is the opposite of close	nongold
75	if something causes an increase in something else then that something produces that something else	nongold
76	away is a kind of direction	nongold
77	proximity means distance	nongold
78	reflecting light; sound is the opposite of absorbing light; sound	nongold
79	affected means changed	nongold
80	to limit means to decrease	nongold
81	electromagnetic wave is not a mechanical wave	nongold
82	can be means able to be	nongold
83	radio waves spread in all directions	nongold
84	light waves travel as transverse waves	nongold
85	decreasing is similar to becoming smaller	nongold
86	low is the opposite of high	nongold
87	as the wavelength; frequency of a wave changes , the speed of the wave in the same medium will usually stay the same	nongold
88	Earth is a planet that is closer to the  Sun than Jupiter	nongold
89	infrared wave is a kind of  electromagnetic wave	nongold
90	a galaxy is made of stars	nongold
91	ionizing radiation is a kind of electromagnetic wave	nongold
92	furthest; farthest means greatest; most; highest in distance	nongold
93	satellites; spacecraft launched from Earth need to reach a specific speed to escape Earth's surface to overcome earth's gravitational force	nongold
94	as the  frequency of a sound increases , the wavelength of that sound decreases	nongold
95	close means low in distance	nongold
96	a star is a kind of celestial object; celestial body	nongold
97	transport means to move; to make travel	nongold
98	if something releases something else then that something else decreases in that something	nongold
99	variable means able to change	nongold
