Question	Colored alcohol is used in some glass thermometers. When placed in air of different temperatures, the column of alcohol rises or falls in the glass thermometer. Which of the following best explains why the height of the alcohol column changes?	question
Answer	The alcohol expands more than the glass when heated.	answer
0	a thermometer is used to measure temperature	nongold
1	a thermometer is a kind of instrument for measuring temperature	gold
2	if gas is heated then that gas will expand; rise	nongold
3	expand means increase in size	nongold
4	expand is a kind of change	nongold
5	expand means increase in volume	nongold
6	expand is a kind of change in volume	nongold
7	temperature  rise means temperature increase	nongold
8	rising is a kind of motion	nongold
9	rising means height; altitude increases	gold
10	an increase is a kind of change	gold
11	a decrease is a kind of change	nongold
12	increasing heat causes thermal expansion	nongold
13	alcohol is a kind of liquid	gold
14	liquids expand more than solids when heated	gold
15	if  a  material is heated , then the  material will expand	nongold
16	being  on something; placed in something; placed over something means touching  that something	nongold
17	when metal conducts heat , that metal expands	nongold
18	falling means height decreases	gold
19	temperature is a measure of heat energy	nongold
20	heat means temperature increases	nongold
21	if gas in a flexible container is heated then that container will expand	nongold
22	heating means adding heat	nongold
23	rising means moving upward	nongold
24	expand means spread out	nongold
25	increase means more	nongold
26	height is a measure of length from the top of an object to the bottom of an object	nongold
27	an increase is the opposite of a decrease	gold
28	glass is a kind of object	nongold
29	lowering is a kind of motion	nongold
30	height is a property of the size of an object	nongold
31	falling means moving downward	nongold
32	less is similar to decrease	nongold
33	height is a kind of position	nongold
34	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
35	adding heat means increasing temperature	nongold
36	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
37	as heat increases , a flexible container containing gas will expand	nongold
38	air is a kind of gas	nongold
39	air temperature is a kind of temperature	nongold
40	glass is a kind of material	nongold
41	high is similar to increase	nongold
42	temperature drop means temperature decrease	nongold
43	the air is a kind of substance	nongold
44	to reduce means to decrease	nongold
45	temperature changing can cause volume of the object to change	nongold
46	heat means heat energy	nongold
47	glass is a kind of open container	nongold
48	a barometer is a kind of instrument for measuring air pressure	nongold
49	glass is a kind of solid at room temperature	gold
50	greater means higher; more in value	nongold
51	if a glass expands too rapidly , then the glass will break	nongold
52	to drop means to fall	nongold
53	to lower means to decrease	nongold
54	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
55	heat energy is synonymous with thermal energy	nongold
56	low means low in elevation; height; altitude	nongold
57	rising means elevation	nongold
58	to add means to increase	nongold
59	low means down	nongold
60	a barometer is used to measure air pressure	nongold
61	when gas compresses , the temperature of the gas increases	nongold
62	closer means lower; less; a decrease in distance	nongold
63	to change means to become different	nongold
64	low is similar to decrease	nongold
65	if heat is transferred to the air , then the temperature of the air will increase	nongold
66	to travel up means to rise	nongold
67	larger means greater; higher; more; increase in size	nongold
68	as the liquid in a tube expands , the height of  the liquid in that tube will increase	gold
69	thermal expansion is a property of matter and includes ordered values of high; low	nongold
70	size; amount of space means volume	nongold
71	a glass contains water	nongold
72	variable means able to change	nongold
73	atmosphere means  air	nongold
74	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
75	water expanding when it freezes is a physical property of water	nongold
76	a liquid is a kind of substance	nongold
77	the atmosphere contains gases; liquids; solids	nongold
78	compress is the opposite of expand	nongold
79	glass is a kind of medium	nongold
80	temperature rise means become warmer	nongold
81	convection is when the heated part of gas rises	nongold
82	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
83	shrinking decreases size	nongold
84	to slow; to slow down decreases speed	nongold
85	gas is a kind of substance	nongold
86	color is a property of  an object; a material	nongold
87	temperature is a property of weather	nongold
88	motion; movement means moving; to move	nongold
89	to ascend means to rise	nongold
90	extreme means very high in value	nongold
91	as amount; size of something increases , the intensive properties of that something will not change	nongold
92	below means lower down	nongold
93	tall means great in height	nongold
94	affected means changed	nongold
95	air is usually a thermal; thermal energy insulator	nongold
96	higher means greater; above in value; amount; number	nongold
97	low is the opposite of high	nongold
98	a container contains objects; material; substances	nongold
99	hot means high in heat energy; temperature	nongold
