Question	A large, solid spherical body in the solar system is classified as a moon. Which characteristic of the body gives it this classification?	question
Answer	It orbits a nearby planet.	answer
0	moons are large; solid; spherical	gold
1	moons orbit planets	gold
2	a kind of something is classified as that something	nongold
3	a moon is a kind of celestial object; body	gold
4	planets in the solar system orbit the Sun	nongold
5	orbit is a kind of characteristic	gold
6	planets orbit stars	nongold
7	a planet is a kind of celestial object; body	nongold
8	classifying is when one sorts something by kind; type	nongold
9	to belong to a class means to be a kind of something	nongold
10	what an object is made of is a kind of characteristic	nongold
11	a part of something means a characteristic of something	nongold
12	the moon orbits the Earth	nongold
13	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
14	the Moon is Earth's moon	nongold
15	classifying means grouping objects; materials by their properties	gold
16	revolving  around something means orbiting that something	nongold
17	moons; comets; planets are part of the solar system	nongold
18	classify is similar to characterize	nongold
19	category means kind	nongold
20	a planet is a kind of location	nongold
21	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
22	a star is a kind of celestial object; celestial body	nongold
23	a planet's  moon is smaller than that planet	nongold
24	stars can be classified by temperature; color; chemical composition; brightness	nongold
25	the Sun is a kind of star	nongold
26	the solar system contains the moon	nongold
27	trait is synonymous with characteristic	nongold
28	characteristic means property	gold
29	a dwarf planet is usually much smaller in size; in mass than other planets	nongold
30	feature is synonymous with characteristic	nongold
31	the solar system is a kind of system	nongold
32	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
33	to classify means to decide what class something belongs to	nongold
34	a body system is a kind of object	nongold
35	classifying requires comparing	nongold
36	small is the opposite of large	nongold
37	to categorize means to classify	nongold
38	a planet is a kind of place	nongold
39	the properties of something can be used to identify; used to describe that something	nongold
40	a moon is located in space	nongold
41	a star is usually larger than a planet	nongold
42	all planets orbit the sun in the same direction	nongold
43	the moon's orbit is elliptical	nongold
44	larger means greater; higher; more; increase in size	nongold
45	type of moon; kind of moon means moon phase	nongold
46	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
47	Celestial bodies move in orbits in space around other celestial bodies	nongold
48	an part of an object is smaller than the entire object	nongold
49	the solar system contains eight planets	nongold
50	larger; bigger is the opposite of smaller	nongold
51	orbit means orbital path	nongold
52	form is similar to body	nongold
53	a solid is a kind of substance	nongold
54	shape is a kind of characteristic	nongold
55	the moon rotates on its axis	nongold
56	Earth is a kind of planet	nongold
57	the sun is a kind of yellow dwarf	nongold
58	objects are made of materials; substances; matter	nongold
59	distance is a property of space and includes ordered values of close; far	nongold
60	system means a set of objects	nongold
61	a structure is a kind of feature	nongold
62	system is similar to structure	nongold
63	smaller means less; lower in size	nongold
64	the properties of something are used for describing that something	nongold
65	the Earth revolves around the sun	nongold
66	the moon orbiting the Earth occurs approximately 13 times per year	nongold
67	a type is synonymous with a kind	nongold
68	an object is made of its parts	nongold
69	a moon is a kind of satellite	nongold
70	a structure of something is synonymous with a part of that something	nongold
71	trait means property	nongold
72	to tell the difference between things means to classify those things	nongold
73	astronomy is the study of celestial (objects, bodies)	nongold
74	to be characterized by  a property means to have that property	nongold
75	a star's type is determined by the star's mass	nongold
76	to be made of something means to be formed of that something	nongold
77	the moon is the celestial object that is closest to the  Earth	nongold
78	massive is similar to large	nongold
79	classification is a kind of process	nongold
80	a body part is a kind of object	nongold
81	gravity causes orbits	nongold
82	identifying is similar to determining	nongold
83	something's function can be used to describe; identify that something	nongold
84	Neptune is a kind of planet in the solar system	nongold
85	high is similar to increase	nongold
86	matter; materials; substances are made of atoms; particles	nongold
87	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
88	solid is a kind of state of matter	nongold
89	classifying is a kind of science process	nongold
90	affected means changed	nongold
91	a function is a kind of characteristic	nongold
92	a living thing is a kind of object	nongold
93	mass is similar to size	nongold
94	the earth has more mass than the moon	nongold
95	if an object is made of something then the parts of that object are made of that something	nongold
96	events occur at a specific place; at a specific time; with a specific frequency	nongold
97	a planet completes one orbit around its star over a period of one planetary year	nongold
98	the solar system contains asteroids	nongold
99	near; close is the opposite of far; away	nongold
