Question	How does ice change the shape of rocks?	question
Answer	It breaks the rocks by expanding in openings.	answer
0	ice wedging is when ice causes rocks to crack by expanding in openings	gold
1	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
2	ice is a kind of solid	nongold
3	ice wedging is a kind of mechanical weathering	nongold
4	breaking down into pieces is a kind of change in shape	nongold
5	separating is similar to breaking	nongold
6	ice is a kind of object	nongold
7	cycles of freezing and thawing water cause ice wedging	nongold
8	expand is a kind of change	nongold
9	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
10	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
11	freezing is a kind of phase change	nongold
12	breaking down an object changes that object's shape and that object's mass	gold
13	break down means change from a whole into pieces	nongold
14	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
15	a crack is a kind of opening	nongold
16	to add means to increase	nongold
17	expand means increase in volume	nongold
18	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
19	structure is similar to shape	nongold
20	form means kind	nongold
21	expand is a kind of change in volume	nongold
22	An example of a physical change is breaking an object	nongold
23	a rock is a kind of object	nongold
24	when water freezes , that water expands	nongold
25	water expanding when it freezes is a physical property of water	nongold
26	matter with variable shape changes shape in different container	nongold
27	an increase is a kind of change	nongold
28	rock means stone	nongold
29	bending is a kind of change of shape	nongold
30	to break down means to break into smaller pieces	nongold
31	expand means increase in size	nongold
32	mechanical weathering is when rocks are broken down by mechanical means	nongold
33	breaking down is a kind of forming	nongold
34	snow is a kind of ice	nongold
35	to split means to break down	nongold
36	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
37	to lower means to decrease	nongold
38	freezing causes a solid to form	nongold
39	dissolving is similar to breaking down	nongold
40	Matter in the liquid phase has variable shape	nongold
41	increase means more	nongold
42	stretching is a kind of change in shape	nongold
43	depth is a property of the shape of an object	nongold
44	cracking something may cause that something  to break apart	nongold
45	shape is a property of an object	nongold
46	compaction is a kind of process	nongold
47	rock is a kind of material	nongold
48	size; amount of space means volume	nongold
49	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
50	length is a property of the shape of an object	nongold
51	movement is a kind of change	nongold
52	ice is colder than water in temperature	nongold
53	to turn means to change	nongold
54	when something breaks , a crack may form in that something	gold
55	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
56	a decrease is a kind of change	nongold
57	ice is cold in temperature	nongold
58	erosion is a kind of change	nongold
59	forming something is a kind of change	nongold
60	high is similar to increase	nongold
61	surfaces sometimes cause objects to break	nongold
62	ice is a kind of water phase	nongold
63	shape of the parts of something is a property of that something	nongold
64	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
65	ice is a kind of food	nongold
66	sharpening an object causes that object to change shape	nongold
67	thickness is  a measure of how thick an object  is	nongold
68	reducing is a kind of change	nongold
69	landform means surface feature; physical feature; land feature	nongold
70	expand means spread out	nongold
71	shape is a kind of physical property	nongold
72	crumble means break down	nongold
73	water is a kind of matter	nongold
74	an object is made of its parts	nongold
75	to change means to cause a change	nongold
76	a phase change is a kind of physical change	nongold
77	to limit means to decrease	nongold
78	separate is similar to break down	nongold
79	solid is a kind of state of matter	nongold
80	Matter in the solid phase has definite shape	nongold
81	increase is similar to extend	nongold
82	temperature is a measure of heat energy	nongold
83	liquid is a kind of state of matter	nongold
84	ice is found in arctic environments	nongold
85	change is a kind of process	nongold
86	to raise means to add	nongold
87	shape is a property of the appearance of an object	nongold
88	a structure of something is synonymous with a part of that something	nongold
89	a wall is a kind of surface	nongold
90	decomposing is similar to separating	nongold
91	becoming is similar to changing	nongold
92	thawing is similar to melting	nongold
93	state means form	nongold
94	variability of shape; variability of volume is a kind of physical property	nongold
95	weathering; erosion usually occurs over a period of many years	nongold
96	break down is the opposite of put together	nongold
97	to place in is similar to to move to	nongold
98	water is a kind of substance	nongold
99	to change into means to form	nongold
