Question	What happens when water flows over a rock for a long period of time?	question
Answer	erosion	answer
0	weathering; erosion usually occurs over a period of many years	nongold
1	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	gold
2	flowing is a kind of motion	gold
3	weathering is a kind of erosion	gold
4	erosion is a kind of change	nongold
5	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
6	length of time means period of time	nongold
7	a river is a kind of flowing body of water	nongold
8	soil erosion means soil loss through wind;water; animals	nongold
9	wind and rain; storms cause erosion	nongold
10	water causes the most soil and rock erosion	nongold
11	erosion is a kind of process	nongold
12	long means great in length	nongold
13	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
14	a rock is a kind of object	nongold
15	to wash away is a kind of movement by moving water	nongold
16	soil erosion is a kind of slow; natural process	nongold
17	erosion is a kind of destructive force	nongold
18	erosion usually causes harm to the environment	nongold
19	rain causes erosion	nongold
20	wind causes erosion	nongold
21	rocks contacting; rubbing each other over long periods of time causes those rocks to smooth	nongold
22	most canyons are formed by flowing rivers through erosion over long periods of time	nongold
23	soil erosion is a kind of event	nongold
24	erosion; storms can cause a landslide	nongold
25	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
26	a riverbed is a part of a river	nongold
27	flowing is a kind of action	nongold
28	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
29	to happen means to occur	nongold
30	to reduce means to decrease	nongold
31	An example of movement is washing away	nongold
32	rock is a kind of material	nongold
33	erosion causes a river to become deeper and wider	nongold
34	rock means stone	nongold
35	weathering occurs at the surface of the Earth	nongold
36	erosion causes deposition	nongold
37	bedrock is a kind of rock	nongold
38	overgrazing increases soil erosion	nongold
39	a surface is a part of an object	nongold
40	water is a kind of object	nongold
41	period is similar to amount of time	nongold
42	a motion is a kind of event; action	nongold
43	Earth's surface is made of rock	nongold
44	mechanical weathering is when rocks are broken down by mechanical means	nongold
45	washing out means being moved from  by water	nongold
46	a stream is a kind of body of water	nongold
47	a body of water is a source of water	nongold
48	a pebble is a kind of small rock	nongold
49	a surface is a part of a material	nongold
50	a landform is a kind of natural formation	nongold
51	water is a kind of substance	nongold
52	landform means surface feature; physical feature; land feature	nongold
53	to lower means to decrease	nongold
54	movement is a kind of change	nongold
55	an event is a kind of action	nongold
56	usual means happens frequently over long periods of time	nongold
57	rock is hard	nongold
58	waves are made of moving water	nongold
59	affected means changed	nongold
60	an increase is a kind of change	nongold
61	flowing liquid can push objects	nongold
62	something that happens is a kind of event	nongold
63	a surface is a kind of object	nongold
64	a wall is a kind of surface	nongold
65	a rock is usually a solid	nongold
66	mechanical weathering is a kind of weathering	nongold
67	a body of water is a kind of environment	nongold
68	if something is permeable , then the water will flow through something easily	nongold
69	weathering is a kind of process	nongold
70	ground water is a kind of water	nongold
71	quickly means in a short period of time	nongold
72	how long something takes is a kind of measurement of time	nongold
73	metamorphic rock is a kind of rock	nongold
74	due to means caused by	nongold
75	a landform is a kind of object	nongold
76	a cycle happens; occurs repeatedly	nongold
77	a decrease is a kind of change	nongold
78	throughout means over	nongold
79	rising is a kind of motion	nongold
80	to flow is similar to to transfer	nongold
81	a change is a kind of event	nongold
82	motion is when moves an object; something to a direction	nongold
83	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
84	sediment is a kind of matter	nongold
85	water  flows down a slope	nongold
86	the slope of the land causes a river to flow in a particular direction	nongold
87	extreme means very high in value	nongold
88	waves travel outward from the source	nongold
89	surfaces sometimes cause objects to break	nongold
90	to limit means to decrease	nongold
91	sediment is formed from rock	nongold
92	natural events usually cause changes to Earth's surface	nongold
93	rainwater is a kind of water	nongold
94	lowering is a kind of motion	nongold
95	a body of water contains water	nongold
96	flowing is similar to pouring	nongold
97	when a river floods , that river deposits soil; sediment in flood plains	nongold
98	an ocean contains waves	nongold
99	bodies of water are located on Earth's surface	nongold
