Question	The heart, veins, arteries, and capillaries make up which organ system?	question
Answer	circulatory	answer
0	veins; arteries are a part of the circulatory system	gold
1	capillaries  are a part of the circulatory system	gold
2	the heart is a part of the circulatory system	gold
3	the circulatory system is a kind of human; organ; body system	gold
4	blood is a part of the circulatory system	nongold
5	circulation the circulatory system transports blood throughout the body	nongold
6	a heart is a kind of organ	nongold
7	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
8	the body of an animal contains arteries; veins	nongold
9	a heart is a part of the body	nongold
10	the circulatory system absorbs; carries food; substances from the digestive system to the rest of the body	nongold
11	organ system means body system	nongold
12	arteries; veins transport nutrients; water; minerals throughout the body	nongold
13	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
14	made up of means contains; made of	nongold
15	the respiratory system transfers oxygen to the circulatory system	nongold
16	the blood vessels are a part of the body	nongold
17	the nervous system is a kind of body; organ system	nongold
18	veins carry blood from the body to the heart	nongold
19	the heart pumps blood to the rest of the body	nongold
20	nerves are made of nerve cells	nongold
21	the integumentary system is a kind of body; organ system	nongold
22	the parts of something make up that something	gold
23	the respiratory system is a kind of human; organ; body system	nongold
24	make means produce	nongold
25	to be made of something means to be formed of that something	nongold
26	an organ system is made of different parts of the body working together	nongold
27	a component means a part of	nongold
28	a body system is a part of the body; an animal	nongold
29	the nervous system contains nerves	nongold
30	to be made of means to consist of	nongold
31	composed of means made of	nongold
32	the body is a part of an organism	nongold
33	the heart is mostly made of muscle	nongold
34	a component of something means a part of that something	nongold
35	organs are a smaller level of organization than organ systems in living things	nongold
36	the nervous system is a part of the body of an animal	nongold
37	the muscular system is a kind of body; organ system	nongold
38	a type is synonymous with a kind	nongold
39	unit is similar to part	nongold
40	form means kind	nongold
41	to cause means to make	nongold
42	breathing is a kind of  function	nongold
43	causing is a kind of function	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	answering questions requires information	nongold
46	a structure of something is synonymous with a part of that something	nongold
47	can be means able to be	nongold
48	the function of something is what that something  is used to do	nongold
49	internal organs are a part of the body	nongold
50	to emit means to release	nongold
51	to assemble means to make	nongold
52	the lungs are a part of the respiratory system	nongold
53	a body system is a kind of object	nongold
54	provide is similar to give; make	nongold
55	the stomach is a kind of organ	nongold
56	a nerve cell is a kind of cell	nongold
57	to make means to form	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	the respiratory system takes in oxygen from the air	nongold
60	to be formed by is similar to being produced by	nongold
61	affected means changed	nongold
62	providing something means making;delivering something	nongold
63	emit means produce	nongold
64	the digestive system is a kind of body; organ system	nongold
65	if something is made of something else then that something can be broken down into that something else	nongold
66	if something is made of something else , then that something else will be the component of that something	nongold
67	breathing is a kind of process	nongold
68	producing is a kind of function	nongold
69	an animal is a kind of living thing	nongold
70	the endocrine system is a kind of body; organ system	nongold
71	organs are made of different types of  cellular tissues	nongold
72	accounting for means making up some amount	nongold
73	system means a set of objects	nongold
74	made of is similar to contains	nongold
75	the fallopian tubes are a kind of organ	nongold
76	to add means to increase	nongold
77	the heart is not located in the abdomen	nongold
78	an organism is a living thing	nongold
79	events occur at a specific place; at a specific time; with a specific frequency	nongold
80	variable means able to change	nongold
81	a motion is a kind of event; action	nongold
82	to produce means to provide	nongold
83	to turn means to change	nongold
84	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
85	motion; movement means moving; to move	nongold
86	if something is made of something else then the formation of that something requires that something else	nongold
87	something's function can be used to describe; identify that something	nongold
88	the lungs are a part of the body of an animal used for breathing air	nongold
89	a part of a process means a stage in a process	nongold
90	a whole is formed by its parts	nongold
91	composition means the (materials, substances) of which something is composed	nongold
92	converting is similar to producing	nongold
93	the brain is a part of the body	nongold
94	tissues are a smaller level of organization than organs in living things	nongold
95	Anna is a name for a human	nongold
96	to give is similar to to cause	nongold
97	to create means to make	nongold
98	cells are a part of the body	nongold
99	to slow; to slow down decreases speed	nongold
