Question	Denise was driving east over a hill in the afternoon, shortly after a rain shower. Suddenly the sun broke through the clouds, and she saw a rainbow ahead of her. Which of the following made the rainbow possible?	question
Answer	Sunlight can be separated into all the colors of the rainbow.	answer
0	sunlight is made of all colors in the rainbow	gold
1	the rainbow is made of all different colors in visible light	gold
2	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	gold
3	refracting sunlight; light causes sunlight; light to split into different colors	nongold
4	sunlight and rain can cause a rainbow	gold
5	sunlight is a kind of solar energy	nongold
6	the sun is a source of light; light energy called sunlight	gold
7	sunlight means solar energy	nongold
8	to make possible means to be required	nongold
9	color is a property of  an object; a material	nongold
10	sunlight is a kind of light	gold
11	to disperse means to separate	nongold
12	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
13	sunshine means sunlight	nongold
14	to split means to divide	nongold
15	separate is similar to break down	nongold
16	the afternoon is  a part of the day	nongold
17	if something is made of something else then that something can be broken down into that something else	nongold
18	rain is a kind of precipitation	nongold
19	apart is the opposite of together	nongold
20	to split means to break down	nongold
21	the sun is the source of solar energy called sunlight	nongold
22	break apart means break down	nongold
23	a hill is a kind of place	nongold
24	an object is made of its parts	nongold
25	decomposing is similar to separating	nongold
26	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
27	to cause means to make	nongold
28	a cloud is a kind of object	nongold
29	to decompose means to separate	nongold
30	to be made of something means to be formed of that something	nongold
31	make means produce	nongold
32	refraction of light can split light into lights of different color	nongold
33	the Sun is a kind of star	nongold
34	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
35	can be means able to be	nongold
36	rain is a kind of water	nongold
37	daylight means sunlight	nongold
38	to drive means to cause	nongold
39	motion is when moves an object; something to a direction	nongold
40	sunlight produces heat	nongold
41	solar energy is a kind of light	nongold
42	clouds produce rain	nongold
43	separating is similar to breaking	nongold
44	all the other means the rest of	nongold
45	to convert means to change	nongold
46	afternoon is a part of day time	nongold
47	color is a kind of physical; visual property	nongold
48	solar energy is a kind of heat energy	nongold
49	if something is insoluble in something , then they will remain separated	nongold
50	a cloud is a kind of weather	nongold
51	form means kind	nongold
52	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
53	to transform means to convert	nongold
54	to remain means to stay the same	nongold
55	a component means a part of	nongold
56	clouds are usually found in the sky	nongold
57	take apart means break down	nongold
58	to add means to increase	nongold
59	clouds are made of water vapor; rain droplets	nongold
60	high is similar to increase	nongold
61	objects are made of materials; substances; matter	nongold
62	a whole is formed by its parts	nongold
63	if two objects move apart from each other then those two objects separate from each other	nongold
64	stars can be classified by temperature; color; chemical composition; brightness	nongold
65	to change means to become different	nongold
66	break down means change from a whole into pieces	nongold
67	the sunlight occurs during the day	nongold
68	composed of means made of	nongold
69	solar energy is a kind of energy	nongold
70	light is a kind of wave	nongold
71	composition is a property of an object; matter	nongold
72	the sky is blue in color	nongold
73	stay the same means not changing	nongold
74	variable means able to change	nongold
75	to create means to make	nongold
76	different is the opposite of the same	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	if something has no impact on something else then that something else stays the same	nongold
79	bright means bright; light in color	nongold
80	if something changes , then that something is not the same	nongold
81	heat means heat energy	nongold
82	to be in the sun means to be in the sunlight	nongold
83	sunlight is intense in space	nongold
84	to turn means to change	nongold
85	to group means to separate	nongold
86	a type is synonymous with a kind	nongold
87	to receive sunlight means to absorb sunlight	nongold
88	to be made of means to consist of	nongold
89	north is the opposite of south	nongold
90	a component of something means a part of that something	nongold
91	to be formed by is similar to being produced by	nongold
92	creating means making	nongold
93	affected means changed	nongold
94	matter; materials; substances are made of atoms; particles	nongold
95	a mountain; hill is taller than the land around it	nongold
96	composition means the (materials, substances) of which something is composed	nongold
97	if something is made of something else , then that something else will be the component of that something	nongold
98	same means identical; equal in value; amount; number; quantity	nongold
99	color is an intensive property	nongold
