Question	The first microscopes were built in the 1600s. Microscopes have improved since then, but still perform the same job. How do microscopes most help scientists?	question
Answer	They make small objects easier to see.	answer
0	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	gold
1	a microscope is a kind of tool for observing small things	gold
2	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
3	microscopic means very small in size	nongold
4	helping means something can be done; completed more easily; better	nongold
5	to make something easier means to help	nongold
6	a scientist is a kind of human	nongold
7	as the size of an object appears larger , that object will be seen;be observed more easily; better	gold
8	seeing small things is difficult	nongold
9	to be used  for something means to help to do that something	gold
10	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
11	helping something has a  positive impact on that something	nongold
12	to help; to benefit means to be of use	nongold
13	to help means to aid	nongold
14	magnifying glass is used to see  small things by making objects appear bigger	nongold
15	to improve means to have a positive impact	nongold
16	to do a job means to perform a job	nongold
17	an electron microscope is used for seeing very small objects by making them appear bigger	nongold
18	a positive impact is a helpful effect	nongold
19	to see means to look	nongold
20	improving the design of something helps that something  to do its function	nongold
21	an part of an object is smaller than the entire object	nongold
22	helping means to assist in a change	nongold
23	small is the opposite of large	nongold
24	requiring is similar to needing help	nongold
25	function means job	nongold
26	a tool is a kind of object	nongold
27	high is similar to increase	nongold
28	negative impact is the opposite of positive impact	nongold
29	to get a better look at means to see better	nongold
30	instrument means tool	nongold
31	a living thing is a kind of object	nongold
32	a magnifying glass is a kind of tool for observing small things	nongold
33	an instrument is a piece of equipment	nongold
34	to be helpful means to help to do	nongold
35	to be used for something means to be required by that something	nongold
36	a surface is a part of an object	nongold
37	an increase is the opposite of a decrease	nongold
38	sight means to see	nongold
39	to view means to see	nongold
40	seeing requires light	nongold
41	studying  something usually requires seeing that something	nongold
42	if a living thing requires something then that something has a positive impact on that living thing	nongold
43	instrument means device	nongold
44	objects are made of materials; substances; matter	nongold
45	if an object is made of a material then that object has the properties of that material	nongold
46	a surface is a part of a material	nongold
47	to slow; to slow down decreases speed	nongold
48	eyes are a part of a human for seeing	nongold
49	better look means see better	nongold
50	little means small	nongold
51	seeing is used for sensing visual things	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	having a job has a positive impact on a human	nongold
54	the function of something is what that something  is used to do	nongold
55	useful means able to be used	nongold
56	a device is a kind of object	nongold
57	an animal is a kind of living thing	nongold
58	a human is a kind of animal	nongold
59	to make means to build	nongold
60	an animal is a kind of organism	nongold
61	if something performs a task then that task is that something's function	nongold
62	best means most positive	nongold
63	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
64	harming something has a  negative impact on; effect on that something	nongold
65	an organism is a living thing	nongold
66	increase means more	nongold
67	an object has properties	nongold
68	researcher is a kind of scientist	nongold
69	person is synonymous with human	nongold
70	beneficial means helpful	nongold
71	scientists make observations	gold
72	optical tools are used for observing materials up close; in greater detail	nongold
73	low is similar to decrease	nongold
74	to add means to increase	nongold
75	refractions of light can be used to help a person see	nongold
76	to enable is to help	nongold
77	sight means vision	nongold
78	to cause means to make	nongold
79	device means tool	nongold
80	to change means to have an effect	nongold
81	to serve as means to be used as	nongold
82	smaller means less; lower in size	nongold
83	to enhance means to increase	nongold
84	providing something means making;delivering something	nongold
85	observe means see	nongold
86	if something is required for a process then that something positively impacts that process	nongold
87	make means produce	nongold
88	eyes are used for seeing by animals by sensing light	nongold
89	to work means to function	nongold
90	good means positive	nongold
91	hard is the opposite of easy	nongold
92	something harmful can cause harm	nongold
93	being used for is similar to providing	nongold
94	if two things perform the same function then those two things are similar	nongold
95	better means good	nongold
96	size; amount of space means volume	nongold
97	a machine is a kind of object	nongold
98	to lower means to decrease	nongold
99	mostly means being the most	nongold
