Question	The speed of sound is generally greatest in	question
Answer	solids and lowest in gases.	answer
0	greatest means largest; highest; most amount of something	nongold
1	fastest means greatest in  speed	gold
2	lowest means least in value; amount; number	nongold
3	slowest means lowest in  speed	gold
4	furthest; farthest means greatest; most; highest in distance	nongold
5	least is the opposite of greatest	nongold
6	sound travels slowest through gas	gold
7	highest means largest; greatest; most in height	nongold
8	sound travels fastest through solid	gold
9	higher means greater; above in value; amount; number	nongold
10	largest means greatest in size	nongold
11	faster means an increase; higher in speed	nongold
12	low is similar to decrease	nongold
13	fewest means lowest; least in number	nongold
14	generally means usually	nongold
15	high is similar to increase	nongold
16	sound requires matter to travel	nongold
17	greater means higher; more in value	nongold
18	increase means more	nongold
19	rate is similar to speed	nongold
20	a solid is a kind of substance	nongold
21	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
22	loud means high in sound energy;sound intensity	nongold
23	low is the opposite of high	nongold
24	an increase is the opposite of a decrease	nongold
25	speed up means increase	nongold
26	solid is a kind of state of matter	nongold
27	less is similar to decrease	nongold
28	longest means greatest in length	nongold
29	most means over 50% of something	nongold
30	to lower means to decrease	nongold
31	lower means less	nongold
32	low means down	nongold
33	gases are usually low in density	nongold
34	a solid is more dense than a gas	nongold
35	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
36	high speed means fast	nongold
37	particles in a solid are slower than particles in a liquid	nongold
38	extreme means very high in value	nongold
39	sound is a kind of air vibration	nongold
40	sound means sound energy	nongold
41	gas is a kind of substance	nongold
42	speed is a property of an object and includes values of slow; fast	nongold
43	speed is a measure of how fast an object is moving	nongold
44	air is a kind of gas	nongold
45	louder means higher; greater in volume	nongold
46	typically means usually	nongold
47	particles in a liquid are slower than particles in a gas	nongold
48	gas is a kind of state of matter	nongold
49	heaviest means greatest mass; weight	nongold
50	answering questions requires information	nongold
51	to slow; to slow down decreases speed	nongold
52	particles in objects are a kind of matter	nongold
53	a source of something increases the amount of that something	nongold
54	air is a vehicle for sound	nongold
55	faster means increased rate	nongold
56	temperature is a measure of heat energy	nongold
57	shortest means least; smallest in length	nongold
58	vibration is a kind of motion	nongold
59	as the the distance  between molecules decreases ,  the speed of the sound    will increase	nongold
60	air is a kind of matter	nongold
61	hot means high in heat energy; temperature	nongold
62	to reduce means to decrease	nongold
63	usually means most of the time	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	less means a reduced amount	nongold
66	noise means sound	nongold
67	less is the opposite of more	nongold
68	least is the opposite of most	nongold
69	liquid; solid means nongaseous	nongold
70	fewer means lower; less in number	nongold
71	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
72	low means low in elevation; height; altitude	nongold
73	vapor is synonymous with gas	nongold
74	particles in a solid are closer together than particles in a liquid	nongold
75	to add means to increase	nongold
76	liquid is a kind of state of matter	nongold
77	vibrations are a source of sound	nongold
78	high means a lot of something	nongold
79	solids are usually hard	nongold
80	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
81	the bottom is the lowest part of something	nongold
82	a liquid is a kind of substance	nongold
83	boiling point is the highest temperature a liquid can reach	nongold
84	sound is a kind of sound energy	nongold
85	material means substance	nongold
86	gas is a kind of object	nongold
87	oscillation means physical vibration	nongold
88	level is similar to amount; quantity	nongold
89	largest amount means most	nongold
90	little means low in amount	nongold
91	an increase is a kind of change	nongold
92	gas is a kind of material	nongold
93	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
94	particles in a liquid are closer together than particles in a gas	nongold
95	the atmosphere contains gases; liquids; solids	nongold
96	heat means heat energy	nongold
97	gaseous means of gas	nongold
98	twice the speed of is simiar to  faster	nongold
99	intense means high in intensity	nongold
