Question	At what temperature is water most likely to be in vapor form?	question
Answer	120°C	answer
0	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
1	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
2	water is a kind of liquid at room temperature	nongold
3	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
4	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
5	the boiling point of water is 212F; 100C; 373K	nongold
6	boiling is when liquids are heated above their boiling point	nongold
7	water vapor;steam cooling causes that water vapor;steam to condense	nongold
8	vapor is synonymous with gas	nongold
9	temperature is a measure of heat energy	nongold
10	form means kind	nongold
11	to change into means to form	nongold
12	steam;water vapor is a kind of water above 100 degrees celsius	nongold
13	boiling point is a property of a substance; material	nongold
14	boiling is a kind of phase change	nongold
15	heat means temperature increases	nongold
16	water is a kind of substance	nongold
17	heat means heat energy	nongold
18	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
19	boiling point is the highest temperature a liquid can reach	nongold
20	air temperature is a kind of temperature	nongold
21	state means form	gold
22	a liquid is a kind of substance	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
24	adding heat means increasing temperature	nongold
25	to add means to increase	nongold
26	heating means adding heat	nongold
27	melting point means temperature at which a solid melts; above which a solid melts	nongold
28	water vapor is found in the atmosphere	nongold
29	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
30	boiling point is a kind of physical  property	nongold
31	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
32	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
33	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
34	An example of moisture is water vapor in the atmosphere	nongold
35	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
36	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
37	gas is a kind of substance	nongold
38	gas is a kind of state of matter	nongold
39	a solid is a kind of substance	nongold
40	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
41	worldwide temperature means atmospheric temperature	nongold
42	a boiling point can be used for identifying a liquid	nongold
43	liquid is a kind of state of matter	nongold
44	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
45	condensing is when gasses are  cooled below their boiling point	nongold
46	boiling is a kind of event	nongold
47	often is similar to likely	nongold
48	cooling means temperature decreases	nongold
49	moisture means liquid; liquid water	nongold
50	an increase is a kind of change	nongold
51	solid is a kind of state of matter	nongold
52	Earth contains water; ice; (steam, water vapor)	nongold
53	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
54	oxygen is a kind of gas at room temperature	nongold
55	warm means medium heat energy; temperature	nongold
56	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
57	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
58	water is a kind of matter	nongold
59	humidity is a kind of water vapor	nongold
60	to be made of something means to be formed of that something	nongold
61	boiling means the volume of a liquid decreases	nongold
62	all planets do not contain water; ice; (steam, water vapor)	nongold
63	the atmosphere contains gases; liquids; solids	nongold
64	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
65	hydrogen is a kind of gas at room temperature	nongold
66	water is an thermal; thermal energy conductor	nongold
67	high is similar to increase	nongold
68	to lower means to decrease	nongold
69	steam; water vapor is a kind of water phase	nongold
70	variable means able to change	nongold
71	atmosphere means  air	nongold
72	gaseous means of gas	nongold
73	boiling point is an intensive property	nongold
74	freezing causes a solid to form	nongold
75	affected means changed	nongold
76	to give off means to be the source of	nongold
77	mass has no impact on boiling; melting; freezing point	nongold
78	degrees celsius ( C ) is a metric unit used for measuring temperature generally used for values between -273.0 and 50000000.0	nongold
79	form is similar to body	nongold
80	when gas compresses , the temperature of the gas increases	nongold
81	to cause an event means to make that event more likely	nongold
82	can be means able to be	nongold
83	a body of water contains water	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	a phase change is a kind of physical change	nongold
86	if heat is added to a substance then that substance absorbs that heat	nongold
87	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
88	if liquid is boiling then that liquid is hot	nongold
89	heating a liquid can be used to identify that liquid's boiling point	nongold
90	state of matter at room temperature is a kind of physical property	nongold
91	if something is in something , then something is exposed to something	nongold
92	gas is a kind of material	nongold
93	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
94	temperature  rise means temperature increase	nongold
95	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
96	a  gas is a kind of  element	nongold
97	increase means more	nongold
98	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
99	a decrease is a kind of change	nongold
