Question	Which of the following best explains why many species of birds in New England fly south for the winter months?	question
Answer	to find an environment with more food	answer
0	New England has an abundance of trees	nongold
1	to discover means to find	nongold
2	An example of migration is birds flying south in the winter	nongold
3	search for means seek to find	nongold
4	seeking something means trying to find; searching for something	nongold
5	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
6	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
7	increase means more	nongold
8	an environment means an area	nongold
9	an animal; living thing requires nutrients for survival	nongold
10	Northumberland is a county located in England	nongold
11	winter is a kind of season	nongold
12	migration is when animals move themselves from a cooler climate to a warmer climate for the winter	gold
13	winter means environmental; outdoor temperature decreases	nongold
14	summer is a kind of season	nongold
15	winter is a part of the year	nongold
16	less is similar to decrease	nongold
17	a bird is a kind of animal	gold
18	Devon is a county located in England	nongold
19	a bird is a kind of living thing	nongold
20	an increase is the opposite of a decrease	nongold
21	Durham is a county located in England	nongold
22	less is the opposite of more	nongold
23	an animal needs to eat food for nutrients	nongold
24	a warm environment usually has more food than a cold environment	gold
25	requiring is similar to needing help	nongold
26	Kent is a county located in England	nongold
27	a plant; living thing requires food for survival	nongold
28	an ecosystem contains a large community of; large numbers of living organisms	nongold
29	many means high in number	nongold
30	a food contains nutrients for living things	nongold
31	Suffolk is a county located in England	nongold
32	an animal is a member of an animal species	nongold
33	south; southward is a kind of direction	gold
34	if a source of food for an animal decreases then the animal will have to find other types of food to survive	nongold
35	an animal requires a habitat for survival	nongold
36	a new season occurs once per 3.0 months	nongold
37	an ecosystem is a kind of habitat	nongold
38	population is a measure of the number of a species in an environment	nongold
39	found in means existing in	nongold
40	organisms are a part of an environment	nongold
41	An example of migration is moving to a warmer climate in the winter	nongold
42	flying is a kind of motion through air; space	gold
43	Essex is a county located in England	nongold
44	to discover means to make a discovery	nongold
45	an environment is a kind of place	nongold
46	an organism is a living thing	nongold
47	an animal requires warmth for survival	nongold
48	an animal is a kind of living thing	gold
49	requiring something means needing that something	nongold
50	population increase means more survive	nongold
51	north; northward is a kind of direction	nongold
52	winter is when a hemisphere is tilted away from the sun	nongold
53	as the number of sources of food increase in an environment , the population of the organisms will increase in that environment	nongold
54	if an animal relies on plants for food then that animal must store enough food to last through the winter	nongold
55	to depend on; to rely on; to need means to require	nongold
56	animals; living things live and feed in their habitats; near their habitats	nongold
57	low is similar to decrease	nongold
58	adult birds usually fly	nongold
59	winter has cold temperatures;weather	gold
60	high is similar to increase	nongold
61	living things eat their food source	nongold
62	month is a kind of period of time	nongold
63	habitat is similar to environment	nongold
64	if the population of an animal decreases then that animal may no longer be found in that place	nongold
65	summer is when a hemisphere is tilted towards the sun	nongold
66	an animal is a kind of organism	nongold
67	furthest; farthest means greatest; most; highest in distance	nongold
68	life means living things	nongold
69	living things all require energy for survival	nongold
70	food is a kind of resource	nongold
71	to add means to increase	nongold
72	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
73	surroundings means environment	nongold
74	discovering something usually requires seeing that something	nongold
75	summer has hot temperatures; weather	nongold
76	Surrey is a county located in England	nongold
77	flying is a kind of locomotion	nongold
78	New South Wales is a state located in Australia	nongold
79	every summer  is a kind of period of time	nongold
80	Sussex is a county located in England	nongold
81	greater means higher; more in value	nongold
82	to lower means to decrease	gold
83	animals; living things require water for survival	nongold
84	little is similar to decrease	nongold
85	Cumbria (Cumberland) is a county located in England	nongold
86	an environment is similar to an ecosystem	nongold
87	species means a group of like organisms	nongold
88	old is the opposite of new	nongold
89	Dorset is a county located in England	nongold
90	Somerset is a county located in England	nongold
91	a region is similar to an environment	nongold
92	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
93	months are a kind of unit for measuring time	nongold
94	the ability to access; to acquire; to find resources has a positive impact on an organism's survival; health	nongold
95	Cheshire is a county located in England	nongold
96	organisms mean life	nongold
97	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
98	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
99	as available water in an environment decreases , the amount of available food in that environment will decrease	nongold
