Question	Which reaction is endothermic?	question
Answer	cold pack	answer
0	cold pack reaction is a kind of endothermic reaction	gold
1	a hot pack reaction is a kind of exothermic reaction	nongold
2	melting is a kind of endothermic reaction	nongold
3	nuclear reaction is a kind of exothermic reaction	nongold
4	an exothermic process releases heat energy; light energy	nongold
5	an endothermic reaction converts heat energy into chemical energy	nongold
6	an exothermic reaction increases the amount of heat	nongold
7	first-aid instant cold pack is a kind of cold pack	nongold
8	an endothermic reaction absorbs heat energy from its surroundings	nongold
9	freezing is a kind of  exothermic process	nongold
10	the reaction between baking soda and vinegar is a kind of endothermic reaction	nongold
11	an endothermic process usually requires more heat energy from its surroundings than it gives off heat	nongold
12	combustion is a kind of exothermic reaction	nongold
13	a hot pack reaction is when the chemicals inside the bag interact	nongold
14	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
15	cool means cold	nongold
16	methane reacting with oxygen is a kind of exothermic reaction	nongold
17	burning coal is a kind of exothermic reaction	nongold
18	a fungus is a kind of organism	nongold
19	cold means low in temperature	nongold
20	breaking down fat and sugar is a kind of exothermic reaction	nongold
21	chemical change is a kind of chemical reaction	nongold
22	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
23	heat means heat energy	nongold
24	temperature is a measure of heat energy	nongold
25	colder; cooler means lower in temperature	nongold
26	a bacterium is a kind of organism	nongold
27	adding heat to something kills viruses; bacteria in that something	nongold
28	bacteria is a kind of living thing	nongold
29	warm means medium heat energy; temperature	nongold
30	a reaction is a kind of process	nongold
31	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
32	an organism is a living thing	nongold
33	to give is similar to to cause	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	an animal is a kind of organism	nongold
36	a chemical reaction is a kind of process	nongold
37	the body is a part of an organism	nongold
38	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
39	if something releases something else then that something is the source of that something else	nongold
40	cooler means colder	nongold
41	most chemical reactions release or absorb heat energy	nongold
42	the endocrine system is a kind of body; organ system	nongold
43	an event is a kind of action	nongold
44	a freezer; refrigerator is cool; cold in temperature	nongold
45	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
46	made up of means contains; made of	nongold
47	chemical reactions cause new substances; different substances to form	nongold
48	to add means to increase	nongold
49	human is a kind of organism	nongold
50	a component means a part of	nongold
51	to emit means to release	nongold
52	if a living thing becomes too cold then that living thing will die	nongold
53	a process is a kind of event	nongold
54	form means kind	nongold
55	something in a cold place becomes cold	nongold
56	a component of something means a part of that something	nongold
57	metabolism is the sum of all chemical reactions in an animal's body	nongold
58	to give off means to be the source of	nongold
59	converting is similar to releasing	nongold
60	high is similar to increase	nongold
61	bacteria; viruses cause food poisoning	nongold
62	to be formed by is similar to being produced by	nongold
63	adding heat means increasing temperature	nongold
64	to exhale means to release	nongold
65	a human is a kind of animal	nongold
66	a physical reaction is a kind of process	nongold
67	combining; mixing two substances chemically causes chemical reactions	nongold
68	producing is similar to releasing	nongold
69	freezing means cold temperatures	nongold
70	chemical reactions cause chemical change	nongold
71	warmer means greater; higher in temperature; warmth	nongold
72	an paramecium is a kind of organism	nongold
73	producing is similar to causing	nongold
74	to create means to make	nongold
75	become cold means get cold	nongold
76	metamorphosis means complete metamorphosis	nongold
77	an increase is a kind of change	nongold
78	homeostasis is the stable condition of an organism's internal environment	nongold
79	living things perform biological processes	nongold
80	can be means able to be	nongold
81	photosynthesis is a kind of chemical reaction	nongold
82	bacteria is a kind of pathogen sometimes	nongold
83	forming is similar to converting	nongold
84	answering questions requires information	nongold
85	state means form	nongold
86	death means to die	nongold
87	to produce means to create	nongold
88	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
89	In the cellular respiration process heat is a by-product in animals	nongold
90	compound is a kind of chemical	nongold
91	freezing is a kind of phase change	nongold
92	an mixture is formed by two or more substances combined together physically	nongold
93	substances are made of molecules	nongold
94	bacteria is small; microscopic in size	nongold
95	acidic means low; 0 to 6 in pH	nongold
96	a part of a process means a stage in a process	nongold
97	a chemical compound is a kind of compound	nongold
98	converting is similar to producing	nongold
99	the immune system attacks; gets rid of bacteria; viruses once they have invaded the body	nongold
