Question	An example of an instinct is	question
Answer	salmon returning to their birthplace to lay their eggs.	answer
0	An example of a reproductive behavior is salmon returning to their birthplace to lay their eggs	gold
1	fish lay eggs	nongold
2	some adult animals lay eggs	nongold
3	a kind of something is an example of that something	nongold
4	An example of reproduction is laying eggs	gold
5	animal instinct means instinctive behavior	nongold
6	to return means to get back	nongold
7	a fish is a kind of animal	nongold
8	laying eggs is a kind of property of an animal	nongold
9	an animal is a kind of living thing	nongold
10	an animal is a kind of organism	nongold
11	a fish is a kind of aquatic animal	nongold
12	some animals have offspring by laying eggs	nongold
13	returning is a kind of movement	nongold
14	frogs lay eggs	nongold
15	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	gold
16	a human is a kind of animal	nongold
17	an animal knows how to do  instinctive behaviors when it is born	nongold
18	birds lay eggs	nongold
19	amphibians lay eggs	nongold
20	an egg is a kind of food	nongold
21	an organism is a living thing	nongold
22	An example of an instinctive behavior is a baby bird pecking at its shell to hatch	nongold
23	an egg is a kind of object	nongold
24	a living thing is a kind of object	nongold
25	a fish is a kind of predator	nongold
26	an event is a kind of action	nongold
27	if something returns to a place then that something increases in that place	nongold
28	an aquatic animal is a kind of animal	nongold
29	an animal; living thing requires nutrients for survival	nongold
30	reptiles lay eggs	nongold
31	an environment is a kind of place	nongold
32	if a living thing requires something then that something has a positive impact on that living thing	nongold
33	migration is an instinctive behavior	nongold
34	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
35	returning is similar to bringing	nongold
36	to remain means to stay where it is	nongold
37	trout is a kind of fish	nongold
38	mammals birth; give birth to live young	nongold
39	a process is a kind of event	nongold
40	a fish lives in water	nongold
41	returning is similar to adding	nongold
42	ocean is a source of wild fish for human populations	nongold
43	an animal is a member of an animal species	nongold
44	returning is similar to entering	nongold
45	an environment means an area	nongold
46	laying down is a kind of action	nongold
47	An example of an instinct is the kangaroo's ability to crawl into its mother's pouch to drink milk	nongold
48	organisms; living things live in their habitat; their home	nongold
49	animals; living things live and feed in their habitats; near their habitats	nongold
50	fish is a kind of meat	nongold
51	if an animal hatches from an egg then that animal is born	nongold
52	life means living things	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	events occur at a specific place; at a specific time; with a specific frequency	nongold
55	An example of an environment is a forest; a river; a grassland; an ocean	nongold
56	fish have been on Earth for 419000000 years	nongold
57	human is a kind of organism	nongold
58	a process usually requires all of the stages in that process	nongold
59	a  fish is cold-blooded	nongold
60	organisms are a part of an environment	nongold
61	live is similar to stay	nongold
62	curiosity is a kind of human quality	nongold
63	person is synonymous with human	nongold
64	an organism eating is a kind of action	nongold
65	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
66	reproduction is a kind of process	nongold
67	if something required by something else is in a place then that something else may be in that place	nongold
68	to stay means to continue to exist	nongold
69	survive means live	nongold
70	survive means live	nongold
71	answering questions requires information	nongold
72	a native; indigenous plant lives in a place because of nature, not human change	nongold
73	requiring is similar to needing help	nongold
74	a food contains nutrients for living things	nongold
75	to be used for something means to be required by that something	nongold
76	aquatic animals; plants live in bodies of water	nongold
77	to depend on; to rely on; to need means to require	nongold
78	an animal requires enough nutrients to maintain good health; survive	nongold
79	humans sometimes eat fish	nongold
80	no longer means used to be	nongold
81	an animal being born; being hatched when temperatures are warm has a positive impact on that animal's survival; health	nongold
82	a producer is a kind of living thing	nongold
83	place is synonymous with location	nongold
84	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
85	staying means not changing	nongold
86	a type is synonymous with a kind	nongold
87	a worm is a kind of animal	nongold
88	can be means able to be	nongold
89	nonliving; non-living; die is the opposite of living; alive; live	nongold
90	leaving is a kind of movement	nongold
91	to create means to make	nongold
92	an animal needs to eat food for nutrients	nongold
93	most predators live in; live near the same environment as their prey	nongold
94	reproduction produces; produce offspring	nongold
95	fish eat insects	nongold
96	organisms mean life	nongold
97	a child is a kind of young human	nongold
98	an egg requires warmth to survive; hatch; develop	nongold
99	animals usually distance themselves from humans	nongold
