Question	Human actions can change the rate at which soil erodes. Which of the following would most likely slow the rate of soil erosion?	question
Answer	planting trees along cliffs	answer
0	planting is a kind of human action	nongold
1	planting trees is sometimes a human activity	gold
2	planting trees has a  positive impact on an ecosystem	nongold
3	planting trees is the opposite of cutting down trees	nongold
4	soil erosion is a kind of slow; natural process	nongold
5	people can plant trees	nongold
6	to slow; to slow down decreases speed	nongold
7	action can cause change	nongold
8	erosion is a kind of change	nongold
9	tree roots reduce soil erosion	gold
10	soil erosion means soil loss through wind;water; animals	nongold
11	a human is a kind of animal	nongold
12	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
13	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
14	soil erosion is a kind of event	nongold
15	an event is a kind of action	nongold
16	erosion is a kind of process	nongold
17	erosion of soil has a  negative impact on the environment; soil quality	nongold
18	fast is the opposite of slow	nongold
19	a tree is a kind of plant	nongold
20	soil is formed by rocks eroding	nongold
21	an increase is a kind of change	nongold
22	erosion sometimes decreases the amount of nutrients in soil	nongold
23	actions mean behavior	nongold
24	a tree contains wood	nongold
25	when things erode , those things may become smaller	nongold
26	action means activity	gold
27	a plant's  roots slowly break down rocks as the roots grow	nongold
28	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
29	if a plant is planted; growing somewhere then that plant is located there	nongold
30	trees are a kind of natural resource	nongold
31	a tree can be replaced by planting a new tree each time one is cut down	nongold
32	flowing is a kind of action	nongold
33	a decrease is a kind of change	nongold
34	a motion is a kind of event; action	nongold
35	trees are a renewable resource	nongold
36	rate is similar to speed	nongold
37	gradual means slow; over time	nongold
38	weathering; erosion usually occurs over a period of many years	nongold
39	a tree is a kind of living thing	nongold
40	In the erosion process roots of plants are an inhibitor	nongold
41	a tree requires sunlight to grow	nongold
42	planting native plants has a  positive impact on an ecosystem	nongold
43	change is a kind of impact	nongold
44	to reduce means to decrease	nongold
45	faster means increased rate	nongold
46	faster means an increase; higher in speed	nongold
47	roots are a part of a plant; tree	nongold
48	a tree requires space to grow	nongold
49	forming is a kind of action	nongold
50	helping something has a  positive impact on that something	nongold
51	weathering is a kind of erosion	nongold
52	erosion usually causes harm to the environment	nongold
53	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
54	reducing is similar to slowing	gold
55	building usually requires cutting down trees	nongold
56	requiring is similar to needing help	nongold
57	trees are a kind of resource	nongold
58	if an object erodes , then the amount of matter in that object will decrease	nongold
59	soil is a renewable resource for growing plants	nongold
60	erosion is a kind of destructive force	nongold
61	soil is made of very small rocks; minerals	nongold
62	a tree is a kind of matter	nongold
63	high is similar to increase	nongold
64	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
65	weathering is a kind of process	nongold
66	an increase is the opposite of a decrease	nongold
67	harming something has a  negative impact on; effect on that something	nongold
68	trees reduce wind force	nongold
69	soil contains nutrients for plants	nongold
70	increase means more	nongold
71	when deforestation increases , soil erosion increases	nongold
72	a plant; living thing requires nutrients to grow	nongold
73	to lower means to decrease	nongold
74	a process is a kind of event	nongold
75	a plant is a kind of organism	nongold
76	change is a kind of process	nongold
77	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
78	a change is a kind of event	nongold
79	negative impact is the opposite of positive impact	nongold
80	a plant requires soil for survival; to grow	nongold
81	reducing is a kind of change	nongold
82	a hill is a kind of place	nongold
83	affected means changed	nongold
84	if a tree falls then that tree is dead	nongold
85	human is a kind of organism	nongold
86	planting crops is synonymous with growing crops	nongold
87	slowest means lowest in  speed	nongold
88	a rock is a kind of object	nongold
89	a process usually requires all of the stages in that process	nongold
90	overgrazing increases soil erosion	nongold
91	low is similar to decrease	nongold
92	as the cause of something decreases , that something will decrease	nongold
93	an earthquake is a kind of natural; geological event	nongold
94	a hill is a kind of incline	nongold
95	to impact means to affect	nongold
96	soil is usually part of an environment	nongold
97	a source of something increases the amount of that something	nongold
98	to depend on; to rely on; to need means to require	nongold
99	laying down is a kind of action	nongold
