Question	A class is studying textures and collects several samples. Which of these items would the students most likely use magnification to study?	question
Answer	hair	answer
0	a hair is a kind of object	gold
1	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
2	hair is often a part of an animal	nongold
3	a student is a kind of human	nongold
4	an object is an item	gold
5	sample is similar to small amount of substance; matter	nongold
6	to be made of is similar to collection	nongold
7	the texture of an object can sometimes be told by looking at the object	nongold
8	texture means how an object feels	nongold
9	An example of collecting data is measuring	nongold
10	a surface is a part of a material	nongold
11	a surface is a part of an object	nongold
12	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	gold
13	to study means to examine	nongold
14	an part of an object is smaller than the entire object	nongold
15	studying is similar to observing	nongold
16	to be used for something means to be required by that something	nongold
17	smooth is a kind of texture	nongold
18	objects are made of materials; substances; matter	nongold
19	often is similar to likely	nongold
20	studying is similar to investigating	nongold
21	studying  something usually requires seeing that something	gold
22	instrument means tool	nongold
23	if an object is made of a material then that object has the properties of that material	nongold
24	a human is a kind of animal	nongold
25	answering questions requires information	nongold
26	a tool is a kind of object	nongold
27	a magnifying glass is a kind of tool for observing small things	nongold
28	magnifying glass is used to see  small things by making objects appear bigger	nongold
29	experimentation requires measuring	nongold
30	a classroom is a kind of a room	nongold
31	material means substance	nongold
32	a structure of something is synonymous with a part of that something	nongold
33	hair is similar to fur	nongold
34	hair is thin	gold
35	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
36	texture is a kind of physical property	nongold
37	a surface is a kind of object	nongold
38	variable means able to change	nongold
39	color is a property of  an object; a material	nongold
40	an object is made of its parts	nongold
41	touch can be used for detecting texture	nongold
42	lab equipment is often used for measuring; observing	nongold
43	to collect means to gather	nongold
44	to enhance means to increase	nongold
45	high is similar to increase	nongold
46	structure is a property of an object; a material; a substance	nongold
47	affected means changed	nongold
48	examining sometimes requires measuring	nongold
49	can be means able to be	nongold
50	comparing requires measuring	nongold
51	measuring sometimes requires  recording; learning an amount	nongold
52	the function of something is what that something  is used to do	nongold
53	determining often requires measuring; observing	nongold
54	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
55	a living thing is a kind of object	nongold
56	form means kind	nongold
57	a type is synonymous with a kind	nongold
58	to add means to increase	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	composition is a property of an object; matter	nongold
61	examining is a kind of process	nongold
62	a body part is a kind of object	nongold
63	comparing requires observing that something	nongold
64	length is a part of size	nongold
65	device means tool	nongold
66	coloration means a thing's color	nongold
67	hair style is a kind of style	nongold
68	as amount; size of something increases , the intensive properties of that something will not change	nongold
69	to slow; to slow down decreases speed	nongold
70	composition means the (materials, substances) of which something is composed	nongold
71	optical tools are used for observing materials up close; in greater detail	nongold
72	process is similar to method	nongold
73	an object has properties	nongold
74	materials are made of matter	nongold
75	if an object is made of something then the parts of that object are made of that something	nongold
76	a part of something means a characteristic of something	nongold
77	image means visual depiction of an object	nongold
78	composed of means made of	nongold
79	observations; data are a part of the results of an experiment	nongold
80	a hand lens; a magnifying lens is synonymous with a magnifying glass	nongold
81	to help; to benefit means to be of use	nongold
82	the head is a part of an animal	nongold
83	emit means produce	nongold
84	research is used for learning	nongold
85	size; amount of space means volume	nongold
86	a component means a part of	nongold
87	greatest means largest; highest; most amount of something	nongold
88	classifying means grouping objects; materials by their properties	nongold
89	as the amount; size of something increases , the extensive properties of that something will increase	nongold
90	collecting is similar to absorbing	nongold
91	an animal is a kind of living thing	nongold
92	an animal is a kind of organism	nongold
93	to modify means to change	nongold
94	a room is a kind of object	nongold
95	something's function can be used to describe; identify that something	nongold
96	each is similar to individual	nongold
97	medium is similar to average	nongold
98	inspect; observe means examine	nongold
99	high-quality means positive	nongold
