Question	In which object does chemical energy most likely transform into electrical energy?	question
Answer	a flashlight	answer
0	a flashlight is a kind of electrical device	nongold
1	a flashlight is a kind of battery-operated device	gold
2	a flashlight converts electrical energy; electricity into light energy	nongold
3	a flashlight is a kind of tool	nongold
4	a flashlight emits light	nongold
5	a flashlight requires a source of electricity to produce light	nongold
6	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
7	a device is a kind of object	gold
8	to transform means to convert	gold
9	energy transformation means one kind of energy changes into another kind of energy	nongold
10	electrical energy is a kind of energy	nongold
11	energy conversion is similar to energy transformation	nongold
12	chemical energy is a kind of energy	nongold
13	a battery converts chemical energy into electrical energy for powering electrical devices	gold
14	batteries convert chemical energy to electrical energy	nongold
15	electricity means electrical energy	nongold
16	a battery contains chemical energy	nongold
17	objects contain chemical energy	nongold
18	objects are made of materials; substances; matter	nongold
19	light is a kind of energy	nongold
20	light is a kind of energy	nongold
21	chemical reactions cause chemical change	nongold
22	a battery is a source of electrical energy; electricity	nongold
23	to convert means to change	nongold
24	An example of a chemical change is electrical energy breaking down a compound	nongold
25	matter; materials; substances are made of atoms; particles	nongold
26	food is a kind of chemical energy	nongold
27	metal is an  electrical; electrical energy conductor	nongold
28	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
29	often is similar to likely	nongold
30	instrument means device	nongold
31	substances are made of matter	nongold
32	electricity is used as an energy source by electrical devices	nongold
33	phase means state	nongold
34	chemical energy is a kind of potential energy	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	emit means produce	nongold
37	substances have chemical properties	nongold
38	a tool is a kind of object	nongold
39	convert is similar to transfer	nongold
40	heat is a kind of energy	nongold
41	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
42	chemical change is a kind of chemical reaction	nongold
43	light means light energy	nongold
44	an animal is a kind of living thing	nongold
45	an electromagnet is a kind of device	nongold
46	hydrogen contains chemical energy	nongold
47	light is a kind of wave	nongold
48	a generator converts kinetic energy into electrical energy; electricity	nongold
49	a battery is a kind of object	nongold
50	a light bulb is a kind of electrical device	nongold
51	electricity is made of moving charges; moving charged particles	nongold
52	device means tool	nongold
53	chemical change is the opposite of physical change	nongold
54	a molecule is a kind of object	nongold
55	a living thing is a kind of object	nongold
56	an atom is a kind of object	nongold
57	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
58	electric devices require electrical energy to function	nongold
59	if an object undergoes chemical change then that object will have new chemical properties	nongold
60	substances are made of elements	nongold
61	person is synonymous with human	nongold
62	matter is made of molecules	nongold
63	combustibility is a kind of  chemical property	nongold
64	instrument means tool	nongold
65	converting is similar to producing	nongold
66	a battery-operated device is a kind of electrical device	nongold
67	a molecule is made of atoms chemically combined; bonded	nongold
68	electrical devices are used for industrial purposes; household purposes by humans	nongold
69	when an animal moves , chemical energy is converted to mechanical energy	nongold
70	particles in objects are a kind of matter	nongold
71	cellular energy is a kind of chemical energy	nongold
72	form means kind	nongold
73	a machine is a kind of object	nongold
74	a particle is a kind of object	nongold
75	a machine is a kind of  device	nongold
76	combustion is a kind of chemical change	nongold
77	if an object is made of a material then that object has the properties of that material	nongold
78	combustion means fire converts chemical energy into light energy and heat energy	nongold
79	matter; energy is always conserved in any physical or chemical process	nongold
80	affected means changed	nongold
81	to give off means to be the source of	nongold
82	combining; mixing two substances chemically causes chemical reactions	nongold
83	variable means able to change	nongold
84	compound is a kind of chemical	nongold
85	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
86	substances are made of molecules	nongold
87	brick is an electrical; electrical energy insulator	nongold
88	to cause an event means to make that event more likely	nongold
89	materials are made of matter	nongold
90	carbohydrates store chemical energy	nongold
91	magnetism is a kind of energy	nongold
92	an  element is a kind of atom	nongold
93	reaction to light is a kind of chemical property	nongold
94	substances contain chemical bond energy	nongold
95	adding heat to an object sometimes causes chemical reactions	nongold
96	if something generates energy for something else then that something powers that something else	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	to be a source of something means to cause that something	nongold
99	a molecule is a kind of particle	nongold
