Question	When sunlight shines on a plant, its leaves	question
Answer	make food.	answer
0	sunlight shining means sunlight is provided	gold
1	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
2	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
3	a leaf performs photosynthesis; gas exchange	gold
4	provide is similar to give; make	gold
5	a  plant requires sunlight for photosynthesis	gold
6	a food contains nutrients for living things	nongold
7	make means produce	nongold
8	a leaf absorbs sunlight to perform photosynthesis	nongold
9	a leaf is a kind of plant	nongold
10	a plant is a kind of living thing	nongold
11	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
12	a plant; living thing requires food for survival	nongold
13	green plants are a kind of producer	nongold
14	a leaf is a part of a  green plant	nongold
15	a leaf is a part of a tree	nongold
16	a living thing is a kind of object	nongold
17	a tree is a kind of living thing	nongold
18	a source of something emits; produces; generates; provides that something	nongold
19	an animal is a kind of living thing	nongold
20	a tree is a kind of plant	nongold
21	sunlight means solar energy	nongold
22	providing something means making;delivering something	nongold
23	to shine means to emit light	nongold
24	sunlight is a kind of light	nongold
25	an animal needs to eat food for nutrients	nongold
26	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
27	an animal; living thing requires nutrients for survival	nongold
28	a producer produces its own food	nongold
29	if a living thing requires something then that something has a positive impact on that living thing	nongold
30	the sun is a source of light; light energy called sunlight	nongold
31	a producer is a kind of living thing	nongold
32	a leaf is a kind of object	nongold
33	a plant is a kind of organism	nongold
34	if a plant dies then that plant will not produce food	nongold
35	vegetation means plants	nongold
36	sunlight is a kind of solar energy	nongold
37	In the food chain process a  green plant has the role of  producer	nongold
38	food is what an animal eats	nongold
39	an organism is a living thing	nongold
40	to eat means to consume food	nongold
41	food is a kind of object	nongold
42	to be used for something means to be required by that something	nongold
43	solar energy is a kind of light	nongold
44	crops are a kind of edible plant for eating	nongold
45	a plant light is used for help plants by mimicking sunlight	nongold
46	the sun is the source of solar energy called sunlight	nongold
47	requiring something means needing that something	nongold
48	plant cells can perform photosynthesis	nongold
49	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
50	creating means making	nongold
51	living things eat their food source	nongold
52	to create means to make	nongold
53	a vegetable is a kind of food	nongold
54	an animal is a kind of consumer	nongold
55	usually plants store the food they produce for future use	nongold
56	a vegetable is a kind of plant	nongold
57	a plant requires photosynthesis to grow; survive	nongold
58	fruit is a kind of food	nongold
59	omnivores eat plants; animals	nongold
60	sunshine means sunlight	nongold
61	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
62	daylight means sunlight	nongold
63	requiring is similar to needing help	nongold
64	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
65	to cause means to make	nongold
66	a tree is a kind of matter	nongold
67	if an organism eats something then that something is a source of frood to that organism	nongold
68	nutrients are a kind of matter	nongold
69	daylight is when the sun shines on a location	nongold
70	food is a kind of substance	nongold
71	emit means produce	nongold
72	a source of something supplies that something	nongold
73	food contains carbohydrates	nongold
74	a consumer can not produce its own food	nongold
75	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
76	plants are the source of spices	nongold
77	a leaf is small in size	nongold
78	to provide something means to be the source of that something	nongold
79	eating an animal; a plant means killing that animal; that plant	nongold
80	receiving sunlight  is synonymous with absorbing sunlight	nongold
81	predators eat prey	nongold
82	an animal is a kind of organism	nongold
83	insects eat crops	nongold
84	consumers eat other organisms	nongold
85	synthesize means to make	nongold
86	grass is a kind of green plant	nongold
87	solar energy is a kind of energy	nongold
88	to receive sunlight means to absorb sunlight	nongold
89	herbivores only eat plants	nongold
90	a food web is made of organisms that consume other organisms; that produce their own food	nongold
91	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
92	a nutrient is a kind of object	nongold
93	to produce means to provide	nongold
94	to depend on; to rely on; to need means to require	nongold
95	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
96	products are formed; are produced; are created	nongold
97	a leaf is a kind of plant organ	nongold
98	helping something has a  positive impact on that something	nongold
99	a shrub is a kind of plant	nongold
