Question	When two bumper cars collide, some of the kinetic energy of the cars is transformed. Which form of energy is most likely formed as a result of this collision?	question
Answer	sound	answer
0	a bumper car is a kind of car	gold
1	a bumper is a kind of object	nongold
2	colliding means coming into a collision	gold
3	to cause means to result in	nongold
4	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
5	a car is a kind of object	gold
6	colliding is a kind of touching	gold
7	a car is a kind of automobile	nongold
8	kinetic energy is a kind of mechanical energy	gold
9	form means kind	nongold
10	an automobile is a kind of vehicle	nongold
11	a car is a kind of vehicle	nongold
12	sound is a kind of energy	gold
13	motion is a source of kinetic energy in an object	nongold
14	when two objects are touched; are contacted; move against each other , sound is produced	gold
15	sound is a kind of sound energy	nongold
16	sound means sound energy	nongold
17	to transform means to convert	nongold
18	result means outcome	nongold
19	sound is produced when mechanical energy is transformed into sound energy	gold
20	to produce means to result in	nongold
21	a vehicle is a kind of object	nongold
22	energy transformation means one kind of energy changes into another kind of energy	nongold
23	to be made of something means to be formed of that something	nongold
24	changes potential energy into kinetic energy through motion	nongold
25	to be formed by is to be the result of	nongold
26	being pushed together is similar to colliding	nongold
27	to convert means to change	nongold
28	forming is similar to converting	nongold
29	An example of an object with kinetic energy is an object in motion	nongold
30	product means result	nongold
31	intense sound energy can move objects	nongold
32	objects are made of materials; substances; matter	nongold
33	mechanical energy is a kind of energy	nongold
34	to cause the formation of means to form	nongold
35	wheels are a part of a car	nongold
36	a passenger moving forward at high speeds causes that passenger to collide with the windshield; the steering column; the dashboard in a car accident	nongold
37	to change into means to form	nongold
38	matter; molecules vibrating can cause sound	nongold
39	state means form	nongold
40	motion; movement means moving; to move	nongold
41	forming something is a kind of change	nongold
42	a human is a kind of animal	nongold
43	sound waves means sound energy	nongold
44	heat is a kind of energy	nongold
45	vibrating matter can produce sound	nongold
46	friction occurs when two object's surfaces move against each other	nongold
47	a toy car is a kind of object	nongold
48	a particle is a kind of object	nongold
49	an event is a kind of action	nongold
50	a source of something emits; produces; generates; provides that something	nongold
51	becoming is similar to forming	nongold
52	a car fender is sometimes made of metal	nongold
53	a motion is a kind of event; action	nongold
54	particles in objects are a kind of matter	nongold
55	forming is a kind of action	nongold
56	a passenger colliding with a windshield; a steering column; a dashboard during a car accident may cause injury	nongold
57	a result of something is evidence of that something	nongold
58	stopping a moving object changes kinetic energy into potential energy	nongold
59	composed of means made of	nongold
60	reflecting light; sound is the opposite of absorbing light; sound	nongold
61	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
62	to make means to form	nongold
63	an object is made of its parts	nongold
64	often is similar to likely	nongold
65	an animal is a kind of living thing	nongold
66	energy conversion is similar to energy transformation	nongold
67	composition is a property of an object; matter	nongold
68	a car moves on a road	nongold
69	products are formed; are produced; are created	nongold
70	both means two	nongold
71	temperature is a measure of kinetic energy of molecules	nongold
72	converting is similar to producing	nongold
73	sound energy is transferred by vibrational waves	nongold
74	a surface is a part of an object	nongold
75	a landform is a kind of object	nongold
76	creating is similar to causing	nongold
77	a tire moves against the road	nongold
78	a wheel is a kind of object	nongold
79	sound waves transfer energy	nongold
80	wheels; gears usually move against other surfaces	nongold
81	to generate means to form	nongold
82	sound wave is similar to sound	nongold
83	a change is a kind of event	nongold
84	electrical energy is a kind of energy	nongold
85	substances are made of matter	nongold
86	to happen means to occur	nongold
87	motion is when moves an object; something to a direction	nongold
88	affected means changed	nongold
89	to be a source of something means to cause that something	nongold
90	to form means to create	nongold
91	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
92	can be means able to be	nongold
93	becoming is similar to changing	nongold
94	breaking down is a kind of forming	nongold
95	something that happens is a kind of event	nongold
96	chemical energy is a kind of energy	nongold
97	sound is a kind of air vibration	nongold
98	becoming is a kind of action	nongold
99	a surface is a kind of object	nongold
