Question	Which of these is a renewable resource found in Nevada?	question
Answer	geothermal energy	answer
0	geothermal energy is a renewable resource	gold
1	to be found in means to be contained in	nongold
2	found in means existing in	nongold
3	if something is a part of something then that something can be found in that something	nongold
4	Nevada is a state located in the United States of America	nongold
5	geothermal energy is formed by magma heating Earth's crust	nongold
6	if something is located  in somewhere , then something can be found in somewhere	nongold
7	contains means located in	nongold
8	Nevada mines produce gold	nongold
9	a fossil fuel is a kind of natural resource	nongold
10	an energy source is a kind of resource	nongold
11	natural resources are found in nature	nongold
12	renewable is the opposite of nonrenewable	nongold
13	fossil fuels are a kind of energy resource	nongold
14	a renewable resource is a kind of natural resource	nongold
15	Nevada produces more gold than any other state	nongold
16	fossil fuels are a nonrenewable resource	nongold
17	Nevada has abundant sunshine	nongold
18	resources sometimes are used for energy	nongold
19	the Sierra Nevada is a kind of mountain range	nongold
20	made of is similar to contains	nongold
21	minerals are a nonrenewable resource	nongold
22	water is a renewable resource	nongold
23	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
24	made up of means contains; made of	nongold
25	a renewable resource is a kind of naturally replaced resource	nongold
26	a component means a part of	nongold
27	if something comes from something else then that something else is a source of that something	nongold
28	natural gas is a nonrenewable resource	nongold
29	if something is located in some place , then the presence of that something can be found in that location	nongold
30	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	solar energy is a renewable; inexhaustible resource	nongold
33	an inexhaustible resource is a kind of renewable resource	nongold
34	the climate in Nevada is low in humidity	nongold
35	if something is a part of something else then that something else contains that something	nongold
36	oil is a kind of energy resource	nongold
37	coal is a kind of fossil fuel	nongold
38	a nonrenewable resource is limited in supply	nongold
39	coal is a nonrenewable resource	nongold
40	oil is a kind of fossil fuel	nongold
41	can be means able to be	nongold
42	to discover means to find	nongold
43	producing renewable electric energy requires renewable resources	nongold
44	if something requires something else then that something requires a source of that something else	nongold
45	if something transfers something else then that something is a source of something else	nongold
46	where something  comes from is a source of that something	nongold
47	if something generates energy for something else then that something powers that something else	nongold
48	wave energy is a renewable resource	nongold
49	heat means heat energy	nongold
50	oil is a nonrenewable resource	nongold
51	renewable resources are often available for many years	nongold
52	heat is a kind of energy	nongold
53	if something is a source of something else then that something usually contains that something else	nongold
54	an event is a kind of action	nongold
55	natural gas is a kind of fossil fuel	nongold
56	all the other means the rest of	nongold
57	if something is made of something; a material then that something contains that something; that material	nongold
58	fossil fuels have high potential energy	nongold
59	both means two	nongold
60	panda is a kind of animal	nongold
61	usually something can be found  near a source in greater concentrations	nongold
62	a process is a kind of event	nongold
63	a component of something means a part of that something	nongold
64	if something releases something else then that something is the source of that something else	nongold
65	plants are a kind of resource	nongold
66	water is a kind of natural resource	nongold
67	water is a kind of natural resource	nongold
68	form means kind	nongold
69	emit means produce	nongold
70	composed of means made of	nongold
71	Nebraska is a state located in the United States of America	nongold
72	if something absorbs something else then that something will contain that something else	nongold
73	if something required by something else is in a place then that something else may be in that place	nongold
74	if something is powered by something else then that something requires a source of that something else	nongold
75	to be formed by is similar to being produced by	nongold
76	if something is a raw material then that something comes directly from a source	nongold
77	petroleum is a kind of fossil fuel	nongold
78	a material is a kind of resource	nongold
79	sunlight produces heat	nongold
80	generate means produce	nongold
81	typically means usually	nongold
82	solar energy is a kind of heat energy	nongold
83	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
84	a source of heat can be used to heat something	nongold
85	a source of heat can be used to heat something	nongold
86	approximately means about	nongold
87	to discover means to make a discovery	nongold
88	to power means to provide energy for	nongold
89	a renewable resource can be renewed	nongold
90	affected means changed	nongold
91	if something gains something from something else then that something else is a source of that something	nongold
92	if something causes a process then that something is required for that process	nongold
93	green plants are a kind of producer	nongold
94	no longer means used to be	nongold
95	if something is a raw material in a process then that something is required for that process	nongold
96	temperature is a measure of heat energy	nongold
97	answering questions requires information	nongold
98	nature is the source of natural resources	nongold
99	solar energy is a kind of energy	nongold
