Question	During most of the year, the air over Boston, Massachusetts, contains a high amount of moisture. Which of the following best explains why there is a high amount of moisture in the air?	question
Answer	Boston is close to an ocean.	answer
0	an ocean is a kind of body of water	gold
1	Massachusetts is not located on the boundary of two tectonic plates	nongold
2	Massachusetts is not located in an arctic environment	nongold
3	moisture means liquid; liquid water	nongold
4	Boston is city that is near to the  coast of the Atlantic Ocean	gold
5	near means close	gold
6	oceans are the source of most of water vapor in the atmosphere	nongold
7	humidity is the amount of water vapor; moisture in the air; in the atmosphere	gold
8	near; close is the opposite of far; away	nongold
9	temperature is a measure of heat energy	nongold
10	close means low in distance	gold
11	closer means lower; less; a decrease in distance	nongold
12	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
13	Massachusetts is a state located in the United States of America	nongold
14	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
15	far is the opposite of close	nongold
16	high is similar to increase	gold
17	an air mass has similar temperature and moisture throughout it	nongold
18	the air mass formed close to the ocean is humid in moisture	nongold
19	air is a kind of gas	nongold
20	high means a lot of something	nongold
21	the atmosphere contains gases; liquids; solids	nongold
22	contains means located in	nongold
23	the air is a kind of substance	nongold
24	An example of moisture is water vapor in the atmosphere	gold
25	an increase is the opposite of a decrease	nongold
26	air temperature is a kind of temperature	nongold
27	low is similar to decrease	nongold
28	moisture is a property of air mass and includes ordered values of dry; humid	nongold
29	temperature is a property of weather	nongold
30	to lower means to decrease	gold
31	extreme means very high in value	nongold
32	atmosphere means  air	gold
33	absorbing something from the air decreases the  amount of  that something in the air	nongold
34	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
35	air is a part of the environment	nongold
36	to reduce means to decrease	nongold
37	low is the opposite of high	nongold
38	moist air mass contains a high amount of water vapor	nongold
39	oceans are located on Earth	nongold
40	the atmosphere is a part of nature; the environment	nongold
41	water is a kind of liquid at room temperature	nongold
42	water is a kind of substance	nongold
43	a surface is a part of an object	nongold
44	an increase is a kind of change	nongold
45	gas is a kind of substance	nongold
46	oceans contains most of  earth's water	nongold
47	less is similar to decrease	nongold
48	a decrease is a kind of change	nongold
49	far means great in distance	nongold
50	something that contains water is similar to a body of water	nongold
51	higher means greater; above in value; amount; number	nongold
52	heat means heat energy	nongold
53	air is a kind of matter	nongold
54	mass has no impact on boiling; melting; freezing point	nongold
55	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
56	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
57	furthest; farthest means greatest; most; highest in distance	nongold
58	if something exists on a surface then that surface contains that something	nongold
59	best means most positive	nongold
60	usually something can be found  near a source in greater concentrations	nongold
61	to add means to increase	nongold
62	proximity means distance	nongold
63	sea means ocean	nongold
64	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
65	an ocean is a kind of habitat	nongold
66	as distance to an ocean decreases , the temperature will decrease	nongold
67	throughout means over	nongold
68	moist means high in moisture	nongold
69	a container contains objects; material; substances	nongold
70	air mass means a volume of air	nongold
71	motion is when moves an object; something to a direction	nongold
72	low means low in elevation; height; altitude	nongold
73	if something is caused by something else , then that something can be explained by that something else	nongold
74	air masses formed over the ocean near the equator are usually moist; warm	nongold
75	a source of something increases the amount of that something	nongold
76	as distance from a source of something increases , that something will decrease	nongold
77	to breathe in means to absorb air	nongold
78	usually means most of the time	nongold
79	heat energy is synonymous with thermal energy	nongold
80	adding heat means increasing temperature	nongold
81	greater means higher; more in value	nongold
82	colder; cooler means lower in temperature	nongold
83	the ocean   stores more heat than the continent	nongold
84	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
85	motion; movement means moving; to move	nongold
86	water is a kind of matter	nongold
87	oceans regulate the temperature of nearby land	nongold
88	to slow; to slow down decreases speed	nongold
89	hot means high in heat energy; temperature	nongold
90	heat means temperature increases	nongold
91	low means down	nongold
92	precipitation is when water falls from the sky	nongold
93	a surface is a part of a material	nongold
94	if something is made of something; a material then that something contains that something; that material	nongold
95	an ocean is a source of heat and moisture for a hurricane	nongold
96	if something is a part of something else then that something else contains that something	nongold
97	made of is similar to contains	nongold
98	precipitation is a property of weather	nongold
99	a source of something emits; produces; generates; provides that something	nongold
