Question	Which characteristic is inherited rather than learned?	question
Answer	having blue eyes	answer
0	eye color is an inherited characteristic	gold
1	an inherited characteristic is a kind of characteristic	nongold
2	blue is a kind of color	gold
3	trait is synonymous with characteristic	nongold
4	blue eyes is a recessive trait in humans	nongold
5	feature is synonymous with characteristic	nongold
6	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
7	a learned characteristic is a kind of acquired characteristic	nongold
8	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
9	blue eyes are similar to light eyes	nongold
10	eyes are a part of a human for seeing	nongold
11	eyes are usually part of an animal for seeing	gold
12	skills are learned characteristics; behaviors	nongold
13	characteristic means property	nongold
14	a human is a kind of animal	nongold
15	trait means property	nongold
16	an animal is a kind of living thing	nongold
17	dark eyes is a dominant trait in human	nongold
18	intelligence is an acquired characteristic	nongold
19	a part of something means a characteristic of something	nongold
20	an animal is a kind of organism	gold
21	ability is a kind of characteristic	nongold
22	species is an inherited characteristic	nongold
23	children; young is synonymous with offspring	nongold
24	a child is a kind of young human	nongold
25	inherited characteristics can change over several generations	nongold
26	personality is an acquired characteristic	nongold
27	a face is often a part of an animal	nongold
28	if an organism passes on its traits then future generations will have those traits	nongold
29	green is a kind of color	nongold
30	red eyes is a dominant trait in fruit flies	nongold
31	the colors of parts of an organism are inherited characteristics	gold
32	the color of; coloration of fur is an inherited characteristic	nongold
33	a type is synonymous with a kind	nongold
34	a baby is the offspring of a parent	nongold
35	a baby is the offspring of a parent	nongold
36	unique  is the opposite of diverse	nongold
37	offspring are a part of a generation	nongold
38	identical twins have all of the same inherited characteristics	nongold
39	parents are a part of a generation	nongold
40	a father is a kind of male parent	nongold
41	human is a kind of organism	nongold
42	parents produce offspring	nongold
43	a structure is a kind of feature	nongold
44	an organism is a living thing	nongold
45	to reproduce means to have; to produce offspring	nongold
46	a boy is a kind of young male human	nongold
47	a property of something is a feature of that something	nongold
48	animals learn some behaviors from watching their parents	nongold
49	genes are able to determine the inherited characteristics of a living thing	nongold
50	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
51	inability is the opposite of ability	nongold
52	height is an inherited characteristic	nongold
53	blood type is an inherited characteristic	nongold
54	to be characterized by  a property means to have that property	nongold
55	the eyes are part of the head used for seeing	nongold
56	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
57	a living thing is a kind of object	nongold
58	brown is a kind of color	nongold
59	a structure of something is synonymous with a part of that something	nongold
60	freckles are an inherited characteristic	nongold
61	a puppy is a young; baby dog	nongold
62	answering questions requires information	nongold
63	a girl is a kind of young; female human	nongold
64	person is synonymous with human	nongold
65	a student is a kind of human	nongold
66	preferences are generally learned characteristics	nongold
67	sepia eyes is a recessive trait in fruit flies	nongold
68	can means having the ability to	nongold
69	phenotype of an organism means the visible traits of  an organism	nongold
70	a girl is a kind of organism	nongold
71	curly hair is an inherited characteristic	nongold
72	identical is the opposite of different	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	a mother is a kind of female parent	nongold
75	sister means one of the offspring	nongold
76	playing with toys is a learned characteristic	nongold
77	a son is a kind of male offspring	nongold
78	senses are an inherited characteristic	nongold
79	the shape of body parts is an inherited characteristic	nongold
80	if two things have the same features then those two things are alike	nongold
81	a person is a kind of animal	nongold
82	having an impact on something means altering that something	nongold
83	conditioned behavior is a kind of learned behavior	nongold
84	an organism's environment affects that organism's acquired characteristics	nongold
85	a blue jay is a kind of bird	nongold
86	reproduction produces; produce offspring	nongold
87	sight means to see	nongold
88	learning about something sometimes requires observing that something	nongold
89	what an object is made of is a kind of characteristic	nongold
90	a type of something is a kind of property of that something	nongold
91	a girl is a kind of animal	nongold
92	a part of a living thing is a natural structure	nongold
93	color is a property of  an object; a material	nongold
94	different is the opposite of the same	nongold
95	the head is a part of an animal	nongold
96	determining is similar to learning	nongold
97	appearance is a property of objects; materials	nongold
98	learning; studying information causes one to know that information	nongold
99	causing is a kind of affecting	nongold
