Question	What is the smallest particle of the element gold	question
Answer	that can still be classified as gold?	answer
0	an atom is the smallest particle; unit that has the properties of an element	gold
1	shortest means least; smallest in length	nongold
2	gold is a kind of element	gold
3	classifying means grouping objects; materials by their properties	gold
4	a molecule is the smallest particle; unit that has the properties of a compound	nongold
5	a kind of something is classified as that something	nongold
6	smaller means less; lower in size	nongold
7	largest means greatest in size	nongold
8	gold is a kind of metal	nongold
9	greatest means largest; highest; most amount of something	nongold
10	gold is a kind of solid	nongold
11	classifying is when one sorts something by kind; type	nongold
12	larger; bigger is the opposite of smaller	nongold
13	atom cannot be divided into smaller substances	nongold
14	matter; materials; substances are made of atoms; particles	nongold
15	to categorize means to classify	nongold
16	gold is located in group 11 on the periodic table	nongold
17	small is the opposite of large	nongold
18	a molecule is a kind of particle	nongold
19	atoms are made of particles	nongold
20	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
21	an part of an object is smaller than the entire object	nongold
22	an element is made of one kind of atoms	nongold
23	particles in objects are a kind of matter	nongold
24	an  element is a kind of atom	nongold
25	largest amount means most	nongold
26	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
27	to belong to a group means to be classified in that group	nongold
28	substances are made of elements	nongold
29	to belong to a class means to be a kind of something	nongold
30	all elements are a kind of pure substance	nongold
31	can be means able to be	nongold
32	gold is always nonmagnetic	nongold
33	an element is a kind of  substance	nongold
34	to be made of something means to be formed of that something	nongold
35	if something is made of something else then that something can be broken down into that something else	nongold
36	lowest means least in value; amount; number	nongold
37	classify is similar to characterize	nongold
38	a pure substance is made of only one kind of atom; molecule	nongold
39	to tell the difference between things means to classify those things	nongold
40	a particle is a kind of object	gold
41	made up of means contains; made of	nongold
42	gold is soft	nongold
43	an atom is exceptionally small in size	nongold
44	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
45	length is a part of size	nongold
46	an element is a kind of material	nongold
47	to break down means to break into smaller pieces	nongold
48	no longer means used to be	nongold
49	particles in a liquid are close to each other	nongold
50	the basic unit of matter is atom	nongold
51	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
52	a physical property is a kind of property	nongold
53	larger means greater; higher; more; increase in size	nongold
54	to be made of means to consist of	nongold
55	a metal is a kind of element	nongold
56	atomic number is a property of elements	nongold
57	a molecule is exceptionally small in size	nongold
58	if a substance is made of one element , then the substance is called an element	nongold
59	classifying requires comparing	nongold
60	composed of means made of	nongold
61	to be characterized by  a property means to have that property	nongold
62	a piece of an object is smaller in size than the whole object	nongold
63	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
64	chemical composition is a kind of property	nongold
65	an alkaline earth metal is a kind of element	nongold
66	cannot is the opposite of  can	nongold
67	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
68	decreasing is similar to becoming smaller	nongold
69	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
70	if something is insoluble in something , then they will remain separated	nongold
71	the majority of is similar to largest	nongold
72	the number of parts of something is a property of that something	nongold
73	a chemical property is the opposite of a physical property	nongold
74	metals are found on the left side of the periodic table of elements	nongold
75	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
76	made of is similar to contains	nongold
77	particles in a solid are closer together than particles in a liquid	nongold
78	category means kind	nongold
79	an event is a kind of action	nongold
80	decomposing is similar to separating	nongold
81	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
82	a  chemical property is a kind of  property	nongold
83	a compound can be chemically separated into the elements that it is made of	nongold
84	objects are made of materials; substances; matter	nongold
85	not is similar to the opposite of	nongold
86	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
87	substances are made of matter	nongold
88	the structure  of an atom can be used for identifying the element	nongold
89	if something is made of something; a material then that something contains that something; that material	nongold
90	all the other means the rest of	nongold
91	a molecule is made of atoms chemically combined; bonded	nongold
92	little means small	nongold
93	matter is made of molecules	nongold
94	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
95	an electron is a kind of charged particle	nongold
96	to classify means to decide what class something belongs to	nongold
97	neutrons are a kind of subatomic particle	nongold
98	hydrogen is a kind of element	nongold
99	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
