Question	What do the energy resources uranium and coal have in common?	question
Answer	They both are acquired by mining the lithosphere.	answer
0	coal; uranium is acquired by mining the lithosphere	gold
1	uranium is a kind of energy resource	gold
2	surface mining affects the lithosphere; the biosphere	nongold
3	the lithosphere is a kind of subsystem of Earth	nongold
4	lithosphere is a  layer of the Earth	nongold
5	lithosphere is located on the surface of the earth	nongold
6	coal is a nonrenewable resource	nongold
7	coal is a kind of fossil fuel	gold
8	in common is similar to the same	nongold
9	lithosphere is made of rocks	nongold
10	taking in something means acquiring that something	nongold
11	both means two	nongold
12	fossil fuels are a kind of energy resource	gold
13	using a resource requires acquiring that resource	nongold
14	coal is a kind of rock	nongold
15	resources sometimes are used for energy	nongold
16	an energy source is a kind of resource	nongold
17	coal is a kind of fuel	nongold
18	a material is a kind of resource	nongold
19	coal is a kind of object	nongold
20	the ability to access; to acquire; to find resources has a positive impact on an organism's survival; health	nongold
21	a fossil fuel is a kind of natural resource	nongold
22	nuclear energy is a kind of energy	nongold
23	similar means in common	nongold
24	to be used for something means to be required by that something	nongold
25	minerals are a nonrenewable resource	nongold
26	a renewable resource is a kind of natural resource	nongold
27	metal is a nonrenewable resource	nongold
28	denitrification is when nitrogen becomes part of the lithosphere	nongold
29	answering questions requires information	nongold
30	to obtain means to get	nongold
31	to depend on; to rely on; to need means to require	nongold
32	metal is a kind of natural resource	nongold
33	renewable resources are often available for many years	nongold
34	fossil fuels are a nonrenewable resource	nongold
35	to contain something means to have that something	nongold
36	fuel is a kind of energy source	nongold
37	if something is a raw material in a process then that something is required for that process	nongold
38	if something causes a process then that something is required for that process	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	mining changes an ecosystem	nongold
41	if something gains something from something else then that something else is a source of that something	nongold
42	a component of something means a part of that something	nongold
43	an inexhaustible resource is a kind of renewable resource	nongold
44	mining  is when humans take rocks and minerals from the ground	nongold
45	oxygen is a kind of resource	nongold
46	a relationship occurs when two or more things interact with one another	nongold
47	a coal mine is a source of coal under the ground	nongold
48	something is used for that something's purpose	nongold
49	an element is a kind of material	nongold
50	resources becoming available has a positive impact on the things that need those resources	nongold
51	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
52	to be formed by is similar to being produced by	nongold
53	material means substance	nongold
54	all elements are a kind of pure substance	nongold
55	obtain is similar to receive	nongold
56	where something  comes from is a source of that something	nongold
57	a component means a part of	nongold
58	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
59	an event is a kind of action	nongold
60	an element is a kind of  substance	nongold
61	apart is the opposite of together	nongold
62	if something changes , then that something is not the same	nongold
63	an object; material; substance comes from that object or material's source	nongold
64	fuel is a source of energy	nongold
65	to gain means to obtain	nongold
66	troposphere contains 75% the gases	nongold
67	same means identical; equal in value; amount; number; quantity	nongold
68	coal is used for generating heat by burning	nongold
69	if something requires something else then that something else may be common in that something	nongold
70	what something needs is a property of that something	nongold
71	a renewable resource is a kind of naturally replaced resource	nongold
72	a process is a kind of event	nongold
73	asthenosphere is a layer of the Earth	nongold
74	if something requires something else then that something requires a source of that something else	nongold
75	acquiring fossil fuels is dangerous for the environment	nongold
76	all the other means the rest of	nongold
77	a part of a process means a stage in a process	nongold
78	can be means able to be	nongold
79	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
80	high is similar to increase	nongold
81	opposite is a kind of different	nongold
82	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
83	if something generates energy for something else then that something powers that something else	nongold
84	the function of something is what that something  is used to do	nongold
85	thermosphere is a  layer of Earth's atmosphere	nongold
86	if something transfers something else then that something is a source of something else	nongold
87	fossil fuel contains chemical energy	nongold
88	emit means produce	nongold
89	a process usually requires all of the stages in that process	nongold
90	troposphere is a lower layer of Earth's atmosphere	nongold
91	if something is a raw material then that something comes directly from a source	nongold
92	if something comes from something else then that something else is a source of that something	nongold
93	coal is a kind of sedimentary rock	nongold
94	to provide something means to be the source of that something	nongold
95	to contain means to have inside	nongold
96	a source of something increases the amount of that something	nongold
97	petroleum is a kind of fossil fuel	nongold
98	oil is a kind of energy resource	nongold
99	an increase is a kind of change	nongold
