Question	Which unit is used to record distances between stars?	question
Answer	light years	answer
0	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	gold
1	a light-year is used for describing long distances	nongold
2	years are a kind of unit for measuring time	nongold
3	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
4	stars are located light years apart from each other	nongold
5	light year is a measure of the distance light travels in one year	nongold
6	the Sun is a kind of star	nongold
7	astronomical unit is a measure of distance between Earth and the Sun	nongold
8	a star is a kind of celestial object; celestial body	gold
9	astronomy is the study of celestial (objects, bodies)	gold
10	galaxies are usually thousands of light years in diameter	nongold
11	recording is similar to measuring	gold
12	galaxies are located  millions of light years from Earth	nongold
13	a planet is a kind of celestial object; body	nongold
14	a planet's distance from the star causes the length of a planetary year	nongold
15	the sun is a kind of yellow dwarf	nongold
16	recording an observation sometimes requires measuring	nongold
17	a star is a source of light; light energy through nuclear reactions	nongold
18	a galaxy is made of stars	nongold
19	1 year is equal to 365 days	nongold
20	a star produces light and heat	nongold
21	a yellow dwarf is a kind of main-sequence star	nongold
22	yellow dwarf is a kind of small star	nongold
23	astronomical body means celestial body	nongold
24	a white dwarf is a kind of star	nongold
25	sunlight is a kind of light	nongold
26	a star is usually larger than a planet	nongold
27	astronomy is a kind of branch of science	nongold
28	decades are a kind of unit for measuring time	nongold
29	days are a kind of unit for measuring time	nongold
30	main-sequences stars are a kind of star	nongold
31	months are a kind of unit for measuring time	nongold
32	the Sun is the  star that is closest to Earth	nongold
33	length of time means period of time	nongold
34	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
35	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
36	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
37	the Andromeda galaxy is 2.5 million light years closer	nongold
38	a galaxy is a kind of very large system of stars	nongold
39	1 year is equal to 12 months	nongold
40	meters;centimeters;kilometers are used to describe distance; describe length	nongold
41	a galaxy is a kind of celestial body; celestial object	nongold
42	Earth is a kind of planet	nongold
43	hours are a kind of unit for measuring time	nongold
44	planets orbit stars	nongold
45	seconds are a kind of unit for measuring time	nongold
46	centuries are a kind of unit for measuring time	nongold
47	answering questions requires information	nongold
48	period is similar to amount of time	nongold
49	light means light energy	nongold
50	a meter is a kind of unit for measuring distance; measuring length	nongold
51	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
52	furthest; farthest means greatest; most; highest in distance	nongold
53	measuring sometimes requires  recording; learning an amount	nongold
54	the sun is a source of light; light energy called sunlight	nongold
55	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
56	seconds are used to measure time	nongold
57	to a human a time period of 1000 years or more years is considered very long	nongold
58	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	nongold
59	a measurement is a kind of data	nongold
60	approximately means about	nongold
61	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
62	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
63	stellar means related to stars	nongold
64	miles are a kind of unit for measuring distance	nongold
65	Proxima Centauri is a kind of star	nongold
66	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
67	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
68	stars make their own light	nongold
69	greatest means largest; highest; most amount of something	nongold
70	a planet completes one orbit around its star over a period of one planetary year	nongold
71	light is a kind of wave	nongold
72	a star's type is determined by the star's mass	nongold
73	a measure of time is a length of time	nongold
74	a constellation contains stars	nongold
75	a unit for measuring time is a kind of time interval	nongold
76	main sequence is a kind of stage in the life cycle of a star	nongold
77	minutes are a kind of unit for measuring time	nongold
78	length is a measure of distance from one end of an object to the other end of that object	nongold
79	unit is similar to part	nongold
80	amount is similar to number	nongold
81	distant means great in distance	nongold
82	a galaxy is a kind of celestial body	nongold
83	month is a kind of period of time	nongold
84	celestial bodies; celestial objects are found in space	nongold
85	recording data is similar to showing data	nongold
86	lowest means least in value; amount; number	nongold
87	Neptune has the longest solar year; planetary year in the solar system	nongold
88	form means kind	nongold
89	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
90	events occur at a specific place; at a specific time; with a specific frequency	nongold
91	the sun is average in size for a star in our galaxy	nongold
92	a galaxy contains dust; stars; planets	nongold
93	one is a kind of number	nongold
94	a type is synonymous with a kind	nongold
95	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
96	calculation means measurement	nongold
97	can be means able to be	nongold
98	stars spend most of their life cycle in the main sequence stage	nongold
99	a star requires energy	nongold
