Question	When the lighted half of the Moon faces the Sun and the dark half faces Earth, the phase of the Moon viewed from Earth is called the	question
Answer	new moon.	answer
0	the new moon is when the lighted half of the moon faces the Sun	gold
1	the new moon is when the dark half of the moon faces the Earth	gold
2	a new moon is a kind of phase of the moon	gold
3	a moon is a kind of celestial object; body	nongold
4	lunar phase is synonymous with moon phase	nongold
5	type of moon; kind of moon means moon phase	nongold
6	a full moon is a kind of phase of the moon	nongold
7	the Moon is Earth's moon	nongold
8	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
9	a phase of the moon is a kind of state	nongold
10	Earth is a kind of planet	nongold
11	a moon phase is a kind of natural event	nongold
12	the sun is a source of light; light energy called sunlight	nongold
13	viewing means observing light	nongold
14	a moon phase occurs 28 days after the last time it occurred	nongold
15	phase means state	nongold
16	the Sun is a kind of star	nongold
17	a new moon occurs 14 days after a full moon	nongold
18	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
19	the dark half of the moon is not visible	nongold
20	sunlight is a kind of light	nongold
21	the moon orbits the Earth	nongold
22	the moon reflects sunlight towards the Earth	nongold
23	a half of Earth is a hemisphere of Earth	nongold
24	a waning crescent is a kind of phase of the moon	nongold
25	the moon is the celestial object that is closest to the  Earth	nongold
26	the first quarter phase of the moon occurs after the new moon	nongold
27	to view means to see	nongold
28	a planet is a kind of celestial object; body	nongold
29	moons are large; solid; spherical	nongold
30	seeing requires light	nongold
31	the moon rotates on its axis	nongold
32	new means different from the former one	nongold
33	the phases of the Moon change the appearance of the Moon	nongold
34	a star is a kind of celestial object; celestial body	nongold
35	each of the moon's phases occurs once per month	nongold
36	a full moon occurs after a waxing gibbous moon	nongold
37	a waxing crescent is a kind of phase of the moon	nongold
38	sight means to see	nongold
39	dark is the opposite of light	nongold
40	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
41	the Moon is closer to the Earth than the Sun	nongold
42	a waxing gibbous is a kind of phase of the moon	nongold
43	a waning gibbous is a kind of phase of the moon	nongold
44	eyes are a part of a human for seeing	nongold
45	to see means to look	nongold
46	the Earth revolves around the sun	nongold
47	the sun is a kind of yellow dwarf	nongold
48	a different moon phase occurs once per week	nongold
49	eyes are usually part of an animal for seeing	nongold
50	the sun is the source of solar energy called sunlight	nongold
51	a first quarter is a kind of phase of the moon	nongold
52	bright means bright; light in color	nongold
53	old is the opposite of new	nongold
54	the sun is a source of radiation; heat called sunlight	nongold
55	a last quarter is a kind of phase of the moon	nongold
56	Earth's shadow falling on the moon causes a lunar eclipse	nongold
57	an increase is a kind of change	nongold
58	to turn means to change	nongold
59	the moon is less bright than the sun	nongold
60	high is similar to increase	nongold
61	the Moon completes a lunar cycle over a period of 29 days	nongold
62	dark means dark in color	nongold
63	no longer means used to be	nongold
64	observe means see	nongold
65	the eyes are part of the head used for seeing	nongold
66	to shine means to emit light	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	looking is similar to observing	nongold
69	the moon rising occurs once per day	nongold
70	to create means to make	nongold
71	sunlight means solar energy	nongold
72	a human is a kind of animal	nongold
73	seeing is used for sensing visual things	nongold
74	visible means able to be seen	nongold
75	the sun is not a star in the night sky	nongold
76	form means kind	nongold
77	the earth has more mass than the moon	nongold
78	measuring is a kind of observing	nongold
79	motion; movement means moving; to move	nongold
80	eyes are used for seeing by animals by sensing light	nongold
81	a motion is a kind of event; action	nongold
82	both means two	nongold
83	moons; comets; planets are part of the solar system	nongold
84	dark means a low amount of light	nongold
85	the Sun is the  star that is closest to Earth	nongold
86	to illuminate means to light up	nongold
87	an animal is a kind of living thing	nongold
88	sight means vision	nongold
89	a solar eclipse could only happen during the new moon	nongold
90	Earth is the planet that is third closest to the  Sun	nongold
91	sunlight is a kind of solar energy	nongold
92	light means light energy	nongold
93	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
94	a planet's  moon is smaller than that planet	nongold
95	the Moon has less water; air than Earth	nongold
96	to produce means to create	nongold
97	water is a kind of water phase	nongold
98	bright means a lot of light	nongold
99	look at means observe	nongold
