Question	Why is the ozone content of the stratosphere important to living organisms?	question
Answer	Ozone absorbs ultraviolet radiation from the Sun.	answer
0	ozone absorbs harmful ultraviolet rays from the Sun	gold
1	if something requires something else then that something else is important to that something	nongold
2	if something has a positive impact on something else then that something is important to that something else	nongold
3	absorbing ultraviolet light by ozone cause the breakdown of ozone into oxygen	nongold
4	ozone is located in stratosphere in the atmosphere	gold
5	sunlight contains ultraviolet light	nongold
6	sunlight is made of ultraviolet, infrared, and visible light	nongold
7	ultraviolet radiation is ionizing	nongold
8	ultraviolet rays means ultraviolet light	gold
9	ultraviolet light is a kind of light	nongold
10	being exposed to the ultraviolet light has a negative  impact on living organisms	gold
11	solar radiation means solar energy	nongold
12	an organism is a living thing	nongold
13	an animal is a kind of living thing	nongold
14	ultraviolet light has very short wavelength	nongold
15	ultraviolet light is a kind of electromagnetic energy	nongold
16	if a living thing requires something then that something has a positive impact on that living thing	nongold
17	an animal; living thing requires nutrients for survival	nongold
18	the sun is a source of radiation; heat called sunlight	nongold
19	UV mean ultraviolet	nongold
20	to depend on; to rely on; to need means to require	nongold
21	to receive sunlight means to absorb sunlight	nongold
22	an animal is a kind of organism	nongold
23	sunlight contains infrared light	nongold
24	ozone molecules are a kind of substance	nongold
25	sunlight is a kind of light	nongold
26	light is a kind of electromagnetic radiation	gold
27	life means living things	nongold
28	the sun is a source of light; light energy called sunlight	nongold
29	electromagnetic radiation means electromagnetic energy	nongold
30	if something absorbs something else then that something will contain that something else	nongold
31	role is similar to importance	nongold
32	the Sun is a kind of star	nongold
33	if something comes from something else then that something else is a source of that something	nongold
34	the sun is the source of solar energy called sunlight	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	if something requires something else then that something requires a source of that something else	nongold
37	sunlight means solar energy	nongold
38	a plant; living thing requires food for survival	nongold
39	organisms mean life	nongold
40	requiring is similar to needing help	nongold
41	ozone absorbing sunlight causes the temperature of stratosphere to increase with altitude	nongold
42	the photosphere is a kind of region of the sun	nongold
43	helping something has a  positive impact on that something	nongold
44	sunlight is a kind of solar energy	nongold
45	the lithosphere is a kind of subsystem of Earth	nongold
46	if something emits something else then that something increases the amount of that something else	nongold
47	radiation is when electromagnetic waves transfers heat and light energy	nongold
48	greenhouse gases heat the atmosphere by absorbing infrared radiation released by Earth	nongold
49	where something  comes from is a source of that something	nongold
50	thermosphere is a  layer of Earth's atmosphere	nongold
51	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
52	a producer is a kind of living thing	nongold
53	receiving sunlight  is synonymous with absorbing sunlight	nongold
54	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
55	if something transfers something else then that something is a source of something else	nongold
56	troposphere is a lower layer of Earth's atmosphere	nongold
57	an object; material; substance comes from that object or material's source	nongold
58	the emission of something is when something is added into the atmosphere	nongold
59	lithosphere is a  layer of the Earth	nongold
60	a human is a kind of animal	nongold
61	to emit means to release	nongold
62	organisms are a part of an environment	nongold
63	if something causes a process then that something is required for that process	nongold
64	dying is the opposite of living; surviving	nongold
65	asthenosphere is a layer of the Earth	nongold
66	a living thing is a kind of object	nongold
67	if something causes something else then that something else depends on that something	nongold
68	take in means absorb	nongold
69	to help; to benefit means to be of use	nongold
70	nonliving; non-living; die is the opposite of living; alive; live	nongold
71	radiation means radiant energy	nongold
72	to be used for something means to be required by that something	nongold
73	a  plant requires sunlight for photosynthesis	nongold
74	ultraviolet light causes sunburn	nongold
75	sunshine means sunlight	nongold
76	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
77	a plant is a kind of living thing	nongold
78	high is similar to increase	nongold
79	if something is made of something; a material then that something contains that something; that material	nongold
80	a factor impacts something	nongold
81	an animal; bacterium requires oxygen for survival; to breathe	nongold
82	emit means produce	nongold
83	a food contains nutrients for living things	nongold
84	good means positive	nongold
85	if something releases something else then that something is the source of that something else	nongold
86	a plant is a kind of organism	nongold
87	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
88	a source of something increases the amount of that something	nongold
89	if something is a source of something else then that something usually contains that something else	nongold
90	absorbing something harmful has a negative impact on a thing	nongold
91	absorbance is when a wave absorbs at; stops at a surface	nongold
92	essential means required	nongold
93	best means most positive	nongold
94	a concern; a problem is a possible negative impact	nongold
95	absorption is a kind of event	nongold
96	affected means changed	nongold
97	radiation is a kind of process	nongold
98	to impact means to affect	nongold
99	an event is a kind of action	nongold
